base_model,task,module,layer,module_type,rank,lora_frobenius_norm,hns_frobenius_norm,gamma_hns_matched,lora_nuclear_norm,lora_spectral_hhi,ideal_flat_gamma,gamma_to_ideal_flat_ratio,lora_top1_nuclear_share,lora_top1_energy_share,lora_top4_energy_share,lora_effective_rank,adapter_global_gamma,gamma_minus_global
Qwen3-8B,magicoder,base_model.model.model.layers.12.self_attn.k_proj,12,k_proj,16,0.053674106030107874,0.03874443038027226,0.7218458442240103,0.1549637580756098,0.11996908856824556,0.7217808061334299,1.0000901078139344,0.2633231005775456,0.5779743442689238,0.8593182507191504,11.555546819812417,0.5216498252446977,0.2001960189793126
Qwen3-8B,magicoder,base_model.model.model.layers.12.self_attn.o_proj,12,o_proj,16,0.19688128686862263,0.11474372919711646,0.5828066802188472,0.4589263079687953,0.18404455362364763,0.5827449567045868,1.0001059185730399,0.3886028310043463,0.8205195823039513,0.9290980947624013,9.458110405748666,0.5216498252446977,0.061156854974149466
Qwen3-8B,magicoder,base_model.model.model.layers.12.self_attn.q_proj,12,q_proj,16,0.12332196257061746,0.08587723320362456,0.6963660925721074,0.34345305897295475,0.12892765321237062,0.6962528243423881,1.0001626826143595,0.28680481768321037,0.638009002698631,0.8666259353914949,11.377749382703266,0.5216498252446977,0.17471626732740964
Qwen3-8B,magicoder,base_model.model.model.layers.12.self_attn.v_proj,12,v_proj,16,0.12546913606683804,0.05370999683960534,0.42807337743199053,0.21481674001552165,0.34114387013642183,0.4280270565924031,1.000108219419483,0.5686259666275009,0.9477980354557136,0.9818566173435033,5.878046101390675,0.5216498252446977,-0.09357644781270719
Qwen3-8B,magicoder,base_model.model.model.layers.13.mlp.down_proj,13,down_proj,16,0.13994293340903602,0.07785450233634471,0.5563303586668829,0.3113720752298832,0.20199593230034057,0.5562483000120142,1.0001475216281415,0.4096545356755156,0.8307931584978718,0.9454525222557346,8.857910647816182,0.5216498252446977,0.034680533422185134
Qwen3-8B,magicoder,base_model.model.model.layers.13.mlp.gate_proj,13,gate_proj,16,0.22908677484418996,0.16436213519699475,0.7174667123791116,0.657391207292676,0.12143734237031605,0.717404144935681,1.0000872136631385,0.2888965112725242,0.6872778388951042,0.8292521031040891,12.05132751867549,0.5216498252446977,0.19581688713441392
Qwen3-8B,magicoder,base_model.model.model.layers.13.mlp.up_proj,13,up_proj,16,0.23307269860690308,0.15490426148740744,0.6646177884123041,0.6195463836193085,0.1415256495111435,0.6645419941099859,1.000114054947603,0.3225337706707166,0.7350472058061773,0.8820147391784582,11.050020039934894,0.5216498252446977,0.1429679631676064
Qwen3-8B,magicoder,base_model.model.model.layers.13.self_attn.k_proj,13,k_proj,16,0.04712879243541439,0.03781153558042984,0.802302236626305,0.1512229403015226,0.09712639471580252,0.8021791588908178,1.0001534292360041,0.21071634996369185,0.457150502414324,0.7782458272468972,12.913843344059403,0.5216498252446977,0.28065241138160724
Qwen3-8B,magicoder,base_model.model.model.layers.13.self_attn.o_proj,13,o_proj,16,0.1419837338577173,0.09849508883383584,0.6937068504800581,0.39393854048103094,0.12990331766012125,0.693633224344908,1.00010614562937,0.2916800577979125,0.6549275080070668,0.8677376058770663,11.357809058563578,0.5216498252446977,0.17205702523536037
Qwen3-8B,magicoder,base_model.model.model.layers.13.self_attn.q_proj,13,q_proj,16,0.10788988525253894,0.07889820453805596,0.7312845347214721,0.3155559436418116,0.11689844467593156,0.7311990899406062,1.0001168556991404,0.26264708508335044,0.5901147059228913,0.8368859077816913,11.884552799920987,0.5216498252446977,0.20963470947677443
Qwen3-8B,magicoder,base_model.model.model.layers.13.self_attn.v_proj,13,v_proj,16,0.08404721619969924,0.04442670797491033,0.528592260204679,0.17767989076673985,0.22375364028276115,0.5285121233062793,1.000151627360785,0.4380674876965807,0.8576536387711181,0.9559249640942221,8.064324579222726,0.5216498252446977,0.0069424349599812585
Qwen3-8B,magicoder,base_model.model.model.layers.14.mlp.down_proj,14,down_proj,16,0.14875809005256452,0.08421089218215967,0.566092856881957,0.3368034125305712,0.1950779670395661,0.5660253711437808,1.000119227408552,0.3961770696213022,0.8045822543449407,0.9465973053504287,8.917350933822474,0.5216498252446977,0.04444303163725927
Qwen3-8B,magicoder,base_model.model.model.layers.14.mlp.gate_proj,14,gate_proj,16,0.2392609229347399,0.17582160718135653,0.7348530007522921,0.7031913455575705,0.11577012792711205,0.7347536498358435,1.0001352166354953,0.27440495483057736,0.6504102619889846,0.8200901434528132,12.267084949030872,0.5216498252446977,0.21320317550759438
Qwen3-8B,magicoder,base_model.model.model.layers.14.mlp.up_proj,14,up_proj,16,0.217904007436194,0.1546434824337579,0.7096862708183104,0.6185039710253477,0.12412105264851088,0.7096060075976989,1.0001131095562215,0.28934224085782967,0.6744942180091533,0.8503217127459058,11.804091559263982,0.5216498252446977,0.18803644557361265
Qwen3-8B,magicoder,base_model.model.model.layers.14.self_attn.k_proj,14,k_proj,16,0.047558349790485344,0.038706155378035595,0.8138666616598892,0.1548089855350554,0.09437592562309428,0.8137844680116871,1.000101001741165,0.20343839918190346,0.43853537847122154,0.7686802498208666,13.146408060970828,0.5216498252446977,0.29221683641519147
Qwen3-8B,magicoder,base_model.model.model.layers.14.self_attn.o_proj,14,o_proj,16,0.14390662402248072,0.10405085180889267,0.723044213674543,0.4161500819027424,0.11958084034392236,0.7229515749006322,1.0001281396667867,0.2639208717881194,0.5824865117611718,0.8485861943662745,11.756604935485742,0.5216498252446977,0.20139438842984525
