base_model,task,module,layer,module_type,dose_label,dose,lora_fro,head_fro,scalar_gamma_head_matched,suppressed_directions
Qwen3-8B,metamath,base_model.model.model.layers.1.self_attn.q_proj,1,q_proj,0p00,0.0,1.0823616981506348,1.0823616981506348,1.0,2
Qwen3-8B,metamath,base_model.model.model.layers.1.self_attn.q_proj,1,q_proj,0p25,0.25,1.0823616981506348,0.8614673614501953,0.7959144711494446,2
Qwen3-8B,metamath,base_model.model.model.layers.1.self_attn.q_proj,1,q_proj,0p50,0.5,1.0823616981506348,0.6461400985717773,0.5969724059104919,2
Qwen3-8B,metamath,base_model.model.model.layers.1.self_attn.q_proj,1,q_proj,1p00,1.0,1.0823616981506348,0.28721874952316284,0.26536300778388977,2
Qwen3-8B,metamath,base_model.model.model.layers.1.self_attn.v_proj,1,v_proj,0p00,0.0,0.3601265549659729,0.3601265549659729,1.0,2
Qwen3-8B,metamath,base_model.model.model.layers.1.self_attn.v_proj,1,v_proj,0p25,0.25,0.3601265549659729,0.2869267165660858,0.7967385649681091,2
Qwen3-8B,metamath,base_model.model.model.layers.1.self_attn.v_proj,1,v_proj,0p50,0.5,0.3601265549659729,0.21530628204345703,0.5978628396987915,2
Qwen3-8B,metamath,base_model.model.model.layers.1.self_attn.v_proj,1,v_proj,1p00,1.0,0.3601265549659729,0.09272897988557816,0.25748997926712036,2
Qwen3-8B,metamath,base_model.model.model.layers.10.mlp.down_proj,10,down_proj,0p00,0.0,0.8183151483535767,0.8183151483535767,1.0,3
Qwen3-8B,metamath,base_model.model.model.layers.10.mlp.down_proj,10,down_proj,0p25,0.25,0.8183151483535767,0.6642069816589355,0.8116762638092041,3
Qwen3-8B,metamath,base_model.model.model.layers.10.mlp.down_proj,10,down_proj,0p50,0.5,0.8183151483535767,0.5155035853385925,0.6299572587013245,3
Qwen3-8B,metamath,base_model.model.model.layers.10.mlp.down_proj,10,down_proj,1p00,1.0,0.8183151483535767,0.27205827832221985,0.33246150612831116,3
Qwen3-8B,metamath,base_model.model.model.layers.10.mlp.gate_proj,10,gate_proj,0p00,0.0,2.1798593997955322,2.1798593997955322,1.0,2
Qwen3-8B,metamath,base_model.model.model.layers.10.mlp.gate_proj,10,gate_proj,0p25,0.25,2.1798593997955322,1.7468856573104858,0.8013753890991211,2
Qwen3-8B,metamath,base_model.model.model.layers.10.mlp.gate_proj,10,gate_proj,0p50,0.5,2.1798593997955322,1.3253270387649536,0.6079874038696289,2
Qwen3-8B,metamath,base_model.model.model.layers.10.mlp.gate_proj,10,gate_proj,1p00,1.0,2.1798593997955322,0.6176064014434814,0.2833239734172821,2
Qwen3-8B,metamath,base_model.model.model.layers.10.mlp.up_proj,10,up_proj,0p00,0.0,1.0965725183486938,1.0965725183486938,1.0,3
Qwen3-8B,metamath,base_model.model.model.layers.10.mlp.up_proj,10,up_proj,0p25,0.25,1.0965725183486938,0.9239452481269836,0.8425756096839905,3
Qwen3-8B,metamath,base_model.model.model.layers.10.mlp.up_proj,10,up_proj,0p50,0.5,1.0965725183486938,0.7622893452644348,0.6951563358306885,3
Qwen3-8B,metamath,base_model.model.model.layers.10.mlp.up_proj,10,up_proj,1p00,1.0,1.0965725183486938,0.5143208503723145,0.4690258502960205,3
Qwen3-8B,metamath,base_model.model.model.layers.10.self_attn.k_proj,10,k_proj,0p00,0.0,0.3494521379470825,0.3494521379470825,1.0,4
Qwen3-8B,metamath,base_model.model.model.layers.10.self_attn.k_proj,10,k_proj,0p25,0.25,0.3494521379470825,0.29337918758392334,0.839540421962738,4
Qwen3-8B,metamath,base_model.model.model.layers.10.self_attn.k_proj,10,k_proj,0p50,0.5,0.3494521379470825,0.23962809145450592,0.6857250928878784,4
Qwen3-8B,metamath,base_model.model.model.layers.10.self_attn.k_proj,10,k_proj,1p00,1.0,0.3494521379470825,0.14936330914497375,0.42742136120796204,4
Qwen3-8B,metamath,base_model.model.model.layers.10.self_attn.o_proj,10,o_proj,0p00,0.0,0.5145576000213623,0.5145576000213623,1.0,3
Qwen3-8B,metamath,base_model.model.model.layers.10.self_attn.o_proj,10,o_proj,0p25,0.25,0.5145576000213623,0.43533965945243835,0.846046507358551,3
Qwen3-8B,metamath,base_model.model.model.layers.10.self_attn.o_proj,10,o_proj,0p50,0.5,0.5145576000213623,0.3613036572933197,0.7021636962890625,3
Qwen3-8B,metamath,base_model.model.model.layers.10.self_attn.o_proj,10,o_proj,1p00,1.0,0.5145576000213623,0.24776148796081543,0.4815039038658142,3
Qwen3-8B,metamath,base_model.model.model.layers.10.self_attn.q_proj,10,q_proj,0p00,0.0,0.9855663776397705,0.9855663776397705,1.0,2
Qwen3-8B,metamath,base_model.model.model.layers.10.self_attn.q_proj,10,q_proj,0p25,0.25,0.9855663776397705,0.7853882312774658,0.7968902587890625,2
Qwen3-8B,metamath,base_model.model.model.layers.10.self_attn.q_proj,10,q_proj,0p50,0.5,0.9855663776397705,0.5908119678497314,0.5994644165039062,2
