base	task	seed	method	checkpoint	magicoder	metamath	tulu	commonsense	target	off_score	forgetting_gap	path
Qwen3-8B	magicoder	43	original_lora	Qwen3-8B/magicoder/seed43	62.80487804878049	82.56254738438211	66.91312384473198	83.80252203736919	62.80487804878049	77.75939775549442	1.985624576956435	
Qwen3-8B	magicoder	43	hns_f4_s1	Qwen3-8B/magicoder/seed43	74.39024390243902	88.77937831690674	71.34935304990758	83.4453448407783	74.39024390243902	81.1913587358642	0.0	
Qwen3-8B	metamath	43	original_lora	Qwen3-8B/metamath/seed43	57.92682926829268	84.00303260045489	67.65249537892791	83.41748043941848	84.00303260045489	69.66560169554636	3.5232856949641636	
Qwen3-8B	metamath	43	hns_f4_s1	Qwen3-8B/metamath/seed43	73.17073170731707	86.8081880212282	72.08872458410352	84.6918197379783	86.8081880212282	76.65042534313297	0.0	
Qwen3-8B	tulu	43	original_lora	Qwen3-8B/tulu/seed43	81.70731707317073	89.15845337376801	66.17375231053605	84.50849771986391	66.17375231053605	85.12475605560088	0.0	
Qwen3-8B	tulu	43	hns_f4_s1	Qwen3-8B/tulu/seed43	80.48780487804879	89.76497346474602	72.45841035120148	84.60833296815858	72.45841035120148	84.9537037703178	0.0	
Qwen3-8B	magicoder	44	original_lora	Qwen3-8B/magicoder/seed44	64.63414634146342	84.07884761182714	68.02218114602587	83.55814378780792	64.63414634146342	78.55305751522032	1.1105054007101292	
Qwen3-8B	magicoder	44	hns_f4_s1	Qwen3-8B/magicoder/seed44	74.39024390243902	89.31008339651251	70.97966728280961	83.48186533343954	74.39024390243902	81.25720533758722	0.0	
Qwen3-8B	metamath	44	original_lora	Qwen3-8B/metamath/seed44	40.853658536585364	84.00303260045489	66.72828096118299	82.96161534896042	84.00303260045489	63.51451828224293	9.522414078114908	
Qwen3-8B	metamath	44	hns_f4_s1	Qwen3-8B/metamath/seed44	67.6829268292683	87.41470811220621	70.60998151571165	84.48500083338453	87.41470811220621	74.25930305945482	0.0	
Qwen3-8B	tulu	44	original_lora	Qwen3-8B/tulu/seed44	84.14634146341463	88.70356330553449	66.91312384473198	84.36361898487202	66.91312384473198	85.73784125127371	0.0	
Qwen3-8B	tulu	44	hns_f4_s1	Qwen3-8B/tulu/seed44	80.48780487804879	88.40030326004549	70.97966728280961	84.53963147881997	70.97966728280961	84.4759132056381	0.0	
Llama-3.1-8B-Instruct	magicoder	43	original_lora	Llama-3.1-8B-Instruct/magicoder/seed43	56.09756097560976	63.76042456406369	48.059149722735675	71.00868972615606	56.09756097560976	60.942754670985146	4.810357152723857	
Llama-3.1-8B-Instruct	magicoder	43	hns_f4_s1	Llama-3.1-8B-Instruct/magicoder/seed43	55.487804878048784	68.6125852918878	57.301293900184845	72.17000293023685	55.487804878048784	66.02796070743649	1.6019716574245209	
Llama-3.1-8B-Instruct	metamath	43	original_lora	Llama-3.1-8B-Instruct/metamath/seed43	53.65853658536586	75.05686125852918	57.301293900184845	63.77376191024572	75.05686125852918	58.24453079859881	4.1412850322109165	
Llama-3.1-8B-Instruct	metamath	43	hns_f4_s1	Llama-3.1-8B-Instruct/metamath/seed43	53.65853658536586	78.39272175890827	61.367837338262476	71.85118758170628	78.39272175890827	62.292520501778206	0.24645717806531073	
Llama-3.1-8B-Instruct	tulu	43	original_lora	Llama-3.1-8B-Instruct/tulu/seed43	64.02439024390245	64.89764973464746	62.84658040665434	73.77639264331081	62.84658040665434	67.56614420728691	0.0	
Llama-3.1-8B-Instruct	tulu	43	hns_f4_s1	Llama-3.1-8B-Instruct/tulu/seed43	63.41463414634146	67.24791508718727	65.24953789279112	72.39501806149278	65.24953789279112	67.68585576500716	0.0	
Llama-3.1-8B-Instruct	magicoder	44	original_lora	Llama-3.1-8B-Instruct/magicoder/seed44	53.65853658536586	65.50416982562547	50.27726432532348	71.2165234496967	53.65853658536586	62.33265253354855	4.001707710681046	
Llama-3.1-8B-Instruct	magicoder	44	hns_f4_s1	Llama-3.1-8B-Instruct/magicoder/seed44	53.65853658536586	69.74981046247157	58.04066543438078	71.9614516023422	53.65853658536586	66.58397583306486	1.3555144793592102	
