base_model	task	module	gamma_fro	gamma_energy	gamma_fit	shape_residual_fraction	suppressed_original_energy_share	relative_distance_to_equal_spectrum	peak_gain_ratio	nuclear_relative_error	participation_rank_sigma_probabilities	hns_majorized_by_lora_tolerance_1e_6	cached_energy_consistency_relative_error
Llama-3.1-8B-Instruct	tulu	layers.31.mlp.down_proj	0.9327401370405729	0.8202422402005786	0.7785286885965179	0.09912407557088365	0.8163067450420686	0.00017362909566655298	0.5234353030770668	1.5890172044841222e-07	13.920061768450465	True	5.058969815471399e-08
Llama-3.1-8B-Instruct	tulu	layers.31.mlp.gate_proj	0.6652599922631788	0.2604308017308898	0.21743938276124689	0.3029054019112465	0.9926816358936928	0.00016126376539138377	0.19508942315105088	3.289793792937701e-08	7.081133066834736	True	6.02251659364521e-08
Llama-3.1-8B-Instruct	tulu	layers.31.mlp.up_proj	0.8829599019242621	0.5445608972101169	0.4751844716171917	0.23856721229455657	0.9237893096585903	0.00014820245036515584	0.35237855408987806	3.7995282231584326e-07	12.473881261546937	True	1.7090430657860577e-08
Llama-3.1-8B-Instruct	tulu	layers.31.self_attn.k_proj	0.8773404277402231	0.6747712035401309	0.5974414080881587	0.21606950504021927	0.9094518981683127	0.0001633605233874173	0.40758014115596086	4.413767382693834e-07	12.31560841804706	True	5.42527379350601e-08
Llama-3.1-8B-Instruct	tulu	layers.31.self_attn.o_proj	0.9300576917862027	0.7588785150749522	0.7067583760572091	0.13264394759429943	0.8573839965306583	0.00012835660174343418	0.46209180386118803	1.848445068119986e-07	13.840111616251482	True	3.0343686050976166e-08
Llama-3.1-8B-Instruct	tulu	layers.31.self_attn.q_proj	0.9091131815460624	0.5994091304756741	0.5489542783731376	0.16126331206632916	0.9374883887700164	0.00011078430839644086	0.42665498061594775	2.2638700958310665e-07	13.223782280089418	True	1.4304894492375839e-08
Llama-3.1-8B-Instruct	tulu	layers.31.self_attn.v_proj	0.9322832696467651	0.8335884173698677	0.7807804815264668	0.12268702380779195	0.7530832605335387	0.0001613168280591126	0.5316668356028582	4.0782366050873264e-07	13.90644449867532	True	4.066556755618511e-08
Llama-3.1-8B-Instruct	tulu	layers.4.mlp.down_proj	0.884584147424979	0.800104739556603	0.7151305228613459	0.20112847118049393	0.7976314947153813	0.00014751076200219932	0.40937505789430084	4.671258946320478e-08	12.519826719252046	True	3.3307431906323086e-08
Llama-3.1-8B-Instruct	tulu	layers.4.mlp.gate_proj	0.9188934844194242	0.5651155118120913	0.5288782496345728	0.12413543395628535	0.9402523310540167	0.00018452292318745918	0.43288906084014217	1.7426530440900478e-07	13.5098386027501	True	2.504842041346609e-08
Llama-3.1-8B-Instruct	tulu	layers.4.mlp.up_proj	0.9588699479643925	0.8299746014930036	0.795324099532141	0.0817547723613331	0.7683602961649716	0.00018031346541904638	0.5591126658213393	3.388513791779957e-07	14.71089478583726	True	2.936431452215042e-08
Llama-3.1-8B-Instruct	tulu	layers.4.self_attn.k_proj	0.8708084895342392	0.7231522722157573	0.6297200599171588	0.24170962077977065	0.8365479578367472	0.00016257408963500406	0.37780111170270875	3.1506982578477505e-08	12.13291772189808	True	2.6814083847059375e-08
Llama-3.1-8B-Instruct	tulu	layers.4.self_attn.o_proj	0.9457812677254716	0.8270135458793023	0.784914290154326	0.09921898204544899	0.7986153930249664	0.0001384740993616058	0.5409433290533604	7.21385244872863e-08	14.312037092550431	True	2.572276683794275e-08
Llama-3.1-8B-Instruct	tulu	layers.4.self_attn.q_proj	0.9280204160269597	0.7769836373346667	0.7211205500571781	0.13862552543580298	0.8354853522982645	0.00015935729928493426	0.5152296120884202	3.498596463646919e-07	13.77954028926553	True	2.221363714739125e-08
Llama-3.1-8B-Instruct	tulu	layers.4.self_attn.v_proj	0.8081414868700301	0.5298964805991399	0.43819250398774245	0.31617052254249334	0.927076449365338	0.0001880091932419569	0.2974775255361647	1.708804464595204e-08	10.449482592567861	True	3.879271173790758e-08
Llama-3.1-8B-Instruct	tulu	layers.5.mlp.down_proj	0.8733578589614388	0.7939858707299208	0.7006560724050908	0.22127479376359993	0.8241099392288942	0.00010821437559900594	0.3485429075395639	8.52192714173583e-08	12.204060973999011	True	3.876876393753441e-08
Llama-3.1-8B-Instruct	tulu	layers.5.mlp.gate_proj	0.8116038685446877	0.3735257646125334	0.32377827365551837	0.2486292587618355	0.9782499380797548	0.00016533345236967	0.2776238898604276	3.844592282309378e-07	10.539205039105433	True	1.338076392364072e-08
Llama-3.1-8B-Instruct	tulu	layers.5.mlp.up_proj	0.9616847433025096	0.8725822678081926	0.8381838585338158	0.07728874146985598	0.7491396762560296	0.0001535909199236108	0.5751698284446097	1.4619172250540657e-07	14.79739605242586	True	4.598291433048769e-08
Llama-3.1-8B-Instruct	tulu	layers.5.self_attn.k_proj	0.897967175296156	0.7588586095121177	0.6929008289421481	0.16627959587965113	0.8780695691147965	5.999228767551148e-05	0.4324113187894219	2.965208636407368e-07	12.90151306897945	True	2.7457384785389918e-08
Llama-3.1-8B-Instruct	tulu	layers.5.self_attn.o_proj	0.9426030102661536	0.8358856476088616	0.7949901146663592	0.0954559521353785	0.8023866403463491	0.000159079062779043	0.5614293313541132	5.19295306533607e-07	14.215991835053138	True	4.1282342239239005e-08
Llama-3.1-8B-Instruct	tulu	layers.5.self_attn.q_proj	0.945042029596787	0.8255687213924248	0.7765604359880478	0.11520214679350316	0.7940468792880363	0.0001280228269692394	0.5154610802699269	2.1418971607456427e-07	14.289676890468169	True	3.084661396118958e-08
Llama-3.1-8B-Instruct	tulu	layers.5.self_attn.v_proj	0.8752004634358663	0.6754289744999175	0.5923471076914537	0.23088165477027545	0.8797092152817719	0.00012185770485226258	0.36963317531753725	3.813628501880828e-08	12.255614371953584	True	3.9874133132295134e-08
Llama-3.1-8B-Instruct	tulu	layers.6.mlp.down_proj	0.9039973014909268	0.7900949519639184	0.7212238122136772	0.1667380701524408	0.8248250069767863	0.0001736221032619418	0.4312530960308302	6.086347870137843e-08	13.075379135119626	True	4.243274991568426e-08
Llama-3.1-8B-Instruct	tulu	layers.6.mlp.gate_proj	0.8841029389954235	0.5216010638422711	0.48014295821095326	0.15264735244779803	0.9641854980394067	0.00015665107482133297	0.36961408059178963	3.458537212175372e-08	12.506206935885038	True	1.959809962528496e-08
Llama-3.1-8B-Instruct	tulu	layers.6.mlp.up_proj	0.9653380484350476	0.8859319272959448	0.8551433892648943	0.06829767499186779	0.7315042821071521	0.00014010530057995127	0.5912547010420651	4.7628394561627374e-08	14.910039051143123	True	2.9457390702249684e-08
Llama-3.1-8B-Instruct	tulu	layers.6.self_attn.k_proj	0.8956044275545498	0.7204417570713729	0.6430655811203639	0.20326705196002104	0.8667184587329335	0.00016779349202217144	0.4201085176449738	3.813098299332296e-07	12.833706501917378	True	3.065356303521139e-08
Llama-3.1-8B-Instruct	tulu	layers.6.self_attn.o_proj	0.9480428778785136	0.8562398425337607	0.8160030162884526	0.09177665028368887	0.7619036357119617	0.000189173225496909	0.5494829979042171	1.737657639999668e-07	14.380569255809343	True	3.213228090924395e-08
Llama-3.1-8B-Instruct	tulu	layers.6.self_attn.q_proj	0.9083716616025017	0.6739106856420359	0.6124992787488596	0.17394972918652096	0.8819408671117609	0.0001693022696561746	0.4456988501420687	4.130195507823231e-08	13.202225921776506	True	4.827756271176226e-08
Llama-3.1-8B-Instruct	tulu	layers.6.self_attn.v_proj	0.862969891966824	0.6682627856861942	0.5782342032106964	0.2512910912892239	0.9094353787095278	0.00016603744047586955	0.3783037280087698	3.985375965909199e-07	11.91548172010182	True	4.9496884081203116e-08
Llama-3.1-8B-Instruct	tulu	layers.7.mlp.down_proj	0.8077006370862443	0.6755766623631794	0.5421758473665436	0.3559329868597405	0.828293744952799	0.0001347371789188627	0.2759280017195562	7.388328684410084e-07	10.438069492914936	True	4.422688966235312e-08
Llama-3.1-8B-Instruct	tulu	layers.7.mlp.gate_proj	0.869589322418857	0.47665828868035565	0.42861595894786364	0.19142115260171344	0.9655373123725572	0.00017615117844143718	0.34554518660519595	2.2310916847345652e-07	12.098963660436343	True	1.674326534342574e-08
Llama-3.1-8B-Instruct	tulu	layers.7.mlp.up_proj	0.9431347610040786	0.8111076829387815	0.768875695533616	0.10142312960207978	0.8252975244539014	0.00016378943736008862	0.5552514178260726	8.11843070547269e-09	14.23205068790842	True	4.5143969455573114e-08
Llama-3.1-8B-Instruct	tulu	layers.7.self_attn.k_proj	0.8728875850333639	0.7126249523762023	0.6234388737904273	0.23464009433438715	0.8520230878960886	0.00011170690357158277	0.36555912873210183	6.344536696012426e-08	12.190922078647334	True	2.6796717905362188e-08
Llama-3.1-8B-Instruct	tulu	layers.7.self_attn.o_proj	0.9331169216766143	0.844114954421934	0.7926086435853352	0.11831303627082324	0.7897102956814839	0.00016017995746307425	0.45637564919051715	2.193792025817487e-07	13.931308562384086	True	4.1304221531240554e-08
Llama-3.1-8B-Instruct	tulu	layers.7.self_attn.q_proj	0.9429295796467851	0.7822516590250065	0.7357173801793988	0.11543643759969457	0.8014988116364937	0.0001024520622190435	0.5230908998873043	2.467531652339261e-07	14.225851904896306	True	4.309190703709025e-08
Llama-3.1-8B-Instruct	tulu	layers.7.self_attn.v_proj	0.8998200622934669	0.7709620424399376	0.7006515885153619	0.17407953205672433	0.857715864637247	0.00016532659180742255	0.43897174025309427	1.2666352966483885e-07	12.954814676195262	True	3.9937027797173346e-08
Llama-3.1-8B-Instruct	tulu	layers.8.mlp.down_proj	0.8805884182680158	0.7678617707153284	0.6845560888654254	0.2052107519978511	0.8566179510418414	0.00010917647392529499	0.3775141471750636	3.251100930690143e-07	12.406967183057457	True	4.4082195627522384e-08
Llama-3.1-8B-Instruct	tulu	layers.8.mlp.gate_proj	0.8568864229096148	0.43968234198866424	0.40033648992179033	0.170966069911628	0.978753286920177	0.00017877097355103498	0.33602467544831127	3.960951389103684e-08	11.74806816214154	True	5.2800220244904774e-08
Llama-3.1-8B-Instruct	tulu	layers.8.mlp.up_proj	0.9437446146873443	0.8154128847535691	0.7616533332388851	0.12751181470973183	0.7916083326885766	0.00013546884773948668	0.48168405149692956	6.486908477043585e-08	14.250460253671376	True	2.1749677342749085e-08
Llama-3.1-8B-Instruct	tulu	layers.8.self_attn.k_proj	0.9151321372887053	0.7770815474705294	0.7145732578299578	0.15440905130491522	0.8594263054654092	0.00015633429406700675	0.46175206952207115	2.669608627492437e-07	13.39946177742425	True	3.195930063946605e-08
Llama-3.1-8B-Instruct	tulu	layers.8.self_attn.o_proj	0.9445095000279177	0.8476405045898648	0.8036628363655751	0.1010731161401015	0.8266518194382373	0.00012412293131761737	0.5175196631108485	1.4133230363810867e-07	14.273566875749532	True	3.39415790323942e-08
Llama-3.1-8B-Instruct	tulu	layers.8.self_attn.q_proj	0.9415697550873597	0.8281956280998288	0.7848387107121152	0.10196148278512418	0.8458205295806157	0.00015816447078765102	0.5351950637891656	1.5645223561122634e-08	14.184856860425413	True	4.392986695564369e-08
