case	contrast	left	right	left_score	right_score	delta	bootstrap_ci_low	bootstrap_ci_high	paired_permutation_p	paired_units	paired_permutation_p_holm	paired_permutation_p_bh_fdr
qwen_commonsense	F_at_high_C	low_f_high_c_top50	high_f_high_c_top50	0.9042570079079688	0.9054115581112409	0.0011545502032720423	-0.0019970013380810614	0.004307477615999542	0.4781152188478115	22419	1.0	0.7976190508365186
qwen_commonsense	F_at_low_C	low_f_low_c_top50	high_f_low_c_top50	0.9058793849577355	0.9072962756409901	0.001416890683254679	-0.0015099167434753102	0.0044075304579635115	0.35520644793552064	22419	1.0	0.7976190508365186
qwen_commonsense	F_added_to_C	compatibility_top50	high_f_high_c_top50	0.906287294491797	0.9054115581112409	-0.000875736380556158	-0.0035747275927137025	0.0018207897960812603	0.5287347126528734	22419	1.0	0.8348442831361159
llama_tulu	vs_lora	lora	high_f_high_c_top25	0.700435954378826	0.701797342163238	0.0013613877844119715	-0.018901333332438302	0.021722435702123056	0.9046009539904601	541	1.0	0.969310996545207
llama_tulu	vs_lora	lora	high_f_low_c_top25	0.700435954378826	0.7041078782076002	0.0036719238287742373	-0.014764359625957289	0.02226720795579172	0.7033129668703313	541	1.0	0.9173647393960842
llama_tulu	vs_lora	lora	low_f_high_c_top25	0.700435954378826	0.7225301089996764	0.022094154620850404	0.000626795934778484	0.04333137505196109	0.04390956090439096	541	1.0	0.4880951190488095
llama_tulu	vs_lora	lora	low_f_low_c_top25	0.700435954378826	0.713412634033254	0.012976679654427947	-0.009444116015259808	0.03484429886011772	0.24477755222447775	541	1.0	0.7064929350706494
llama_tulu	vs_lora	lora	compatibility_top25	0.700435954378826	0.7156733023932056	0.015237348014379593	-0.0053868801735915675	0.03557774783248915	0.14627853721462786	541	1.0	0.6751317102213593
llama_tulu	vs_lora	lora	high_f_high_c_top50	0.700435954378826	0.7197823995886471	0.019346445209821095	-0.0017987613062751932	0.040374261480105665	0.06952930470695293	541	1.0	0.531669683303167
llama_tulu	vs_lora	lora	high_f_low_c_top50	0.700435954378826	0.7153735422013591	0.014937587822533072	-0.0075709821709584735	0.03699221585503732	0.17824821751782483	541	1.0	0.7064929350706494
llama_tulu	vs_lora	lora	low_f_high_c_top50	0.700435954378826	0.74049023258288	0.04005427820405405	0.019411018563617193	0.0613409991344916	0.0001999980000199998	541	0.011999880001199987	0.011999880001199987
llama_tulu	vs_lora	lora	low_f_low_c_top50	0.700435954378826	0.7137123942251006	0.01327643984627458	-0.009814008287784007	0.03700475317420745	0.26522734772652273	541	1.0	0.7064929350706494
llama_tulu	vs_lora	lora	compatibility_top50	0.700435954378826	0.715535889218385	0.01509993483955896	-0.005257244583029334	0.03548106199416095	0.14530854691453085	541	1.0	0.6751317102213593
llama_tulu	C_at_high_F	high_f_low_c_top25	high_f_high_c_top25	0.7041078782076002	0.701797342163238	-0.002310536044362266	-0.021660561718709326	0.017380495620054278	0.8200217997820022	541	1.0	0.969310996545207
llama_tulu	C_at_low_F	low_f_low_c_top25	low_f_high_c_top25	0.713412634033254	0.7225301089996764	0.009117474966422456	-0.011981775044792363	0.030615623418052483	0.4111258887411126	541	1.0	0.7976190508365186
llama_tulu	F_at_high_C	low_f_high_c_top25	high_f_high_c_top25	0.7225301089996764	0.701797342163238	-0.020732766836438432	-0.040575022183672434	-0.0016712241210479414	0.03737962620373796	541	1.0	0.4880951190488095
llama_tulu	F_at_low_C	low_f_low_c_top25	high_f_low_c_top25	0.713412634033254	0.7041078782076002	-0.00930475582565371	-0.029898311463787294	0.01137061237923711	0.3801161988380116	541	1.0	0.7976190508365186
llama_tulu	F_added_to_C	compatibility_top25	high_f_high_c_top25	0.7156733023932056	0.701797342163238	-0.013875960229967621	-0.03197008137381244	0.0034995966864550133	0.12295877041229587	541	1.0	0.6751317102213593
llama_tulu	C_at_high_F	high_f_low_c_top50	high_f_high_c_top50	0.7153735422013591	0.7197823995886471	0.004408857387288023	-0.0162313688479839	0.02474264177623686	0.6853031469685303	541	1.0	0.9173647393960842
llama_tulu	C_at_low_F	low_f_low_c_top50	low_f_high_c_top50	0.7137123942251006	0.74049023258288	0.02677783835777947	0.007837684733401696	0.04627388719286801	0.006429935700642994	541	0.3793662063379366	0.1928980710192898
llama_tulu	F_at_high_C	low_f_high_c_top50	high_f_high_c_top50	0.74049023258288	0.7197823995886471	-0.020707832994232955	-0.04118697205996497	-0.0009242144177449285	0.04880951190488095	541	1.0	0.4880951190488095
llama_tulu	F_at_low_C	low_f_low_c_top50	high_f_low_c_top50	0.7137123942251006	0.7153735422013591	0.0016611479762584924	-0.01774043114974506	0.021624897786567898	0.8776412235877641	541	1.0	0.969310996545207
llama_tulu	F_added_to_C	compatibility_top50	high_f_high_c_top50	0.715535889218385	0.7197823995886471	0.004246510370262135	-0.012643842050605732	0.021511203440838886	0.6421735782642174	541	1.0	0.9137071419983476
