base	task	seed	method	name	magicoder	metamath	tulu	commonsense	target	off_score	forgetting_gap	path	modules	functional_pr	functional_erank	protected_functional_pr	cov_functional_pr	cov_functional_erank	functional_energy_ratio	fro_ratio	max_target_to_source_gain	floored_direction_fraction	max_nuclear_relative_error	max_saved_update_error	functional_rms_ratio	functional_squared_energy_ratio	target_gain_lora	off_score_gain_lora	fg_reduction_lora	target_gain_hns	off_score_gain_hns	fg_reduction_hns
Qwen3-8B	tulu	42	functional_hns_a10	Functional-HNS α=1	81.70731707317073	89.0068233510235	73.19778188539742	84.21441063955695	73.19778188539742	84.97618368791706	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Qwen3-8B/tulu/functional_hns_a10	252	15.984745240716322	15.992307853898001	15.984745240716322	11.817574077350825	13.769241547535984	0.3376983658851874	0.791957641754613	15.125663776333234	0.001736111111111111	1.2960306707832103e-06	0.0	0.3376983658851874	0.11404018632152592	5.3604436229205135	-1.041881062964137	0	2.402957486136799	-0.386513755559335	0
Qwen3-8B	tulu	42	functional_flat	Protected Exact Functional Flat	81.09756097560977	88.93100833965126	73.75231053604436	84.3081677913908	73.75231053604436	84.77891236888394	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Qwen3-8B/tulu/functional_flat	252	15.999999999999961	15.999999999999977	15.999999999999961	11.84684041776966	13.776246510193353	0.3376007002222373	0.7920607238979368	41.15144443640536	0.001736111111111111	1.3455869702916345e-06	0.0	0.3376007002222373	0.11397423279054494	5.914972273567457	-1.2391523819972576	0	2.957486136783743	-0.5837850745924555	0
Llama-3.1-8B-Instruct	magicoder	42	original_lora	LoRA	53.65853658536586	56.25473843821076	55.26802218114602	69.0829702646439	53.65853658536586	60.201910294666895	5.038787302458779	/dataset1/zailong/models/spectral-surgery/Llama-3.1-8B-Instruct-Magicoder-50K-LoRA-E1	224	1.2546833291923658	1.6940476154493829	1.2546833291923658	1.2211812327369684	1.599638015334199	1.0	1.0	1.0	0.0005580357142857143	0.0	0.0	1.0	1.0	0.0	0.0	0.0	-1.2195121951219505	-4.6053817020401695	-4.201034974721495
Llama-3.1-8B-Instruct	magicoder	42	hns_f4_s1	HNS α=0 (4+1)	54.87804878048781	63.60879454131918	60.44362292051756	70.36945852828445	54.87804878048781	64.80729199670706	0.8377523277372845	/dataset1/zailong/runs/peft-sft-lab/hns-step-grid-2x4-20260912/adapters/Llama-3.1-8B-Instruct/magicoder/hns_f4_s1	224	4.771368231443067	8.734817801903006	4.771368231443067	3.97776932742456	7.744000847536908	0.15975892910464576	0.6417629615850727	6.393897716590051	0.0005580357142857143	1.4865901176719376e-08	0.0	0.15975892910464576	0.02552291542866323	1.2195121951219505	4.6053817020401695	4.201034974721495	0.0	0.0	0.0
Llama-3.1-8B-Instruct	magicoder	42	functional_hns_a05	Functional-HNS α=0.5	54.268292682926834	61.865049279757386	60.81330868761553	70.61300954831955	54.268292682926834	64.43045583856416	0.8102417585615171	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Llama-3.1-8B-Instruct/magicoder/functional_hns_a05	224	12.413799610997044	14.415745253735176	12.413799610997044	9.30505568161687	12.682706076757114	0.09478259679362584	0.6519185661761886	7.083844587774375	0.0005580357142857143	1.2559910729237345e-06	0.0	0.09478259679362584	0.008983740654943052	0.6097560975609753	4.228545543897262	4.228545543897262	-0.6097560975609753	-0.3768361581429076	0.02751056917576733
Llama-3.1-8B-Instruct	magicoder	42	functional_hns_a10	Functional-HNS α=1	54.87804878048781	64.6702047005307	58.9648798521257	70.7472274567822	54.87804878048781	64.7941040031462	1.2047437077019911	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Llama-3.1-8B-Instruct/magicoder/functional_hns_a10	224	15.983782136693218	15.991860937429543	15.983782136693218	13.026815762523338	14.498052213696837	0.08072386130511218	0.6675756984550603	6.050429394601693	0.0005580357142857143	1.1719389783060308e-06	0.0	0.08072386130511218	0.006516341784006987	1.2195121951219505	4.592193708479307	3.834043594756788	0.0	-0.01318799356086231	-0.36699137996470665
Llama-3.1-8B-Instruct	magicoder	42	functional_flat	Protected Exact Functional Flat	54.87804878048781	64.5185746777862	59.33456561922365	70.66557567911617	54.87804878048781	64.83957199204201	1.1087323778913476	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Llama-3.1-8B-Instruct/magicoder/functional_flat	224	15.999999999999964	15.999999999999977	15.999999999999964	13.07679275597325	14.5183570705256	0.07987932495968733	0.6681887842537934	9.804443037758123	0.0005580357142857143	1.1802637225333257e-06	0.0	0.07987932495968733	0.006380706556015327	1.2195121951219505	4.6376616973751155	3.9300549245674317	0.0	0.032279995334945966	-0.2709800501540631
Llama-3.1-8B-Instruct	metamath	42	original_lora	LoRA	54.268292682926834	77.25549658832449	54.15896487985212	65.02889136457506	77.25549658832449	57.818716309118	4.71282739586223	/dataset1/zailong/models/spectral-surgery/Llama-3.1-8B-Instruct-MetaMathQA-50K-LoRA	224	3.4372017867638185	5.43221978195765	3.4372017867638185	3.104658898613577	5.010440352892561	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	-3.563305534495825	-5.334442603416875	-2.8954182131729738
Llama-3.1-8B-Instruct	metamath	42	hns_f4_s1	HNS α=0 (4+1)	61.58536585365854	80.81880212282032	58.225508317929766	69.64860256601634	80.81880212282032	63.15315891253488	1.817409182689256	/dataset1/zailong/runs/peft-sft-lab/hns-step-grid-2x4-20260912/adapters/Llama-3.1-8B-Instruct/metamath/hns_f4_s1	224	12.034087191672649	13.924310696394313	12.034087191672649	9.649707641687819	12.44792743882505	0.5438048108759767	0.872947584275645	9.43977553653715	0.0	1.4308012441510698e-08	0.0	0.5438048108759767	0.29572367233185676	3.563305534495825	5.334442603416875	2.8954182131729738	0.0	0.0	0.0
Llama-3.1-8B-Instruct	metamath	42	functional_hns_a05	Functional-HNS α=0.5	60.36585365853659	81.12206216830933	59.88909426987061	69.68007526500301	81.12206216830933	63.3116743978034	1.2523896323800823	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Llama-3.1-8B-Instruct/metamath/functional_hns_a05	224	15.026113520345355	15.522370423692347	15.026113520345355	11.98534993066701	13.926446732029824	0.4931219029228324	0.8795129112147242	11.474356197928008	0.0	1.291665493674543e-06	0.0	0.4931219029228324	0.24316921114223536	3.8665655799848366	5.492958088685398	3.4604377634821475	0.30326004548901153	0.15851548526852355	0.5650195503091737
