checkpoint	cohort	label	feature	previous	recollected	difference
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	functional_participation	12.03402	12.03409	7.000000000090267e-05
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	functional_erank	13.92427	13.92431	4.000000000026205e-05
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	functional_top1	0.16322	0.16322	0.0
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	functional_erank_iqr	1.75387	1.75399	0.00011999999999989797
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	functional_attn_mlp_gap	-0.27894	-0.27887	7.00000000000145e-05
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	functional_energy_ratio	0.5438	0.5438	0.0
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	gamma_functional	0.45321	0.45321	0.0
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	eta_functional	0.30543	0.30543	0.0
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	functional_participation	3.87454	3.87447	-7.00000000000145e-05
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	functional_erank	6.35917	6.35927	0.00010000000000065512
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	functional_top1	0.4531	0.45311	1.0000000000010001e-05
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	functional_erank_iqr	5.58506	5.58508	1.9999999999242846e-05
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	functional_attn_mlp_gap	1.82707	1.82703	-4.0000000000040004e-05
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	functional_energy_ratio	1.0	1.0	0.0
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	gamma_functional	1.0	1.0	0.0
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	eta_functional	0.0	0.0	0.0
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	functional_participation	11.9934	11.99334	-5.9999999999504894e-05
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	functional_erank	13.90464	13.90461	-3.0000000000640625e-05
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	functional_top1	0.17337	0.17337	0.0
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	functional_erank_iqr	4.08588	4.08582	-6.000000000039307e-05
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	functional_attn_mlp_gap	1.66524	1.66539	0.00014999999999987246
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	functional_energy_ratio	0.44737	0.44736	-1.0000000000010001e-05
