base	task	method	n	functional_participation_seed42	functional_participation_seed43	functional_participation_seed44	functional_participation_mean	functional_participation_sample_sd	functional_erank_seed42	functional_erank_seed43	functional_erank_seed44	functional_erank_mean	functional_erank_sample_sd	functional_top1_seed42	functional_top1_seed43	functional_top1_seed44	functional_top1_mean	functional_top1_sample_sd	functional_erank_iqr_seed42	functional_erank_iqr_seed43	functional_erank_iqr_seed44	functional_erank_iqr_mean	functional_erank_iqr_sample_sd	functional_attn_mlp_gap_seed42	functional_attn_mlp_gap_seed43	functional_attn_mlp_gap_seed44	functional_attn_mlp_gap_mean	functional_attn_mlp_gap_sample_sd	functional_energy_ratio_seed42	functional_energy_ratio_seed43	functional_energy_ratio_seed44	functional_energy_ratio_mean	functional_energy_ratio_sample_sd	gamma_functional_seed42	gamma_functional_seed43	gamma_functional_seed44	gamma_functional_mean	gamma_functional_sample_sd	eta_functional_seed42	eta_functional_seed43	eta_functional_seed44	eta_functional_mean	eta_functional_sample_sd	functional_cov_participation_seed42	functional_cov_participation_seed43	functional_cov_participation_seed44	functional_cov_participation_mean	functional_cov_participation_sample_sd	functional_cov_erank_seed42	functional_cov_erank_seed43	functional_cov_erank_seed44	functional_cov_erank_mean	functional_cov_erank_sample_sd	functional_cov_top1_seed42	functional_cov_top1_seed43	functional_cov_top1_seed44	functional_cov_top1_mean	functional_cov_top1_sample_sd	functional_offdiag_fraction_seed42	functional_offdiag_fraction_seed43	functional_offdiag_fraction_seed44	functional_offdiag_fraction_mean	functional_offdiag_fraction_sample_sd	target_seed42	target_seed43	target_seed44	target_mean	target_sample_sd	off_score_seed42	off_score_seed43	off_score_seed44	off_score_mean	off_score_sample_sd	forgetting_gap_seed42	forgetting_gap_seed43	forgetting_gap_seed44	forgetting_gap_mean	forgetting_gap_sample_sd	target_gain_seed42	target_gain_seed43	target_gain_seed44	target_gain_mean	target_gain_sample_sd	forgetting_reduction_seed42	forgetting_reduction_seed43	forgetting_reduction_seed44	forgetting_reduction_mean	forgetting_reduction_sample_sd
Qwen3-8B	tulu	flat_nuclear	3	9.90401	10.80386	10.46155	10.389806666666667	0.4541947104858595	12.45119	13.06722	13.0472	12.855203333333336	0.35002897056291404	0.19962	0.1828	0.19559	0.19267	0.008781964472713386	2.65712	2.50524	2.86866	2.6770066666666668	0.18252433737267298	0.7352	0.40386	0.89378	0.6776133333333334	0.24998513902496952	0.42476	0.46802	0.45953	0.45077000000000006	0.022921825843505553	0.33019	0.37265	0.36424	0.35569333333333325	0.022483261181006048	0.39573	0.36602	0.37175	0.3778333333333334	0.015761542860181343	7.05786	7.44493	7.4828	7.328530000000001	0.23517062082666726	10.35153	10.78491	10.69916	10.611866666666666	0.22949869418655341	0.29425	0.28276	0.28448	0.2871633333333334	0.006197195602313464	0.24937	0.24881	0.25683	0.25167	0.004477454634052699	71.1645101663586	72.2735674676525	71.53419593345656	71.65742452248922	0.5647043370247505	85.5273794780843	85.11724338962226	84.79582260030689	85.1468151560045	0.3666738787820599	0.0	0.0	0.0	0.0	0.0	3.327171903881691	6.099815157116453	4.621072088724574	4.682686383240906	1.3873481514723043	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	tulu	hns_f4_s1	3	10.02504	10.91767	10.68992	10.54421	0.4638109876878722	12.47275	13.17903	13.15042	12.934066666666666	0.39976797424672905	0.19532	0.17972	0.19493	0.18999	0.008896218297681327	2.7095	2.45583	2.82415	2.66316	0.18848196810305207	0.74378	0.4162	1.00558	0.7218533333333333	0.29530116852686733	0.42299	0.46595	0.45798	0.4489733333333333	0.02285236165767848	0.3275	0.36958	0.36181	0.35296333333333335	0.022391499130994634	0.40052	0.37087	0.37589	0.3824266666666667	0.015869046390168923	7.1645	7.49991	7.50778	7.3907300000000005	0.19596043963004356	10.38812	10.87573	10.78464	10.682830000000001	0.25925824017762655	0.2909	0.28049	0.28501	0.2854666666666667	0.005220003192847033	0.25253	0.25173	0.25912	0.25445999999999996	0.004055453118949854	70.79482439926062	72.45841035120148	70.97966728280961	71.41096734442391	0.9118082924799005	85.36269744347639	84.9537037703178	84.4759132056381	84.93077147314409	0.4438366690685443	0.0	0.0	0.0	0.0	0.0	2.9574861367837144	6.284658040665434	4.06654343807763	4.436229205175593	1.6941130110742564	0.0	0.0	0.0	0.0	0.0
Llama-3.1-8B-Instruct	magicoder	original_lora	3	1.25468	1.24013	1.22199	1.2389333333333334	0.016377821385438758	1.69405	1.64525	1.59691	1.6454033333333333	0.048570181524607604	0.89177	0.89503	0.90336	0.8967200000000001	0.005976964112323296	1.31636	1.24259	1.21317	1.2573733333333335	0.05315970497786201	0.87291	0.84875	0.89918	0.8736133333333332	0.02522235582441364	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22118	1.19299	1.18087	1.1983466666666667	0.020681983302704078	1.59964	1.53353	1.51388	1.5490166666666667	0.04492852137933468	0.90339	0.91442	0.91918	0.91233	0.00809982098567615	0.01545	0.01757	0.01649	0.01650333333333333	0.0010600628912160502	53.65853658536586	55.487804878048784	53.65853658536586	54.268292682926834	1.0561285412005343	60.201910294666895	61.08501336320027	62.16359910257801	61.15017425348173	0.9824663866960732	5.038787302458779	4.686389313531168	4.138508653759189	4.621228423249712	0.45366272443611017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Llama-3.1-8B-Instruct	magicoder	flat_fro	3	4.56515	4.01424	4.28252	4.287303333333333	0.2754861470806351	8.6028	7.61587	7.72714	7.981936666666667	0.5405540789165626	0.43384	0.46252	0.45618	0.4508466666666667	0.015065488154498445	5.62324	4.71297	4.84122	5.059143333333334	0.49271269786086624	3.22671	3.34926	3.8883	3.4880899999999997	0.3519668431827066	0.29886	0.3039	0.30063	0.30112999999999995	0.0025569317550533047	0.27181	0.27987	0.27754	0.27640666666666663	0.004147798612919073	0.17284	0.15188	0.14767	0.15746333333333332	0.013481929881635395	3.9216	3.37965	3.41972	3.5736566666666665	0.3019930854064931	7.59052	6.66824	6.84218	7.033646666666666	0.4900456233182102	0.48132	0.52627	0.5203	0.5092966666666666	0.02441169050543884	0.12435	0.11764	0.11361	0.11853333333333332	0.005425443146263109	53.04878048780488	54.87804878048781	54.87804878048781	54.268292682926834	1.0561285412005343	64.18886186025476	65.36087203733841	66.12384997170649	65.22452795643322	0.9746727805593495	1.051835736870918	2.09488601355514	1.4787430683918668	1.5418216062726415	0.5243783427818508	-0.6097560975609753	-0.6097560975609753	1.2195121951219505	0.0	1.0561285412005343	3.9869515655878613	2.5915032999760284	2.659765585367322	3.079406816977071	0.7866975517630509
Llama-3.1-8B-Instruct	magicoder	flat_nuclear	3	4.56515	4.01424	4.28252	4.287303333333333	0.2754861470806351	8.6028	7.61587	7.72714	7.981936666666667	0.5405540789165626	0.43384	0.46252	0.45618	0.4508466666666667	0.015065488154498445	5.62324	4.71297	4.84122	5.059143333333334	0.49271269786086624	3.22671	3.34926	3.8883	3.4880899999999997	0.3519668431827066	0.15843	0.18058	0.17583	0.1716133333333333	0.011661510765476888	0.13571	0.15969	0.15444	0.14994666666666667	0.012605658782203068	0.26626	0.21801	0.22851	0.23759333333333332	0.025375102627050262	3.9216	3.37965	3.41972	3.5736566666666665	0.3019930854064931	7.59052	6.66824	6.84218	7.033646666666666	0.4900456233182102	0.48132	0.52627	0.5203	0.5092966666666666	0.02441169050543884	0.12435	0.11764	0.11361	0.11853333333333332	0.005425443146263109	54.87804878048781	54.268292682926834	55.487804878048784	54.87804878048781	0.6097560975609753	63.700751122900044	66.61619577835916	66.30013233902184	65.53902641342701	1.5998175074810705	1.5399464742256275	0.6777572396796027	1.6019716574245184	1.2732251237765828	0.516621990996236	1.2195121951219505	-1.2195121951219505	1.8292682926829258	0.6097560975609753	1.6132629945515786	3.498840828233152	4.008632073851565	2.5365369963346707	3.3480032994731292	0.7475492956148049
Llama-3.1-8B-Instruct	magicoder	hns_f4_s1	3	4.77137	4.14206	4.3729	4.428776666666667	0.3183542373415712	8.73482	7.86282	7.90177	8.166469999999999	0.4925906693188569	0.42644	0.46025	0.44991	0.44553333333333334	0.017324705865709045	5.69171	4.58458	4.88408	5.0534566666666665	0.5726696697340737	3.15154	3.54164	3.82348	3.5055533333333333	0.3374204002921777	0.15976	0.18153	0.17657	0.17262	0.01140986853561424	0.13763	0.16127	0.15582	0.15157333333333334	0.012378935064589895	0.25784	0.21078	0.22122	0.22994666666666666	0.024713901621017546	3.97777	3.43845	3.54803	3.65475	0.2850585631058994	7.744	6.77911	6.93111	7.1514066666666665	0.5187977872286399	0.47743	0.5197	0.5091	0.5020766666666666	0.02199280867313981	0.12983	0.12303	0.11461	0.12248999999999999	0.007624355710484656	54.87804878048781	56.09756097560976	53.65853658536586	54.87804878048781	1.2195121951219505	64.80729199670706	65.93811680274065	66.30554544022351	65.68365141322374	0.7808683122644412	0.8377523277372845	1.7252002464571774	1.5403573629081915	1.367769979034218	0.4682208409654724	1.2195121951219505	0.6097560975609753	0.0	0.6097560975609753	0.6097560975609753	4.201034974721495	2.961189067073991	2.598151290850997	3.2534584442154943	0.8404612231480855
Llama-3.1-8B-Instruct	metamath	original_lora	3	3.4372	1.68116	1.67346	2.26394	1.0160802592315235	5.43222	2.44008	2.44247	3.4382566666666663	1.7268233143646552	0.47781	0.75552	0.75476	0.6626966666666667	0.16011700107525537	2.9366	1.9016	1.9283	2.2555	0.5900009576263414	0.59573	1.04505	0.87926	0.8400133333333333	0.22721650739621307	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.10466	1.43466	1.42326	1.9875266666666667	0.9674826372257713	5.01044	2.08152	2.02211	3.0380233333333333	1.708421206035951	0.51627	0.82791	0.83181	0.72533	0.18106177177968852	0.06727	0.07507	0.07798	0.07343999999999999	0.005537932827328261	77.25549658832449	74.82941622441244	74.60197119029569	75.56229466767753	1.4707591131616309	57.818716309118	58.316737431116444	59.581120607236016	58.572191449156826	0.9085481792430945	4.71282739586223	4.214806273863796	3.356927162784873	4.094853610836966	0.6858628445543824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Llama-3.1-8B-Instruct	metamath	flat_fro	3	11.91933	5.00924	4.70497	7.21118	4.080214746199029	13.88745	8.28896	8.08886	10.088423333333333	3.2915745036431017	0.1635	0.3828	0.38699	0.31109666666666663	0.12783963013609406	1.77825	4.77985	4.96436	3.8408199999999995	1.788618807543966	-0.35194	2.56582	3.09289	1.7689233333333334	1.8555313673536573	0.64024	0.37797	0.38339	0.46720000000000006	0.1498815375554975	0.54245	0.34656	0.35096	0.4133233333333333	0.1118486121207292	0.28214	0.15931	0.16204	0.20116333333333333	0.07014113367584911	9.4899	3.10171	3.19168	5.261096666666667	3.6625273888714247	12.33566	6.07793	6.32474	8.24611	3.543803492844941	0.2336	0.54748	0.54067	0.4405833333333333	0.17928516177679993	0.18593	0.25415	0.26101	0.23369666666666666	0.04150910422224663	79.98483699772555	76.80060652009098	78.69598180439728	78.49380844073794	1.6017136090463306	61.13870470613176	61.14397331639401	62.253965635153214	61.51221455255966	0.6423806822749685	2.2058471289297663	1.3875703885862218	0.887334167387993	1.4935838949679938	0.6656187009767176	2.729340409401061	1.9711902956785394	4.094010614101592	2.9315137730603973	1.0757541902346628	2.5069802669324637	2.827235885277574	2.46959299539688	2.601269715868973	0.19658327575385554
Llama-3.1-8B-Instruct	metamath	flat_nuclear	3	11.91933	5.00924	4.70497	7.21118	4.080214746199029	13.88745	8.28896	8.08886	10.088423333333333	3.2915745036431017	0.1635	0.3828	0.38699	0.31109666666666663	0.12783963013609406	1.77825	4.77985	4.96436	3.8408199999999995	1.788618807543966	-0.35194	2.56582	3.09289	1.7689233333333334	1.8555313673536573	0.54596	0.28906	0.2952	0.37674	0.14658097147992982	0.45727	0.26075	0.26608	0.32803333333333334	0.11195396032893762	0.29852	0.18629	0.18761	0.22414	0.06441835064638025	9.4899	3.10171	3.19168	5.261096666666667	3.6625273888714247	12.33566	6.07793	6.32474	8.24611	3.543803492844941	0.2336	0.54748	0.54067	0.4405833333333333	0.17928516177679993	0.18593	0.25415	0.26101	0.23369666666666666	0.04150910422224663	80.89461713419257	78.77179681576952	78.39272175890827	79.35304523629011	1.3484277555677644	63.241029624404554	61.628387036986474	61.84474278393521	62.23805314844208	0.8753135499979504	1.3230344057789314	0.43130006161429196	0.6161429451632733	0.7901591375188323	0.47064717309480364	3.6391205458680815	3.942380591357079	3.79075056861258	3.79075056861258	0.15163002274449866	3.389792990083299	3.783506212249504	2.7407842176215995	3.304694473318134	0.5265440225535962
Llama-3.1-8B-Instruct	metamath	hns_f4_s1	3	12.03409	5.06825	4.8958	7.332713333333334	4.072424544670329	13.92431	8.33411	8.24364	10.167353333333333	3.2539343496194473	0.16322	0.38361	0.37873	0.30852	0.1258571456056429	1.75399	4.82918	5.06688	3.88335	1.8479057956779075	-0.27887	2.62369	3.08226	1.8090266666666668	1.8226508111081876	0.5438	0.28482	0.29044	0.37301999999999996	0.14792651013256547	0.45321	0.25576	0.26039	0.32312	0.11268502695566968	0.30543	0.19365	0.19625	0.23177666666666666	0.0637989038568323	9.64971	3.13691	3.28795	5.3581900000000005	3.7173325386895377	12.44793	6.15762	6.39393	8.333160000000001	3.5654536483735133	0.23207	0.54425	0.53286	0.43639333333333336	0.17704081855135367	0.18847	0.25436	0.26283	0.23521999999999998	0.04070758037515863	80.81880212282032	78.39272175890827	79.15087187263077	79.45413191811978	1.241145226970802	63.15315891253488	62.09238252054137	62.55066479769591	62.59873541025738	0.5320194792455603	1.817409182689256	0.3696857670979625	0.0	0.7290316499290729	0.9605160758475414	3.563305534495825	3.563305534495825	4.548900682335088	3.891837250442246	0.5690336239169873	2.8954182131729738	3.8451205067658334	3.356927162784873	3.3658219609078937	0.47491362339810966
