cohort	outcome	feature	family	sources	raw_spearman	within_base_spearman	within_base_task_spearman	within_base_task_pearson	permutation_p	exact_seed_permutations	fdr_q
source18	forgetting_gap	d_flat_l1	source	18	-0.0352701839675031	0.6218706970438532	-0.27386127875258304	-0.23684858427739222	0.4367283950617284	46656	0.6793552812071331
source18	hns_target_gain	d_flat_l1	source	18	0.620868099892994	0.1338923854009157	-0.2175970699446223	-0.34171821285411247	0.5046296296296297	46656	0.9511442336645588
source18	hns_off_gain	d_flat_l1	source	18	0.11661506707946336	0.525	-0.25000000000000006	-0.36746555212033144	0.4834533607681756	46656	0.7251800411522634
source18	hns_forgetting_reduction	d_flat_l1	source	18	0.060166784415152344	0.6806963035209745	0.0	-0.08976781541344879	1.0	46656	1.0
source18	target	soft_rank	source	18	-0.1188631919515214	0.4360673247030773	-0.1781741612749496	0.27156550593715095	0.6111111111111112	46656	0.9319319319319319
source18	off_score	soft_rank	source	18	-0.4427244582043343	0.4	-0.5000000000000001	-0.40837830586721885	0.1143261316872428	46656	0.21825897867564537
source18	forgetting_gap	soft_rank	source	18	-0.11618413542236315	-0.6050633809075329	0.3651483716701107	0.3840084695184586	0.2824074074074074	46656	0.5391414141414141
source18	hns_target_gain	soft_rank	source	18	-0.43285147064087265	-0.025104822262671692	0.08703882797784893	0.1479328645454819	0.8297325102880658	46656	0.9511442336645588
source18	hns_off_gain	soft_rank	source	18	-0.26934984520123834	-0.5416666666666666	0.33333333333333337	0.5595434212017251	0.3191872427983539	46656	0.6383744855967078
source18	hns_forgetting_reduction	soft_rank	source	18	-0.17842563654148627	-0.6134670389756931	0.09128709291752768	0.19488903131275254	0.8868312757201646	46656	0.9550490661601773
source18	target	head_tail	source	18	0.4103364104761217	-0.03354364036177518	0.1781741612749496	-0.1752673628442274	0.6111111111111112	46656	0.9319319319319319
source18	off_score	head_tail	source	18	0.5356037151702786	-0.6	0.08333333333333334	0.28270809304373834	0.8846879286694102	46656	0.977812973792506
source18	forgetting_gap	head_tail	source	18	-0.04875584254331311	0.5546414324985718	0.09128709291752768	-0.25395017572082257	0.8868312757201646	46656	0.9550490661601773
source18	hns_target_gain	head_tail	source	18	0.6849177208470133	0.2761530448893886	0.0	-0.2830054424197172	1.0	46656	1.0
source18	hns_off_gain	head_tail	source	18	0.10010319917440659	0.49166666666666664	0.0	-0.3993900553069626	1.0	46656	1.0
source18	hns_forgetting_reduction	head_tail	source	18	0.07780187639890389	0.7143109357936152	0.3651483716701107	-0.09156122433723887	0.2824074074074074	46656	0.7413194444444444
source18	target	erank_iqr	source	18	0.16330768981165547	-0.11320978622099122	0.7126966450997984	0.5676853029118225	0.013717421124828532	46656	0.5761316872427983
source18	off_score	erank_iqr	source	18	0.283797729618163	-0.5583333333333333	0.25000000000000006	0.046277321490131904	0.4834533607681756	46656	0.7001738328366681
source18	forgetting_gap	erank_iqr	source	18	0.2863109051479663	0.7311182519299355	-0.09128709291752768	0.01346854102582378	0.8868312757201646	46656	0.9550490661601773
source18	hns_target_gain	erank_iqr	source	18	0.2789257686707294	-0.20083857810137354	-0.3046358979224712	-0.46541153415830955	0.3293895747599451	46656	0.9511442336645588
source18	hns_off_gain	erank_iqr	source	18	0.4716202270381836	0.7833333333333333	0.08333333333333334	-0.050825139310837396	0.8846879286694102	46656	1.0
source18	hns_forgetting_reduction	erank_iqr	source	18	0.3029086387797325	0.6218706970438532	-0.3651483716701107	-0.04598744274445502	0.2824074074074074	46656	0.7413194444444444
source18	target	erank_depth_slope	source	18	0.744186940913873	0.733767132913832	-0.0445435403187374	-0.5481502308781282	0.9567901234567902	46656	0.95679012345679
