checkpoint	base	train_task	seed	module	nuclear	fro	sigma1	entropy_rank	top1_energy
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.26.mlp.gate_proj	10.39536041021347	4.383521253518552	3.8543002605438232	9.262263313105535	0.7731163458738327
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.26.mlp.up_proj	9.172405242919922	3.048705097971093	2.295408248901367	12.162284865517586	0.5668772681323587
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.26.self_attn.k_proj	3.5136264637112617	1.2383219866219697	0.9361320734024048	11.262918895562784	0.5714879562296146
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.26.self_attn.o_proj	7.400204747915268	2.0673207938038103	1.1581707000732422	14.383849617077486	0.313855252858496
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.26.self_attn.q_proj	6.404519461095333	2.448444443987113	2.023792028427124	10.333473366850916	0.6832053420420544
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.26.self_attn.v_proj	2.311811424791813	0.8135883194458295	0.6246326565742493	11.442252960437704	0.5894404858627424
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.27.mlp.down_proj	5.718934550881386	1.7069296897349138	1.0427273511886597	13.530400582645612	0.3731730447418658
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.27.mlp.gate_proj	9.80626155436039	4.392057515396892	4.032721996307373	8.82324808746027	0.8430639729100382
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.27.mlp.up_proj	8.459114402532578	3.01776936191842	2.499729633331299	11.565388419839715	0.6861419733293885
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.27.self_attn.k_proj	2.95318840816617	1.1298712211694248	0.8990201354026794	10.215503017669018	0.6331125808950792
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.27.self_attn.o_proj	5.809963673353195	1.9055026360720333	1.4854474067687988	12.616184170453513	0.6077086975679293
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.27.self_attn.q_proj	6.049667730927467	2.302828432587173	1.9421693086624146	10.591091830276154	0.7112970504029996
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.27.self_attn.v_proj	1.7259694375097752	0.6691510512953402	0.5676484107971191	10.41971239534372	0.7196320935949728
