base	train_task	method	quantity	n	mean	sample_sd	seed42	seed43	seed44
Qwen3-8B	magicoder	hns_f4_s1	entropy_rank	3	0.9998900000000001	1.3597399555105182e-16	0.99989	0.99989	0.99989
Qwen3-8B	magicoder	hns_f4_s1	energy_entropy_rank	3	0.9995566666666665	5.773502691869983e-06	0.99956	0.99955	0.99956
Qwen3-8B	magicoder	hns_f4_s1	stable_rank	3	0.9579233333333333	0.000217791949652257	0.95768	0.9581	0.95799
Qwen3-8B	magicoder	hns_f4_s1	participation_rank	3	0.9991233333333334	1.1547005383739966e-05	0.99913	0.99911	0.99913
Qwen3-8B	magicoder	hns_f4_s1	nuclear_participation_rank	3	0.99978	0.0	0.99978	0.99978	0.99978
Qwen3-8B	magicoder	hns_f4_s1	top1_energy	3	0.06525333333333334	1.5275252316513544e-05	0.06527	0.06524	0.06525
Qwen3-8B	magicoder	hns_f4_s1	top4_energy	3	0.25784	9.165151389909339e-05	0.25774	0.25792	0.25786
Qwen3-8B	magicoder	hns_f4_s1	log_condition	3	0.05276333333333333	0.00038017539811688864	0.05315	0.05239	0.05275
Qwen3-8B	magicoder	hns_f4_s1	log_fro	3	1.3426153154383689	0.11401518682514893	1.4742557950053463	1.2783922391736724	1.275197912136088
Qwen3-8B	magicoder	hns_f4_s1	log_nuclear	3	5.357239865134172	0.09410609379899855	5.465867724653845	5.305364785971763	5.300487084776908
Qwen3-8B	magicoder	hns_f4_s1	log_head_rss	3	-0.02234663050220582	0.11450842833481782	0.10986213349227039	-0.08677405036517255	-0.0901279746337153
Qwen3-8B	magicoder	hns_f4_s1	fro_ratio	3	0.5749033333333333	0.04612074406742954	0.52165	0.6011	0.60196
Qwen3-8B	magicoder	hns_f4_s1	nuclear_ratio	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	hns_f4_s1	head_ratio	3	0.16244333333333336	0.017695811180427234	0.14201	0.17263	0.17269
Qwen3-8B	magicoder	hns_f4_s1	original_head1_retention	3	0.025606666666666666	0.005098042107842316	0.01972	0.02853	0.02857
Qwen3-8B	magicoder	hns_f4_s1	original_head4_retention	3	0.09000000000000001	0.01513006609370891	0.07253	0.0986	0.09887
Qwen3-8B	magicoder	hns_f4_s1	scalar_fit	3	0.33271333333333336	0.05110108250647273	0.27371	0.36169	0.36274
Qwen3-8B	magicoder	hns_f4_s1	shape_residual	3	0.6665033333333333	0.05039391861458416	0.72469	0.63794	0.63688
Qwen3-8B	magicoder	hns_f4_s1	displacement	3	0.8160166666666666	0.03054938515475118	0.85129	0.79871	0.79805
Qwen3-8B	magicoder	hns_f4_s1	target	3	74.59349593495934	0.3520428470668448	75.0	74.39024390243902	74.39024390243902
Qwen3-8B	magicoder	hns_f4_s1	target_gain	3	10.365853658536581	1.0561285412005386	9.756097560975604	11.585365853658537	9.756097560975604
