cohort	field	value	clusters	feature	outcome	within_spearman
joint_flat_hns	base	Qwen3-8B	9	top4_energy	forgetting_reduction	-0.5657789498610037
joint_flat_hns	base	Qwen3-8B	9	log_condition	target_gain	-0.6611360631499735
joint_flat_hns	base	Qwen3-8B	9	log_condition	off_gain	-0.19910637119578684
joint_flat_hns	base	Qwen3-8B	9	log_condition	forgetting_reduction	-0.5657789498610037
joint_flat_hns	base	Qwen3-8B	9	log_fro	target_gain	-0.5003191829243043
joint_flat_hns	base	Qwen3-8B	9	log_fro	off_gain	-0.32793990549894303
joint_flat_hns	base	Qwen3-8B	9	log_fro	forgetting_reduction	-0.548634133198549
joint_flat_hns	base	Qwen3-8B	9	log_nuclear	target_gain	0.20425445111512397
joint_flat_hns	base	Qwen3-8B	9	log_nuclear	off_gain	-0.08606629658238703
joint_flat_hns	base	Qwen3-8B	9	log_nuclear	forgetting_reduction	0.0839921051131616
joint_flat_hns	base	Qwen3-8B	9	log_head_rss	target_gain	-0.6667624452271301
joint_flat_hns	base	Qwen3-8B	9	log_head_rss	off_gain	-0.3555555555555555
joint_flat_hns	base	Qwen3-8B	9	log_head_rss	forgetting_reduction	-0.6831300510639732
joint_flat_hns	base	Qwen3-8B	9	fro_ratio	target_gain	-0.5003191829243043
joint_flat_hns	base	Qwen3-8B	9	fro_ratio	off_gain	-0.32793990549894303
joint_flat_hns	base	Qwen3-8B	9	fro_ratio	forgetting_reduction	-0.548634133198549
joint_flat_hns	base	Qwen3-8B	9	nuclear_ratio	target_gain	0.20425445111512397
joint_flat_hns	base	Qwen3-8B	9	nuclear_ratio	off_gain	-0.08606629658238703
joint_flat_hns	base	Qwen3-8B	9	nuclear_ratio	forgetting_reduction	0.0839921051131616
joint_flat_hns	base	Qwen3-8B	9	head_ratio	target_gain	-0.6667624452271301
joint_flat_hns	base	Qwen3-8B	9	head_ratio	off_gain	-0.3555555555555555
joint_flat_hns	base	Qwen3-8B	9	head_ratio	forgetting_reduction	-0.6831300510639732
joint_flat_hns	base	Qwen3-8B	9	original_head1_retention	target_gain	-0.6441603284397698
joint_flat_hns	base	Qwen3-8B	9	original_head1_retention	off_gain	-0.33333333333333326
joint_flat_hns	base	Qwen3-8B	9	original_head1_retention	forgetting_reduction	-0.6831300510639732
joint_flat_hns	base	Qwen3-8B	9	original_head4_retention	target_gain	-0.6215582116524094
joint_flat_hns	base	Qwen3-8B	9	original_head4_retention	off_gain	-0.2666666666666666
joint_flat_hns	base	Qwen3-8B	9	original_head4_retention	forgetting_reduction	-0.6831300510639732
joint_flat_hns	base	Qwen3-8B	9	scalar_fit	target_gain	-0.6215582116524094
joint_flat_hns	base	Qwen3-8B	9	scalar_fit	off_gain	-0.28888888888888886
joint_flat_hns	base	Qwen3-8B	9	scalar_fit	forgetting_reduction	-0.6831300510639732
joint_flat_hns	base	Qwen3-8B	9	shape_residual	target_gain	0.5537518612903285
joint_flat_hns	base	Qwen3-8B	9	shape_residual	off_gain	0.06666666666666665
joint_flat_hns	base	Qwen3-8B	9	shape_residual	forgetting_reduction	0.4879500364742666
joint_flat_hns	base	Qwen3-8B	9	displacement	target_gain	0.5537518612903285
joint_flat_hns	base	Qwen3-8B	9	displacement	off_gain	0.06666666666666665
joint_flat_hns	base	Qwen3-8B	9	displacement	forgetting_reduction	0.4879500364742666
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	entropy_rank	target_gain	0.297809037454943
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	entropy_rank	off_gain	0.3396520449810481
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	entropy_rank	forgetting_reduction	0.4687866253858433
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	energy_entropy_rank	target_gain	0.297809037454943
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	energy_entropy_rank	off_gain	0.3396520449810481
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	energy_entropy_rank	forgetting_reduction	0.4687866253858433
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	stable_rank	target_gain	0.297809037454943
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	stable_rank	off_gain	0.3396520449810481
