cohort	model	split	rows	clusters	normalized_mse	zero_normalized_mse	train_mean_normalized_mse	feature_selection	skill_vs_zero	skill_vs_train_mean	target_gain_rmse	target_gain_r2	target_gain_pearson	forgetting_reduction_rmse	forgetting_reduction_r2	forgetting_reduction_pearson
hns_grid_target	shape_plus_strength	base	162	18	3.0393221107754678	10.213566115776343	6.779864883113807	{'entropy_rank+log_fro': 1, 'top1_energy+scalar_fit': 1}	0.7024230247963255	0.5517134687528478	2.8822094139199947	0.18768673568783512	0.4998957259656872			
hns_grid_target	shape_plus_strength	train_task	162	18	3.3456361151138228	8.203843694807992	4.232968307612652	{'entropy_rank+log_fro': 1, 'top1_energy+scalar_fit': 2}	0.592186755431336	0.20962410488711525	3.102755834617814	0.05861411526451521	0.39403572970326634			
hns_grid_retention	single	seed	108	12	1.4833470769107513	3.5495837289374785	1.8370799676685263	{'entropy_rank': 2}	0.582106751048588	0.19255171085813116	2.771976051725718	0.3703932245213517	0.6411938775543036	2.488774747626397	0.025546072151480748	0.22421243339193808
hns_grid_retention	single	base	108	12	6.897982186587617	6.541826221253474	4.407893900783716	{'entropy_rank': 1, 'log_fro': 1}	-0.0544428961101171	-0.5649156585554767	5.759942518882538	-1.71848376715432	-0.765481178235911	3.2670548501404872	-0.6792021402244177	0.2277231250005185
hns_grid_retention	single	train_task	108	12	5.750483844794922	7.541675927137082	4.725152727668211	{'log_fro': 2, 'entropy_rank': 1}	0.23750584083001292	-0.21699428065528292	4.338619720019348	-0.5423879264457325	0.01582319411724313	4.789282020546135	-2.6085352372396287	-0.3604747330590391
hns_grid_retention	shape_plus_strength	seed	108	12	1.4125991711076835	3.5495837289374785	1.8370799676685263	{'top1_energy+scalar_fit': 1, 'entropy_rank+scalar_fit': 1}	0.6020380757350028	0.23106277572639344	2.7085142227422794	0.39889175334233284	0.6517107818577408	2.4646802492871416	0.04432264115391804	0.29810169955733434
hns_grid_retention	shape_plus_strength	base	108	12	8.905355617918758	6.541826221253474	4.407893900783716	{'entropy_rank+log_fro': 1, 'top1_energy+log_fro': 1}	-0.36129504464464524	-1.0203198666681614	3.7526121815233178	-0.1538724740031454	0.19015558882353398	5.358957408284559	-3.518046934786317	0.17010285816196238
hns_grid_retention	shape_plus_strength	train_task	108	12	4.6458441013042355	7.541675927137082	4.725152727668211	{'entropy_rank+log_fro': 1, 'entropy_rank+scalar_fit': 1, 'stable_rank+log_fro': 1}	0.3839772291743305	0.01678435194265404	4.0407471089767295	-0.3378696044935241	0.1023143401882254	4.3502201386225385	-1.977231439760092	-0.14316952657248158
scalar_common_basis_seed42	single	base	42	6	2.5077130910400918	4.798642841343656	2.5749335464825673	{'original_head4_retention': 1, 'scalar_fit': 1}	0.47741201544853606	0.026105704954716424	2.766421326482289	-0.38233708192948535	0.024875770555061256	1.3497133175136764	-0.5630707870881362	-0.02387310310591292
scalar_common_basis_seed42	single	train_task	42	6	2.442956110824603	4.389075117999012	2.667832886977189	{'original_head1_retention': 1, 'log_fro': 1, 'original_head4_retention': 1}	0.4434007062657995	0.08429192744804359	2.3713718051158788	-0.015726105045584804	0.18850237318622257	1.3695568773978968	-0.6093693519299559	-0.22708000150640215
scalar_common_basis_seed42	shape_plus_strength	base	42	6	2.6714408017311824	4.798642841343656	2.5749335464825673	{'stable_rank+original_head1_retention': 1, 'entropy_rank+log_fro': 1}	0.44329242870195384	-0.0374795129685761	2.779630278771027	-0.39556920672839935	0.06599756443855245	1.4186168467411633	-0.7267354544691738	-0.10701149956298876
scalar_common_basis_seed42	shape_plus_strength	train_task	42	6	2.4848369155769254	4.389075117999012	2.667832886977189	{'stable_rank+original_head1_retention': 1, 'stable_rank+scalar_fit': 1, 'entropy_rank+original_head1_retention': 1}	0.4338586493115736	0.06859349110416302	2.307124338333609	0.038566364299694955	0.28636818058213565	1.4101167559261083	-0.706104885972568	-0.25361532598780784
