cohort	outcome	feature	family	rows	source_clusters	raw_pearson	raw_spearman	within_pearson	within_spearman	cluster_ci_low	cluster_ci_high	partial_pearson_logFro	median_checkpoint_spearman	positive_checkpoints	negative_checkpoints	nonconstant_checkpoints	permutation_p	fdr_q	missing_rows
joint_flat_hns	off_gain	base_bilateral_overlap_k32	scope	72	18	-0.35670977863920944	-0.5563755891244323	-0.6715983350745512	-0.4242795649614986	-0.6288281455225324	-0.20307528254700674	-0.5352524490062247	-0.3999999999999999	3	15	18	0.0034982508745627187	0.005247376311844078	
joint_flat_hns	forgetting_reduction	shannon_eff_rank	core	72	18	0.42079465120021076	0.47430063695726743	0.706824937311733	0.503545738117693	0.40030551563799577	0.597528743922827	0.6123411660460449	0.6324555320336759	14	0	14	0.0004997501249375312	0.0005532947811808382	
joint_flat_hns	forgetting_reduction	r2_participation	core	72	18	0.43066393548112875	0.47433654120284086	0.7187621937675025	0.503545738117693	0.40030551563799577	0.597528743922827	0.6286652017974923	0.6324555320336759	14	0	14	0.0004997501249375312	0.0005532947811808382	
joint_flat_hns	forgetting_reduction	stable_rank	core	72	18	0.4623790834708779	0.48753038687853434	0.7248506973508619	0.503545738117693	0.40030551563799577	0.597528743922827	0.6424305709691812	0.6324555320336759	14	0	14	0.0004997501249375312	0.0005532947811808382	
joint_flat_hns	forgetting_reduction	flatness	core	72	18	0.42671926349412775	0.4796594537834128	0.7159582017330989	0.503545738117693	0.40030551563799577	0.597528743922827	0.6251058208458284	0.6324555320336759	14	0	14	0.0004997501249375312	0.0005532947811808382	
joint_flat_hns	forgetting_reduction	gini	core	72	18	-0.4507777584517095	-0.4758402946849722	-0.7301371364462056	-0.503545738117693	-0.5975287439228271	-0.4003055156379958	-0.6459390879173463	-0.6324555320336759	0	14	14	0.0004997501249375312	0.0005532947811808382	
joint_flat_hns	forgetting_reduction	decay_slope	core	72	18	0.4552423839091687	0.47548771352882135	0.7327901308326741	0.503545738117693	0.40030551563799577	0.597528743922827	0.6508739111190053	0.6324555320336759	14	0	14	0.0004997501249375312	0.0005532947811808382	
joint_flat_hns	forgetting_reduction	erank_energy	core	72	18	0.44488019610371865	0.4746980566691127	0.7316157691019897	0.503545738117693	0.40030551563799577	0.597528743922827	0.6466676267064346	0.6324555320336759	14	0	14	0.0004997501249375312	0.0005532947811808382	
joint_flat_hns	forgetting_reduction	entropy_gap	core	72	18	-0.4234371049203636	-0.4738666334961886	-0.7122294351554466	-0.503545738117693	-0.5975287439228271	-0.4003055156379958	-0.6194576951174788	-0.6324555320336759	0	14	14	0.0004997501249375312	0.0005532947811808382	
joint_flat_hns	forgetting_reduction	hill_tail_contrast	core	72	18	-0.4539010077678966	-0.4605224732910751	-0.7301485639615616	-0.503545738117693	-0.5975287439228271	-0.4003055156379958	-0.6466260202491388	-0.6324555320336759	0	14	14	0.0004997501249375312	0.0005532947811808382	
joint_flat_hns	forgetting_reduction	d_flat_l1	core	72	18	-0.44848930255487757	-0.4752334807390468	-0.7284982976267754	-0.503545738117693	-0.5975287439228271	-0.4003055156379958	-0.6434981488585777	-0.6324555320336759	0	14	14	0.0004997501249375312	0.0005532947811808382	
joint_flat_hns	forgetting_reduction	soft_rank	core	72	18	0.4599230287828851	0.48753038687853434	0.7294956317623358	0.503545738117693	0.40030551563799577	0.597528743922827	0.6464094974111655	0.6324555320336759	14	0	14	0.0004997501249375312	0.0005532947811808382	
joint_flat_hns	forgetting_reduction	head_tail	core	72	18	-0.4527265997245284	-0.4725742078583739	-0.7325702256988939	-0.503545738117693	-0.5975287439228271	-0.4003055156379958	-0.6497318727540333	-0.6324555320336759	0	14	14	0.0004997501249375312	0.0005532947811808382	
joint_flat_hns	forgetting_reduction	erank_iqr	core	72	18	-0.4297390369897436	-0.4626106463475048	-0.7394479976253278	-0.503545738117693	-0.5975287439228271	-0.4003055156379958	-0.6570231907029715	-0.6324555320336759	0	14	14	0.0004997501249375312	0.0005532947811808382	
joint_flat_hns	forgetting_reduction	erank_depth_slope	core	72	18	0.02999875419810166	0.1987839007413976	0.10493121998395437	0.3962029078465308	0.08141715427760426	0.6466476155795786	0.07724984605952853	0.7745966692414834	11	3	14	0.0029985007496251873	0.003205293904771752	
joint_flat_hns	forgetting_reduction	erank_depth_slope_normalized	core	72	18	0.01449298880188183	0.16220077848702244	0.07206893923726451	0.3321259123754996	0.07043589516566626	0.5471907305843097	0.049562115422507956	0.6324555320336759	11	3	14	0.014492753623188406	0.01497584541062802	
joint_flat_hns	forgetting_reduction	erank_attn_mlp_gap	core	72	18	-0.281885626384342	-0.29620596107558617	-0.6982855381837655	-0.6535380856421121	-0.7574684047477082	-0.5345030466333306	-0.6158354808663453	-0.8164965809277261	0	14	14	0.0004997501249375312	0.0005532947811808382	
joint_flat_hns	forgetting_reduction	gamma_param	core	72	18	-0.5121090840578111	-0.6169306590393178	-0.7086406088481928	-0.6708203932499369	-0.7930565957365365	-0.5361092223265058	-0.6724882123465162	-0.7872983346207416	0	14	14	0.0004997501249375312	0.0005532947811808382	
joint_flat_hns	forgetting_reduction	eta_param	core	72	18	0.5348037049357748	0.6092743447752671	0.745768015845466	0.521749194749951	0.37160132896731796	0.6742090168660103	0.6664323804563058	0.7745966692414834	14	0	14	0.0004997501249375312	0.0005532947811808382	
joint_flat_hns	forgetting_reduction	fro_ratio	core	72	18	-0.35474784285802385	-0.4205042170572785	-0.4623426579526704	-0.51425947722658	-0.6796157278910325	-0.3166170498892178	-0.17745800997086864	-0.6410979206622196	2	12	14	0.0004997501249375312	0.0005532947811808382	
joint_flat_hns	forgetting_reduction	original_head1_retention	core	72	18	-0.48542262411286236	-0.6172638275953272	-0.7273569657814735	-0.6979242475226616	-0.8169342829391505	-0.559417501440154	-0.6402807090357742	-0.7999999999999998	0	14	14	0.0004997501249375312	0.0005532947811808382	
joint_flat_hns	forgetting_reduction	previous_mean_entropy_rank	core	72	18	0.4249187050830294	0.4743376133148033	0.7161361258679101	0.503545738117693	0.40030551563799577	0.597528743922827	0.6249972632615527	0.6324555320336759	14	0	14	0.0004997501249375312	0.0005532947811808382	
joint_flat_hns	forgetting_reduction	base_left_overlap_k16	core	72	18	-0.18138647568726016	-0.27181097212559	-0.15921286273469337	-0.22613350843332272	-0.5089751356642096	0.10352814056812723	-0.007293814841149886	-0.5872983346207417	5	9	14	0.09645177411294353	0.09645177411294353	
joint_flat_hns	forgetting_reduction	base_right_overlap_k16	core	72	18	-0.34759458202197946	-0.5324351944357935	-0.675418813314398	-0.6301646118408498	-0.7785301640240222	-0.466097119702629	-0.5783327207961286	-0.7745966692414834	0	14	14	0.0004997501249375312	0.0005532947811808382	
joint_flat_hns	forgetting_reduction	base_bilateral_overlap_k16	core	72	18	-0.33437200753363705	-0.6233565572292635	-0.5878607442741758	-0.6623482725574058	-0.7922766126578759	-0.5208581094779711	-0.4513980513415563	-0.8164965809277261	0	14	14	0.0004997501249375312	0.0005532947811808382	
joint_flat_hns	forgetting_reduction	base_left_overlap_k4	scope	72	18	-0.2062011223245738	-0.28467672649387354	-0.3011696501712227	-0.37267799624996495	-0.6007961157098128	-0.11263823577649874	-0.09010574116929346	-0.7562307283070526	2	11	14	0.004497751124437781	0.005397301349325337	
joint_flat_hns	forgetting_reduction	base_right_overlap_k4	scope	72	18	-0.32955129997133775	-0.44845698653977134	-0.6586207069506929	-0.6301646118408498	-0.7785301640240222	-0.466097119702629	-0.5570694550319994	-0.7745966692414834	0	14	14	0.0004997501249375312	0.0007496251874062968	
joint_flat_hns	forgetting_reduction	base_bilateral_overlap_k4	scope	72	18	-0.31185251718683626	-0.5339378218498666	-0.590636570526412	-0.643632690119008	-0.7717401752145645	-0.5051620405145503	-0.45743458774235957	-0.7745966692414834	0	14	14	0.0004997501249375312	0.0007496251874062968	
joint_flat_hns	forgetting_reduction	base_left_overlap_k32	scope	72	18	-0.15614949453348148	-0.26556453098006	-0.009699885410243799	0.1298297684732159	-0.2027922402599651	0.4645657652960027	0.062349745263379185	0.3999999999999999	8	6	14	0.3473263368315842	0.3473263368315842	
joint_flat_hns	forgetting_reduction	base_right_overlap_k32	scope	72	18	-0.3614703169534683	-0.6011537438791388	-0.6899505543442302	-0.6301646118408498	-0.7785301640240222	-0.466097119702629	-0.5967336986920664	-0.7745966692414834	0	14	14	0.0004997501249375312	0.0007496251874062968	
joint_flat_hns	forgetting_reduction	base_bilateral_overlap_k32	scope	72	18	-0.3558518442901369	-0.6753907228075091	-0.6101256255297588	-0.6153846153846154	-0.7486483501861224	-0.4643046908063434	-0.4802939229429648	-0.7745966692414834	0	14	14	0.0004997501249375312	0.0007496251874062968	
hns_grid_target	target_gain	shannon_eff_rank	core	180	18	0.3258443662301839	0.1521345006626019	0.8148879109071941	0.14353558894921384	0.013130471620953432	0.276621439790931	0.467447066890234	0.17223635331751935	11	7	18	0.07496251874062969	0.08742057542657243	
hns_grid_target	target_gain	r2_participation	core	180	18	0.33154921096323936	0.15173741951016428	0.8011371414774602	0.15067376540529845	0.018144600418205026	0.2859767502234006	0.3352631939556996	0.15840452363706212	12	6	18	0.059470264867566215	0.08742057542657243	
hns_grid_target	target_gain	stable_rank	core	180	18	0.2781446583498085	0.13283031869997547	0.627306148639772	0.15830374065015299	0.023002431854996053	0.2951385832159711	-0.06061347423303475	0.16768604416275365	11	6	18	0.043478260869565216	0.08742057542657243	
hns_grid_target	target_gain	flatness	core	180	18	0.3279558454224873	0.15064501150456694	0.8085458828619458	0.1439088074300982	0.011801210917889687	0.2802945486928335	0.378555096459382	0.17223635331751935	11	7	18	0.07296351824087956	0.08742057542657243	
hns_grid_target	target_gain	gini	core	180	18	-0.3065972817609016	-0.14064307758409678	-0.7173423039802461	-0.14591475225144537	-0.28258291806989705	-0.01640783032355128	-0.032542190158784415	-0.1517295378301678	6	12	18	0.06846576711644178	0.08742057542657243	
hns_grid_target	target_gain	decay_slope	core	180	18	0.29352342847292684	0.14273760419024595	0.6678569895570095	0.15376144794971058	0.02226136626151818	0.2943309526528437	-0.00547597867994442	0.17077422805473969	12	6	18	0.05647176411794103	0.08742057542657243	
hns_grid_target	target_gain	erank_energy	core	180	18	0.3380394141026717	0.15469736549166405	0.7753325469857182	0.1486026483550538	0.017155252844549787	0.28389200673187714	0.1359464715930099	0.15840452363706212	12	6	18	0.06446776611694154	0.08742057542657243	
hns_grid_target	target_gain	entropy_gap	core	180	18	-0.3291803697194964	-0.15204876434505846	-0.8063960734175192	-0.14144526483830297	-0.2745441172907317	-0.012760786837197459	-0.4393869191327688	-0.17223635331751935	7	11	18	0.07896051974012994	0.08742057542657243	
hns_grid_target	target_gain	hill_tail_contrast	core	180	18	-0.29231280792619957	-0.15531466650521625	-0.7181493690593311	-0.1341097209977363	-0.2714876228960536	0.0010225786860588143	-0.057857384628766835	-0.13023134696733935	6	12	18	0.09245377311344327	0.09882989539712901	
hns_grid_target	target_gain	d_flat_l1	core	180	18	-0.30085619648900697	-0.14315807531639027	-0.7110121956506041	-0.14178508945187615	-0.28053995309313584	-0.01136703522181572	-0.028283052302423693	-0.13609690284314974	6	12	18	0.07796101949025487	0.08742057542657243	
hns_grid_target	target_gain	soft_rank	core	180	18	0.3079310105534582	0.129711681962392	0.6962867916358418	0.15562925260841284	0.01911911328547999	0.2940759920181562	-0.020513437178306497	0.16768604416275365	11	6	18	0.050474762618690654	0.08742057542657243	
hns_grid_target	target_gain	head_tail	core	180	18	-0.3022905710054183	-0.13407862181829716	-0.6997313494775167	-0.14832372221786075	-0.28439097014977066	-0.016403372069442593	-0.01655979809812999	-0.1517295378301678	7	11	18	0.06946526736631684	0.08742057542657243	
hns_grid_target	target_gain	erank_iqr	core	180	18	-0.31944018094003457	-0.1568361280886231	-0.7500157541510143	-0.14376083597578834	-0.2867673433747734	0.0006913804595811258	0.08565030091031033	-0.14842680461197688	7	11	18	0.07646176911544228	0.08742057542657243	
