base	train_task	method	quantity	mean	sample_sd	seed42	seed43	seed44
Qwen3-8B	metamath	original_lora	base_left_overlap_k16	0.006074666666666667	0.0005247497816420062	0.005476	0.006293	0.006455
Qwen3-8B	metamath	original_lora	base_right_overlap_k16	0.041079000000000004	0.003505228523220704	0.045126	0.03911	0.039001
Qwen3-8B	metamath	original_lora	base_bilateral_overlap_k16	0.000256	7.21110255092798e-06	0.000258	0.000248	0.000262
Qwen3-8B	metamath	original_lora	target	84.05357594136973	0.08754363444877358	84.1546626231994	84.00303260045489	84.00303260045489
Qwen3-8B	metamath	original_lora	off_score	68.15773232448684	4.102651148306114	71.29307699567126	69.66560169554636	63.51451828224293
Qwen3-8B	metamath	original_lora	forgetting_gap	4.948178871807206	4.054152408740407	1.798836842342548	3.5232856949641636	9.522414078114908
Qwen3-8B	metamath	original_lora	target_gain	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	original_lora	off_gain	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	original_lora	forgetting_reduction	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_fro	shannon_eff_rank	16.0	0.0	16.0	16.0	16.0
Qwen3-8B	metamath	flat_fro	r2_participation	16.0	0.0	16.0	16.0	16.0
Qwen3-8B	metamath	flat_fro	stable_rank	16.0	0.0	16.0	16.0	16.0
Qwen3-8B	metamath	flat_fro	flatness	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	flat_fro	gini	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_fro	decay_slope	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_fro	erank_energy	16.0	0.0	16.0	16.0	16.0
Qwen3-8B	metamath	flat_fro	entropy_gap	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_fro	hill_tail_contrast	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_fro	d_flat_l1	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_fro	soft_rank	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	flat_fro	head_tail	0.0	0.0	0.0	0.0	0.0
