base_model	task	module_type	modules	raw_top1_spectral_share	functional_top1_share	functional_effective_rank	lora_modification_p99	hns_to_lora_p99_ratio
Llama-3.1-8B-Instruct	tulu	gate_proj	32	0.5133406835401947	0.8678511794298694	1.878261744692336	0.09620900572701409	0.36956492962635523
Llama-3.1-8B-Instruct	tulu	k_proj	32	0.31400217372271266	0.526180800625506	5.327506446318621	0.0092134814180828	0.6119429767120801
Llama-3.1-8B-Instruct	tulu	o_proj	32	0.19290257165755695	0.2818214327761399	9.243749398406873	0.06421772536210102	0.7522491825768558
Llama-3.1-8B-Instruct	tulu	q_proj	32	0.2899132011269796	0.5536307300881091	5.511463592293861	0.015029742079045559	0.6335786455441732
Llama-3.1-8B-Instruct	tulu	up_proj	32	0.2708646529684026	0.5292738702540196	5.84114014975188	0.0637875989309264	0.6449543681820122
Llama-3.1-8B-Instruct	tulu	v_proj	32	0.28987587183670327	0.4145539025312439	6.78393946018371	0.047469140173261384	0.6569316227689955
Llama-3.1-8B-Instruct	commonsense	down_proj	32	0.5896013469473111	0.6446772504154171	3.2662942144054687	0.12207216969700593	0.46095465900152816
Llama-3.1-8B-Instruct	commonsense	gate_proj	32	0.47717909459700014	0.7063452368472568	3.290006542251984	0.09703598443322999	0.49053668984331433
Llama-3.1-8B-Instruct	commonsense	k_proj	32	0.6394657942592092	0.7134550927239436	2.7772697106698834	0.0493268552970837	0.3880875280340771
Llama-3.1-8B-Instruct	commonsense	o_proj	32	0.48147113055535895	0.6369575773920142	3.5627382706883877	0.21449798643483053	0.46494129758982977
Llama-3.1-8B-Instruct	commonsense	q_proj	32	0.5538184145202197	0.6068108336606387	3.799876205224322	0.049648344457188624	0.4769530494634189
Llama-3.1-8B-Instruct	commonsense	up_proj	32	0.3855921580781528	0.5577172303808485	4.8444775460444784	0.10815839945439917	0.582785163490561
Llama-3.1-8B-Instruct	commonsense	v_proj	32	0.5486019865973182	0.5740246198412732	4.195784351775883	0.14679727144072835	0.5167076439005214
