base_model,task,module,layer,module_type,lora_mean,lora_median,lora_p50,lora_p90,lora_p95,lora_p99,lora_max,lora_fraction_gt_0p10,lora_fraction_gt_0p25,lora_fraction_gt_0p50,lora_fraction_gt_1p00,hns_mean,hns_median,hns_p50,hns_p90,hns_p95,hns_p99,hns_max,hns_fraction_gt_0p10,hns_fraction_gt_0p25,hns_fraction_gt_0p50,hns_fraction_gt_1p00,scalar_shrink_mean,scalar_shrink_median,scalar_shrink_p50,scalar_shrink_p90,scalar_shrink_p95,scalar_shrink_p99,scalar_shrink_max,scalar_shrink_fraction_gt_0p10,scalar_shrink_fraction_gt_0p25,scalar_shrink_fraction_gt_0p50,scalar_shrink_fraction_gt_1p00,shape_only_mean,shape_only_median,shape_only_p50,shape_only_p90,shape_only_p95,shape_only_p99,shape_only_max,shape_only_fraction_gt_0p10,shape_only_fraction_gt_0p25,shape_only_fraction_gt_0p50,shape_only_fraction_gt_1p00,head_only_mean,head_only_median,head_only_p50,head_only_p90,head_only_p95,head_only_p99,head_only_max,head_only_fraction_gt_0p10,head_only_fraction_gt_0p25,head_only_fraction_gt_0p50,head_only_fraction_gt_1p00,tail_only_mean,tail_only_median,tail_only_p50,tail_only_p90,tail_only_p95,tail_only_p99,tail_only_max,tail_only_fraction_gt_0p10,tail_only_fraction_gt_0p25,tail_only_fraction_gt_0p50,tail_only_fraction_gt_1p00,paired_mean_delta,paired_fraction_hns_lower,hns_to_lora_p99_ratio,scalar_shrink_to_lora_p99_ratio,shape_only_to_lora_p99_ratio,head_only_to_lora_p99_ratio,tail_only_to_lora_p99_ratio
Qwen3-8B,metamath,layers.30.self_attn.o_proj,30,o_proj,0.03435682100585303,0.03253153367488671,0.03253153367488671,0.047048677695414744,0.05132143556276198,0.05787872314889904,0.05851849609610112,0.0,0.0,0.0,0.0,0.015625200047881004,0.015368537530244527,0.015368537530244527,0.017275453651283783,0.017649727724892234,0.018348956563505967,0.018605177985307204,0.0,0.0,0.0,0.0,0.022324273158966124,0.021142513369192494,0.021142513369192494,0.030573032521161166,0.03334164478493484,0.037612355960236654,0.03802493193896055,0.0,0.0,0.0,0.0,0.02404899490735001,0.02365472879388348,0.02365472879388348,0.02658676926492394,0.02716999385291186,0.028238953167610596,0.028630818614986737,0.0,0.0,0.0,0.0,0.01267725424249878,0.012351490384350822,0.012351490384350822,0.014700291883937521,0.015195089369270807,0.01593750996426225,0.016138507554198368,0.0,0.0,0.0,0.0,0.035605242593753424,0.03380580109048154,0.03380580109048154,0.04784955119724223,0.05196169523522019,0.058606195439402826,0.059181022603295184,0.0,0.0,0.0,0.0,-0.018731620957972026,1.0,0.317024211406692,0.6498477145647279,0.4878986893847494,0.27536042775617814,1.0125689070339767
Qwen3-8B,metamath,layers.30.self_attn.q_proj,30,q_proj,0.0630635689938598,0.06235662096903426,0.06235662096903426,0.07141850542559991,0.07406777960695583,0.07943391918129708,0.08140442678989529,0.0,0.0,0.0,0.0,0.013471580073663069,0.013427860462683567,0.013427860462683567,0.014222497307904675,0.014506020007795599,0.015083202985564103,0.015315851836899612,0.0,0.0,0.0,0.0,0.03434691444361703,0.033962395627792054,0.033962395627792054,0.03889958866715103,0.040333910795732585,0.043258394770621794,0.044344263498912816,0.0,0.0,0.0,0.0,0.024733616528053847,0.02465305064025644,0.02465305064025644,0.026111784318179756,0.026635274414569515,0.027688763322502263,0.028122819591523275,0.0,0.0,0.0,0.0,0.011721605518433929,0.011670929961832385,0.011670929961832385,0.012590701987325124,0.012880105013106866,0.013376373137231393,0.013759462780060077,0.0,0.0,0.0,0.0,0.06340290899945762,0.06268453954379219,0.06268453954379219,0.07171705799395842,0.07434407730036943,0.07969510980232634,0.08163639654980744,0.0,0.0,0.0,0.0,-0.04959198892019673,1.0,0.18988365601272614,0.5445834124322937,0.3485760693653607,0.1683962377168077,1.0032881497441053
Qwen3-8B,metamath,layers.30.self_attn.v_proj,30,v_proj,0.029739385813562495,0.029763007383007467,0.029763007383007467,0.03277072522152169,0.03374510353447051,0.03493435641367145,0.03570758740743153,0.0,0.0,0.0,0.0,0.01341533663897934,0.013419967677247882,0.013419967677247882,0.014199768933040438,0.01437582215964955,0.014876969661256673,0.0155705794298855,0.0,0.0,0.0,0.0,0.02017360102321583,0.02019413227111145,0.02019413227111145,0.022230280673986143,0.022896109402317774,0.023697895864917818,0.024218536254244423,0.0,0.0,0.0,0.0,0.01977712091131098,0.01978360147355259,0.01978360147355259,0.020936012079634657,0.021196905788510002,0.021932080724028774,0.022961634502793673,0.0,0.0,0.0,0.0,0.011201444503799736,0.011237897492331136,0.011237897492331136,0.012031403238815113,0.012252999081103676,0.012675983252882547,0.013166684488068126,0.0,0.0,0.0,0.0,0.030640056892591853,0.030649596992556934,0.030649596992556934,0.0336291774780238,0.0345353388854551,0.03574720240898532,0.03644516400704572,0.0,0.0,0.0,0.0,-0.016324049174583157,1.0,0.4258549802690688,0.6783550148828195,0.6278083518792327,0.362851489312734,1.0232678107960151
Qwen3-8B,metamath,layers.31.mlp.down_proj,31,down_proj,0.017786689696504866,0.01740451179321264,0.01740451179321264,0.02031776783667126,0.02168456460065604,0.022794452503058657,0.02477918325885349,0.0,0.0,0.0,0.0,0.00876177829790162,0.008729940260503655,0.008729940260503655,0.009389769686076892,0.009584009751335477,0.009814106037992622,0.010078494240273857,0.0,0.0,0.0,0.0,0.011587660898314478,0.011338423312474043,0.011338423312474043,0.013236007548911476,0.014124467118639416,0.014851659890484833,0.01614088724627758,0.0,0.0,0.0,0.0,0.013447186096411809,0.013398961042534034,0.013398961042534034,0.014410365822437217,0.014709473094983954,0.015060769299264075,0.015472328098498645,0.0,0.0,0.0,0.0,0.006926080411509088,0.006843595089515674,0.006843595089515674,0.007616975014493588,0.007859308236866711,0.008081995538299731,0.008409587462100567,0.0,0.0,0.0,0.0,0.01858465120981127,0.01822133229268654,0.01822133229268654,0.021036215356925306,0.022320838241191878,0.023442671192477366,0.025351119051588496,0.0,0.0,0.0,0.0,-0.009024911398603248,1.0,0.430548004461863,0.6515471204448527,0.6607208178061376,0.3545597569064339,1.0284375634524114
Qwen3-8B,metamath,layers.31.mlp.gate_proj,31,gate_proj,0.14191466237943767,0.14245778403569687,0.14245778403569687,0.1573071303673939,0.16146116982002762,0.1689297420942747,0.1757171507074692,1.0,0.0,0.0,0.0,0.03411428161172978,0.03420317933332195,0.03420317933332195,0.036375100424854194,0.036889479111971976,0.03765789441416619,0.03802258355879745,0.0,0.0,0.0,0.0,0.08228630188588368,0.08259656293397913,0.08259656293397913,0.0911957543447446,0.09360338598915478,0.09797736956244371,0.10185900852514379,0.00390625,0.0,0.0,0.0,0.05882097753341642,0.058974785085412124,0.058974785085412124,0.06271669434805173,0.0636084092203058,0.06493898883803881,0.0655712365803936,0.0,0.0,0.0,0.0,0.031084864868780163,0.0311795996215771,0.0311795996215771,0.033184780641880796,0.033787654528810614,0.03450582975379206,0.03511021975529024,0.0,0.0,0.0,0.0,0.14258388962280982,0.14312628961631252,0.14312628961631252,0.15794552533871536,0.16204508385944955,0.16955922839852,0.17628741402537854,1.0,0.0,0.0,0.0,-0.10780038076770788,1.0,0.2229204517055998,0.5799888660681518,0.38441418327506993,0.20426142445973414,1.0037263201638822
Qwen3-8B,metamath,layers.31.mlp.up_proj,31,up_proj,0.09073784250995512,0.08779565642980416,0.08779565642980416,0.10997322926392239,0.11440635278426547,0.12094889706489856,0.12446918280249254,0.21484375,0.0,0.0,0.0,0.024697938059677578,0.02442035746281531,0.02442035746281531,0.027537322883610257,0.02830348608223434,0.029396853421173225,0.030001643937798413,0.0,0.0,0.0,0.0,0.05810687145514626,0.056215826493403606,0.056215826493403606,0.07042799487503804,0.07326601335103078,0.07745016438093047,0.07970783323173042,0.0,0.0,0.0,0.0,0.03855678066510353,0.03812320795932062,0.03812320795932062,0.04299485225065567,0.04419138265237878,0.04589040365281968,0.04683944460712529,0.0,0.0,0.0,0.0,0.02136519617684944,0.020983905298906314,0.020983905298906314,0.024540682998975334,0.02547648075005015,0.026485786272301137,0.02708780252156525,0.0,0.0,0.0,0.0,0.09161404408459403,0.0886938126199251,0.0886938126199251,0.11076623323737911,0.1151092483222634,0.12163178199565874,0.12514148705556385,0.23046875,0.0,0.0,0.0,-0.06603990445027753,1.0,0.243051851935446,0.6403544493619681,0.3794197778272908,0.21898328066678804,1.005646061661842
Qwen3-8B,metamath,layers.31.self_attn.k_proj,31,k_proj,0.023055741028620014,0.023124574098931795,0.023124574098931795,0.02508104428648101,0.02544705998204328,0.026568629224857917,0.028457178888348103,0.0,0.0,0.0,0.0,0.01546379755641793,0.015514883848288221,0.015514883848288221,0.01635794024546937,0.01672571244539123,0.01712770604952148,0.01739061830009069,0.0,0.0,0.0,0.0,0.017778349372698427,0.017830618066287815,0.017830618066287815,0.01933813922213253,0.019624729769132883,0.020487609966252564,0.021942968985048036,0.0,0.0,0.0,0.0,0.02005389558262287,0.0201186512897538,0.0201186512897538,0.021213831367683973,0.021689654642490848,0.022213418446912336,0.022549128389751746,0.0,0.0,0.0,0.0,0.013087197198104939,0.013117643167543722,0.013117643167543722,0.013940547116365602,0.014214686604376114,0.014566317354415796,0.015028273886069612,0.0,0.0,0.0,0.0,0.024482798910050566,0.024511745572049146,0.024511745572049146,0.026520289488263328,0.026767190771030524,0.027979869196002472,0.02976159204162388,0.0,0.0,0.0,0.0,-0.0075919434722020816,1.0,0.6446590038411391,0.7711203236290459,0.8360769484535244,0.5482524985062979,1.053116777655363
Qwen3-8B,metamath,layers.31.self_attn.o_proj,31,o_proj,0.025969303635406317,0.025943962674274616,0.025943962674274616,0.028489213768055355,0.02952999107225209,0.031061742565787576,0.03259806845180753,0.0,0.0,0.0,0.0,0.020214052585635453,0.02014306908150783,0.02014306908150783,0.021627277143379864,0.02209833614186593,0.02292323574242552,0.024063274296764477,0.0,0.0,0.0,0.0,0.02381745186792534,0.023794866782522555,0.023794866782522555,0.02612825451951383,0.02708703721310653,0.028488250954442847,0.029892906636477805,0.0,0.0,0.0,0.0,0.02204426304947688,0.02196942152215209,0.02196942152215209,0.023588225009209457,0.024099252754042476,0.02499850449092814,0.026245086929193452,0.0,0.0,0.0,0.0,0.018286343654816316,0.018241733172137026,0.018241733172137026,0.019713199264467275,0.020292417795870148,0.021142445880791755,0.022465948829695458,0.0,0.0,0.0,0.0,0.02736404144546993,0.027309599142603877,0.027309599142603877,0.02971875886117077,0.03068635085832768,0.03226670933321474,0.03367849011082281,0.0,0.0,0.0,0.0,-0.005755251049770869,1.0,0.7379893672698815,0.9171491552383395,0.8048004530969977,0.6806587182291163,1.0387926326050474
Qwen3-8B,metamath,layers.31.self_attn.q_proj,31,q_proj,0.02942003540588789,0.029110737453132335,0.029110737453132335,0.03311607359652681,0.03437108843869079,0.035853995671766156,0.03718011912059274,0.0,0.0,0.0,0.0,0.013120408783814944,0.0130925465515726,0.0130925465515726,0.013702637102134577,0.013886202192794605,0.014384621271158051,0.014479865134554135,0.0,0.0,0.0,0.0,0.023579364597821027,0.023330529322460457,0.023330529322460457,0.02654346017967631,0.027544352677734432,0.0287353911649252,0.0297941578336568,0.0,0.0,0.0,0.0,0.016371453092954368,0.016337402266929656,0.016337402266929656,0.01709818534032991,0.017326909820906483,0.017948500610812296,0.018067500881215254,0.0,0.0,0.0,0.0,0.01190653186003667,0.011881836411840343,0.011881836411840343,0.012453277602168787,0.012650557776667869,0.013014262919792047,0.013206965805533063,0.0,0.0,0.0,0.0,0.029935278643513537,0.029598164868302596,0.029598164868302596,0.03361150573281149,0.03482422408885532,0.03634656313756981,0.0376496187452655,0.0,0.0,0.0,0.0,-0.01629962662207295,1.0,0.40119995000962944,0.8014557548338574,0.5005997316206001,0.3629794302128605,1.0137381470760742
Qwen3-8B,metamath,layers.31.self_attn.v_proj,31,v_proj,0.03471142111676751,0.034690280346116646,0.034690280346116646,0.03795302374095704,0.03923989324506486,0.040752154236652176,0.042130670978125985,0.0,0.0,0.0,0.0,0.017111323347909397,0.017030183500938476,0.017030183500938476,0.018294736525572945,0.018817787093338673,0.019530095513598574,0.01985802282671134,0.0,0.0,0.0,0.0,0.02693671585435451,0.026916464437526343,0.026916464437526343,0.02944879823968232,0.030447459310762672,0.031622351626255964,0.03270120200188589,0.0,0.0,0.0,0.0,0.022058034403808477,0.02195478287054642,0.02195478287054642,0.023586830536334917,0.02425489761882007,0.02517876658955,0.02560771766917354,0.0,0.0,0.0,0.0,0.015423151125665915,0.015359701449536977,0.015359701449536977,0.01662111649026006,0.01713980177194867,0.017823442436010813,0.018245400666532716,0.0,0.0,0.0,0.0,0.03549447793234008,0.03544411589978598,0.03544411589978598,0.038679219861710516,0.040053540073395254,0.04149188168591017,0.04284208076066832,0.0,0.0,0.0,0.0,-0.01760009776885811,1.0,0.479240812649687,0.7759676075679716,0.6178511801691311,0.4373619694435821,1.018151861247931
Qwen3-8B,metamath,layers.32.mlp.down_proj,32,down_proj,0.018022768086113115,0.01782621065479441,0.01782621065479441,0.020333642854203193,0.021101308710642575,0.022239532302212577,0.023413117108251856,0.0,0.0,0.0,0.0,0.009919203108688891,0.009834409449508785,0.009834409449508785,0.010618505032813946,0.010900122825851337,0.01126306376475048,0.01151616821569755,0.0,0.0,0.0,0.0,0.013310693874220328,0.013163326642230907,0.013163326642230907,0.015014235280424278,0.015583923657920558,0.016420310220492795,0.017293347255132964,0.0,0.0,0.0,0.0,0.013432736604090268,0.013317097452356296,0.013317097452356296,0.01438143586500887,0.014760915274012118,0.015252968221476176,0.015599552227733992,0.0,0.0,0.0,0.0,0.007994918056621916,0.007919318479070953,0.007919318479070953,0.008724921493966779,0.008968247228746111,0.00930591746725243,0.009500082016965982,0.0,0.0,0.0,0.0,0.01895777364578246,0.01875553304604143,0.01875553304604143,0.02120672144418375,0.021878002855350968,0.023025371769581117,0.02409005041565004,0.0,0.0,0.0,0.0,-0.008103564977424225,1.0,0.506443373524988,0.7383388282342234,0.6858493251658301,0.4184403404169879,1.0353352515102288
