base_model,task,layer,modules,lora_mean,lora_median,lora_p50,lora_p90,lora_p95,lora_p99,lora_max,lora_fraction_gt_0p10,lora_fraction_gt_0p25,lora_fraction_gt_0p50,lora_fraction_gt_1p00,hns_mean,hns_median,hns_p50,hns_p90,hns_p95,hns_p99,hns_max,hns_fraction_gt_0p10,hns_fraction_gt_0p25,hns_fraction_gt_0p50,hns_fraction_gt_1p00,scalar_shrink_mean,scalar_shrink_median,scalar_shrink_p50,scalar_shrink_p90,scalar_shrink_p95,scalar_shrink_p99,scalar_shrink_max,scalar_shrink_fraction_gt_0p10,scalar_shrink_fraction_gt_0p25,scalar_shrink_fraction_gt_0p50,scalar_shrink_fraction_gt_1p00,shape_only_mean,shape_only_median,shape_only_p50,shape_only_p90,shape_only_p95,shape_only_p99,shape_only_max,shape_only_fraction_gt_0p10,shape_only_fraction_gt_0p25,shape_only_fraction_gt_0p50,shape_only_fraction_gt_1p00,head_only_mean,head_only_median,head_only_p50,head_only_p90,head_only_p95,head_only_p99,head_only_max,head_only_fraction_gt_0p10,head_only_fraction_gt_0p25,head_only_fraction_gt_0p50,head_only_fraction_gt_1p00,tail_only_mean,tail_only_median,tail_only_p50,tail_only_p90,tail_only_p95,tail_only_p99,tail_only_max,tail_only_fraction_gt_0p10,tail_only_fraction_gt_0p25,tail_only_fraction_gt_0p50,tail_only_fraction_gt_1p00,paired_mean_delta,paired_fraction_hns_lower,hns_to_lora_p99_ratio,scalar_shrink_to_lora_p99_ratio,shape_only_to_lora_p99_ratio,head_only_to_lora_p99_ratio,tail_only_to_lora_p99_ratio
Llama-3.1-8B-Instruct,magicoder,5,7,0.010383169256279166,0.010382228370619298,0.010382228370619298,0.012258515731522025,0.01261492943706807,0.01347971965421681,0.014100611982226736,0.0,0.0,0.0,0.0,0.002869833955424914,0.002876106664952966,0.002876106664952966,0.0032389637299037443,0.0033024115076909465,0.0034822709634481437,0.0036188677737229915,0.0,0.0,0.0,0.0,0.00757092854582752,0.007572907777584499,0.007572907777584499,0.008909710072944405,0.009152141322643513,0.009798972632841022,0.010254216259209248,0.0,0.0,0.0,0.0,0.003873017521923587,0.0038802314180756184,0.0038802314180756184,0.004387354683238918,0.004479379578633031,0.0047236210257208975,0.0049104033526809745,0.0,0.0,0.0,0.0,0.0026912276225451543,0.002699975214530822,0.002699975214530822,0.0030617856405149666,0.0031389249706245915,0.0033061182110311043,0.003455021461950251,0.0,0.0,0.0,0.0,0.01043044611370593,0.010428212441477768,0.010428212441477768,0.012300062080720525,0.012655256795327963,0.013522372133423709,0.014141277756801606,0.0,0.0,0.0,0.0,-0.007513335300854254,1.0,0.2583340791036999,0.7269418715081101,0.35042427787014285,0.24526609572305635,1.0031641963112754
Llama-3.1-8B-Instruct,magicoder,6,7,0.00862773193940632,0.008640057551177777,0.008640057551177777,0.009871041159834877,0.010312644452322387,0.01120739527907633,0.011363879153109767,0.0,0.0,0.0,0.0,0.0027179150623037403,0.00271829698572789,0.00271829698572789,0.003027615744252124,0.0031150105403939393,0.0032806360032643254,0.003357769718718808,0.0,0.0,0.0,0.0,0.006567854512022428,0.006571707800733274,0.006571707800733274,0.007520172855347946,0.007847567981030937,0.008527538616300968,0.0086626763988815,0.0,0.0,0.0,0.0,0.0034586012071583993,0.003459526144323879,0.003459526144323879,0.003869280699645575,0.003978379531309871,0.004178512089451438,0.004274928876235466,0.0,0.0,0.0,0.0,0.0025363454916316475,0.0025406567266260793,0.0025406567266260793,0.002853823570306179,0.0029454971436884505,0.0031114936044842017,0.00318525479771201,0.0,0.0,0.0,0.0,0.008681893407140286,0.008691848936151565,0.008691848936151565,0.009925182681607018,0.010360675568238725,0.011252904070518712,0.011406987235531409,0.0,0.0,0.0,0.0,-0.005909816877102579,1.0,0.29272064753432187,0.7608849696076548,0.3728352561323968,0.27762861280472645,1.0040606037628872
Llama-3.1-8B-Instruct,magicoder,7,7,0.0089057908343418,0.009019671800975848,0.009019671800975848,0.010537153124085968,0.011030785440460125,0.011860327344727441,0.012608579303389338,0.0,0.0,0.0,0.0,0.0027528318155814043,0.0027694982572486642,0.0027694982572486642,0.0030862406525686116,0.003194040770584718,0.003393465423816389,0.0035943255426048237,0.0,0.0,0.0,0.0,0.006862703053209494,0.006950313404168619,0.006950313404168619,0.008119257227961774,0.00849617676693611,0.009129705478787936,0.009706352147738396,0.0,0.0,0.0,0.0,0.003547510200054448,0.003571270101274701,0.003571270101274701,0.003979940178936644,0.004121856114525956,0.004379783182843687,0.0046403089030582585,0.0,0.0,0.0,0.0,0.0025719783597420087,0.0025886566598288365,0.0025886566598288365,0.0029222932662267102,0.003035898982104081,0.0032382965186940546,0.0034305837358774923,0.0,0.0,0.0,0.0,0.008960664222446346,0.009072296871509952,0.009072296871509952,0.010583988533221091,0.011075108041116964,0.011903693569388663,0.012655900901187588,0.0,0.0,0.0,0.0,-0.006152959018760396,1.0,0.2861190357722267,0.7697684232001055,0.36928012655491654,0.2730360153283335,1.003656410434616
Llama-3.1-8B-Instruct,magicoder,8,7,0.013432686908220826,0.013472882693544023,0.013472882693544023,0.015638209485760685,0.016226928030474798,0.017114491976871746,0.01770070959659851,0.0,0.0,0.0,0.0,0.0032621022531772173,0.0032723576424535973,0.0032723576424535973,0.0036300646725073997,0.003727992490415035,0.0038835524842161114,0.004052088514629875,0.0,0.0,0.0,0.0,0.008861248115058758,0.008874183581893322,0.008874183581893322,0.01030474150305571,0.010676886619973167,0.011274628432752521,0.011689710597266458,0.0,0.0,0.0,0.0,0.004813228612258025,0.004826727871172022,0.004826727871172022,0.005376976317575581,0.0055379894825908745,0.005756662172371022,0.0060155537755282335,0.0,0.0,0.0,0.0,0.003054615367350759,0.003065900553655198,0.003065900553655198,0.0034213075647750116,0.0035433968672863164,0.003685336236218099,0.0038466527933853378,0.0,0.0,0.0,0.0,0.013482645083357208,0.013520417063723741,0.013520417063723741,0.015682557553812433,0.016268835681950408,0.017151289754304574,0.017744063973708476,0.0,0.0,0.0,0.0,-0.01017058465504361,1.0,0.22691602470375882,0.6587766933420447,0.3363618493701411,0.21533424662551504,1.0021500946380737
Llama-3.1-8B-Instruct,magicoder,9,7,0.01175120868903517,0.01181373825630446,0.01181373825630446,0.013706760453766197,0.01430701099353382,0.0150445346023967,0.016820407302686743,0.0,0.0,0.0,0.0,0.003361092533335029,0.0033744667862294206,0.0033744667862294206,0.003762803642740351,0.0038516533805346047,0.0040076056285159615,0.004452605954186665,0.0,0.0,0.0,0.0,0.00853668856424123,0.008566569920317128,0.008566569920317128,0.0099501119673839,0.010423974702170121,0.010914647900449485,0.012297334266015581,0.0,0.0,0.0,0.0,0.004554129651190527,0.004581569290113373,0.004581569290113373,0.005095059264522054,0.005229480294640595,0.005442628920367043,0.0060261909960680595,0.0,0.0,0.0,0.0,0.0031392376234706766,0.003159007853667845,0.003159007853667845,0.0035477031544415925,0.003644355833989122,0.0038113227121871597,0.0042332703244434295,0.0,0.0,0.0,0.0,0.011815538257122823,0.01187556524730273,0.01187556524730273,0.013764711433770813,0.014362427283609178,0.015100501602685166,0.01688406222538303,0.0,0.0,0.0,0.0,-0.008390116155700142,1.0,0.2663828250212221,0.7254892350548819,0.36176784887051233,0.25333603284610673,1.003720088508391
Llama-3.1-8B-Instruct,magicoder,10,7,0.013153564344595851,0.013196991341635465,0.013196991341635465,0.01547843339584476,0.01627143792778759,0.016974793487552355,0.018092363303258082,0.0,0.0,0.0,0.0,0.0031948881508785274,0.0032028052847552463,0.0032028052847552463,0.003563302015170287,0.0036933174022408632,0.003831944658697904,0.004037575485753791,0.0,0.0,0.0,0.0,0.008476738420193641,0.00851324347013447,0.00851324347013447,0.009954595771774715,0.010450855432175983,0.01095106579422039,0.011673463448556687,0.0,0.0,0.0,0.0,0.004742950229983605,0.004758088107151516,0.004758088107151516,0.005347097753415866,0.005526534573310938,0.005734176395571482,0.0060257632976814055,0.0,0.0,0.0,0.0,0.0029677533751575253,0.002981680553418213,0.002981680553418213,0.0033552771050294047,0.0034832013179827083,0.003634420794651246,0.003837205347010324,0.0,0.0,0.0,0.0,0.013206533747548703,0.013249975799915461,0.013249975799915461,0.015527768112180481,0.016315770026640933,0.017016430285037604,0.01813781378191267,0.0,0.0,0.0,0.0,-0.009958676193717321,1.0,0.22574322695047075,0.6451369085727509,0.3378053700492064,0.21410692255645838,1.002452860325858
Llama-3.1-8B-Instruct,magicoder,11,7,0.013110940065320995,0.013096208471111405,0.013096208471111405,0.015602638253151793,0.016305902843900304,0.017374017079173378,0.01853748501416721,0.0,0.0,0.0,0.0,0.0035898771368795615,0.003593800710097522,0.003593800710097522,0.004017278734537165,0.004110741401992803,0.004290534923150461,0.004506364492925302,0.0,0.0,0.0,0.0,0.008921323164505257,0.00892036134505995,0.00892036134505995,0.010572147008282292,0.011052643516979845,0.01175046141356993,0.012534511433496636,0.0,0.0,0.0,0.0,0.0051731569389229255,0.005181868468130206,0.005181868468130206,0.005823296371272548,0.005967056894732667,0.006219561862348896,0.0065491702557269925,0.0,0.0,0.0,0.0,0.0033208842711421986,0.0033396442958501795,0.0033396442958501795,0.0037574378920905644,0.0038455583706872454,0.004046507582858648,0.004253217947433513,0.0,0.0,0.0,0.0,0.01318008038644506,0.013165212700113428,0.013165212700113428,0.015667182487107564,0.016367372098795484,0.017425989145452327,0.0185875344382954,0.0,0.0,0.0,0.0,-0.009521062928441433,1.0,0.24695123203796207,0.6763238092850427,0.35798064627232484,0.23290569845872242,1.0029913672838073
Llama-3.1-8B-Instruct,magicoder,12,7,0.01173554039851069,0.011902849031610135,0.011902849031610135,0.013980226298819162,0.014624123573680866,0.01518374359699292,0.015461795265116577,0.0,0.0,0.0,0.0,0.0031771549034611624,0.0031874418108527544,0.0031874418108527544,0.003547198994899715,0.003655932736892532,0.0037609838635072187,0.0038094018526402,0.0,0.0,0.0,0.0,0.00797242690634948,0.008074929264912784,0.008074929264912784,0.009455855967764406,0.0098758217705778,0.01026253647904783,0.01043572324558743,0.0,0.0,0.0,0.0,0.004541483480675302,0.004548526108753962,0.004548526108753962,0.005122010856504024,0.005264533883857362,0.005424994615988562,0.005514538566952909,0.0,0.0,0.0,0.0,0.002930225419430919,0.0029420362511050203,0.0029420362511050203,0.003323518744159284,0.003428396770466027,0.0035358734848088837,0.0035815308098251846,0.0,0.0,0.0,0.0,0.01180181197107991,0.011961512380636391,0.011961512380636391,0.01403975223780006,0.014677436546072686,0.015235548261826702,0.015512196871020295,0.0,0.0,0.0,0.0,-0.008558385495049527,1.0,0.24769806204130493,0.6758897378298909,0.3572896618896384,0.23287231256388902,1.0034118506087024
Llama-3.1-8B-Instruct,magicoder,13,7,0.016059356354556582,0.01636517665246319,0.01636517665246319,0.01897803705257966,0.019718812012915164,0.020856595724959244,0.02139879996632513,0.0,0.0,0.0,0.0,0.0038230267556427847,0.0038557396203109722,0.0038557396203109722,0.004303961770928377,0.004424664548090471,0.004570228299477775,0.004665560670686842,0.0,0.0,0.0,0.0,0.010290637774855919,0.01047378618176774,0.01047378618176774,0.01216652119700445,0.012627238638148812,0.013364757192385125,0.013675827222213381,0.0,0.0,0.0,0.0,0.005774368548899744,0.005835749291962405,0.005835749291962405,0.006526511930365686,0.006707397339173086,0.00694418136352694,0.007061210606235768,0.0,0.0,0.0,0.0,0.0035456647232422825,0.0035892753057896044,0.0035892753057896044,0.004044259211857417,0.004173304387358379,0.004338293970070518,0.004413713760744521,0.0,0.0,0.0,0.0,0.016125754128364454,0.016429510210268432,0.016429510210268432,0.01903480804525874,0.019773035040042547,0.020908563908277587,0.021446392713646747,0.0,0.0,0.0,0.0,-0.012236329598913794,1.0,0.21912628310710117,0.6407928392835184,0.33294893639889594,0.20800585231073204,1.0024916905905288
Llama-3.1-8B-Instruct,magicoder,14,7,0.018958545650168787,0.018937718086356865,0.018937718086356865,0.021845763502821584,0.022641476059238726,0.024406062695738327,0.02460866575942264,0.0,0.0,0.0,0.0,0.0038077914322962314,0.0038190180618639068,0.0038190180618639068,0.004207029498532983,0.004334672979797103,0.0044912272490975754,0.00453278261189363,0.0,0.0,0.0,0.0,0.010792101631612601,0.010782453991975614,0.010782453991975614,0.012459213234015307,0.012870365808048784,0.013720798644608505,0.013935837432577997,0.0,0.0,0.0,0.0,0.0063818592880754725,0.006400510611998415,0.006400510611998415,0.00706918454287001,0.007332947312746602,0.00762174825074661,0.007698561683818677,0.0,0.0,0.0,0.0,0.003530406635258069,0.003532882297892977,0.003532882297892977,0.003947537126142611,0.004087260361655125,0.004251426050793997,0.004302596202590769,0.0,0.0,0.0,0.0,0.019014265907819357,0.018991028244914027,0.018991028244914027,0.021891897016908017,0.022687252547944153,0.024444610118500028,0.024651283404393595,0.0,0.0,0.0,0.0,-0.015150754217872556,1.0,0.18402096663800724,0.5621881257809096,0.3122891367511518,0.1741954900220903,1.0015794199679915
Llama-3.1-8B-Instruct,magicoder,15,7,0.01958360636578824,0.01989598709990837,0.01989598709990837,0.022819801428261684,0.023851320272294203,0.024471685342003613,0.025155573209676877,0.0,0.0,0.0,0.0,0.00395416325765535,0.003994352397993844,0.003994352397993844,0.004426420843597751,0.004555905287004079,0.004695879306645924,0.004812346362871039,0.0,0.0,0.0,0.0,0.011019583993267381,0.011162452788280458,0.011162452788280458,0.012839843009428928,0.013391663234084087,0.013745152840726235,0.01412028738678897,0.0,0.0,0.0,0.0,0.006535691084382221,0.006628423454771444,0.006628423454771444,0.007418062200359954,0.007599844821333539,0.00783387720077591,0.008051887848132093,0.0,0.0,0.0,0.0,0.0037013697515786573,0.003747801767963848,0.003747801767963848,0.004195393958494995,0.004331350377006623,0.004476866509653143,0.004585205625962042,0.0,0.0,0.0,0.0,0.019632906451086046,0.019941042733889917,0.019941042733889917,0.0228663220906644,0.02389249775794787,0.02451325942023132,0.025192340207665625,0.0,0.0,0.0,0.0,-0.015629443108132888,1.0,0.19189031082325325,0.5616757754372488,0.32012005267694865,0.18294066988385854,1.0016988645304437
