base	task	display_name	variant	method	fast_steps	stable_steps	primary_metric	score	delta_vs_lora_pp	samples
Qwen3-8B	metamath	LoRA	metamath__original_lora	original_lora			strict_accuracy	0.8415466262319939	0.0	1319
Qwen3-8B	tulu	Base	base	base			prompt_level_strict_accuracy	0.7060998151571165	2.957486136783738	541
Qwen3-8B	tulu	HNS 0+0	tulu__hns_f0_s0	hns	0	0	prompt_level_strict_accuracy	0.6765249537892791	0.0	541
Qwen3-8B	tulu	HNS 2+0	tulu__hns_f2_s0	hns	2	0	prompt_level_strict_accuracy	0.7005545286506469	2.402957486136781	541
Qwen3-8B	tulu	HNS 2+1	tulu__hns_f2_s1	hns	2	1	prompt_level_strict_accuracy	0.7079482439926063	3.1423290203327126	541
Qwen3-8B	tulu	HNS 2+2	tulu__hns_f2_s2	hns	2	2	prompt_level_strict_accuracy	0.7005545286506469	2.402957486136781	541
Qwen3-8B	tulu	HNS 4+0	tulu__hns_f4_s0	hns	4	0	prompt_level_strict_accuracy	0.7134935304990758	3.6968576709796697	541
Qwen3-8B	tulu	HNS 4+1	tulu__hns_f4_s1	hns	4	1	prompt_level_strict_accuracy	0.7024029574861368	2.5878003696857665	541
Qwen3-8B	tulu	HNS 4+2	tulu__hns_f4_s2	hns	4	2	prompt_level_strict_accuracy	0.7042513863216266	2.7726432532347522	541
Qwen3-8B	tulu	HNS 8+0	tulu__hns_f8_s0	hns	8	0	prompt_level_strict_accuracy	0.7060998151571165	2.957486136783738	541
Qwen3-8B	tulu	HNS 8+1	tulu__hns_f8_s1	hns	8	1	prompt_level_strict_accuracy	0.7042513863216266	2.7726432532347522	541
Qwen3-8B	tulu	HNS 8+2	tulu__hns_f8_s2	hns	8	2	prompt_level_strict_accuracy	0.6894639556377079	1.2939001848428777	541
Qwen3-8B	tulu	LoRA	tulu__original_lora	original_lora			prompt_level_strict_accuracy	0.6765249537892791	0.0	541
Qwen3-8B	commonsense	Base	base	base			macro_accuracy	0.8269930161201561	-8.086864661983084	22419
Qwen3-8B	commonsense	HNS 0+0	commonsense__hns_f0_s0	hns	0	0	macro_accuracy	0.9078573390744048	-0.00043236655821177195	22419
Qwen3-8B	commonsense	HNS 2+0	commonsense__hns_f2_s0	hns	2	0	macro_accuracy	0.9022941644439632	-0.5567498296023765	22419
Qwen3-8B	commonsense	HNS 2+1	commonsense__hns_f2_s1	hns	2	1	macro_accuracy	0.9030102326905001	-0.4851430049486849	22419
Qwen3-8B	commonsense	HNS 2+2	commonsense__hns_f2_s2	hns	2	2	macro_accuracy	0.9030474518328525	-0.48142109071344086	22419
Qwen3-8B	commonsense	HNS 4+0	commonsense__hns_f4_s0	hns	4	0	macro_accuracy	0.903122218966321	-0.47394437736658634	22419
Qwen3-8B	commonsense	HNS 4+1	commonsense__hns_f4_s1	hns	4	1	macro_accuracy	0.9031809072294537	-0.4680755510533263	22419
Qwen3-8B	commonsense	HNS 4+2	commonsense__hns_f4_s2	hns	4	2	macro_accuracy	0.9027110430141235	-0.5150619725863392	22419
Qwen3-8B	commonsense	HNS 8+0	commonsense__hns_f8_s0	hns	8	0	macro_accuracy	0.9029883404886484	-0.4873322251338519	22419
Qwen3-8B	commonsense	HNS 8+1	commonsense__hns_f8_s1	hns	8	1	macro_accuracy	0.9026106855603447	-0.525097717964218	22419
Qwen3-8B	commonsense	HNS 8+2	commonsense__hns_f8_s2	hns	8	2	macro_accuracy	0.9026860293509307	-0.5175633389056244	22419
Qwen3-8B	commonsense	LoRA	commonsense__original_lora	original_lora			macro_accuracy	0.9078616627399869	0.0	22419
