base	task	configuration	fast_steps	stable_steps	samples	groups	gain_pp	ci95_low_pp	ci95_high_pp	wrong_to_right	right_to_wrong	mcnemar_exact_p	mcnemar_holm_p
Qwen3-8B	commonsense	8+0	8	0	22419	8	-0.4873322251338531	-0.8329211504832248	-0.14072873613610556	349	450	0.0003970771834192672	0.0027795402839348705
Qwen3-8B	commonsense	8+1	8	1	22419	8	-0.5250977179642138	-0.8882882806945933	-0.17150336783690792	343	445	0.00031511283237696395	0.0025209026590157116
Qwen3-8B	commonsense	8+2	8	2	22419	8	-0.5175633389056258	-0.8777853863742064	-0.16249630347748126	343	440	0.0005931795789508757	0.0035590774737052546
Llama-3.1-8B-Instruct	magicoder	0+0	0	0	164	1	0.6097560975609756	0.0	1.8292682926829267	1	0	1.0	1.0
Llama-3.1-8B-Instruct	magicoder	2+0	2	0	164	1	0.0	-5.487804878048781	5.487804878048781	10	10	1.0	1.0
Llama-3.1-8B-Instruct	magicoder	2+1	2	1	164	1	0.6097560975609756	-4.878048780487805	6.097560975609756	12	11	1.0	1.0
Llama-3.1-8B-Instruct	magicoder	2+2	2	2	164	1	0.0	-5.487804878048781	5.487804878048781	11	11	1.0	1.0
Llama-3.1-8B-Instruct	magicoder	4+0	4	0	164	1	0.0	-5.487804878048781	5.487804878048781	11	11	1.0	1.0
Llama-3.1-8B-Instruct	magicoder	4+1	4	1	164	1	1.2195121951219512	-4.2682926829268295	6.707317073170732	12	10	0.831811904907226	1.0
Llama-3.1-8B-Instruct	magicoder	4+2	4	2	164	1	0.0	-5.487804878048781	5.487804878048781	11	11	1.0	1.0
Llama-3.1-8B-Instruct	magicoder	8+0	8	0	164	1	0.6097560975609756	-4.878048780487805	6.097560975609756	11	10	1.0	1.0
Llama-3.1-8B-Instruct	magicoder	8+1	8	1	164	1	1.2195121951219512	-4.2682926829268295	6.707317073170732	11	9	0.8238029479980483	1.0
Llama-3.1-8B-Instruct	magicoder	8+2	8	2	164	1	0.0	-5.487804878048781	5.487804878048781	11	11	1.0	1.0
Llama-3.1-8B-Instruct	metamath	0+0	0	0	1319	1	0.22744503411675512	-0.6065200909780136	1.061410159211524	16	13	0.7110711038112582	0.7110711038112582
Llama-3.1-8B-Instruct	metamath	2+0	2	0	1319	1	3.790750568612585	2.047005307050796	5.610310841546626	102	52	6.865233358190157e-05	0.0004119140014914094
Llama-3.1-8B-Instruct	metamath	2+1	2	1	1319	1	3.7149355572403335	1.9711902956785443	5.458680818802123	94	45	3.93835347254971e-05	0.00030953875801661534
Llama-3.1-8B-Instruct	metamath	2+2	2	2	1319	1	3.184230477634572	1.3646702047005308	4.927975739196361	94	52	0.0006398230663332283	0.0019194691989996848
Llama-3.1-8B-Instruct	metamath	4+0	4	0	1319	1	3.790750568612585	2.047005307050796	5.610310841546626	97	47	3.755709704208327e-05	0.00030953875801661534
Llama-3.1-8B-Instruct	metamath	4+1	4	1	1319	1	3.56330553449583	1.7437452615617892	5.382865807429871	96	49	0.00011759999636577852	0.0004703999854631141
