base	task	configuration	fast_steps	stable_steps	modules	mean_effective_rank_before	mean_effective_rank_after	adapter_fro_before	adapter_fro_after	adapter_fro_ratio	max_saved_update_relative_error
Llama-3.1-8B-Instruct	tulu	8+1	8	1	224	14.35943861059142	15.997473532070986	11.233533828203223	9.664277336656806	0.8603060697065248	0.0
Llama-3.1-8B-Instruct	tulu	8+2	8	2	224	14.35943861059142	15.999999820520857	11.233533828203223	9.662741946071282	0.8601693904915062	0.0
Llama-3.1-8B-Instruct	commonsense	0+0	0	0	224	11.500193005068153	11.500193005068153	32.34050791902068	32.34050791902068	1.0	0.0
Llama-3.1-8B-Instruct	commonsense	2+0	2	0	224	11.500193005068153	15.514473205684027	32.34050791902068	25.23781603276086	0.7803778498456279	0.0
Llama-3.1-8B-Instruct	commonsense	2+1	2	1	224	11.500193005068153	15.935657772016636	32.34050791902068	24.78887425383283	0.7664961328344986	0.0
Llama-3.1-8B-Instruct	commonsense	2+2	2	2	224	11.500193005068153	15.996016835346326	32.34050791902068	24.752102611272594	0.765359117836085	0.0
Llama-3.1-8B-Instruct	commonsense	4+0	4	0	224	11.500193005068153	15.780966639852352	32.34050791902068	25.080847267737973	0.775524222765437	0.0
Llama-3.1-8B-Instruct	commonsense	4+1	4	1	224	11.500193005068153	15.998304806472204	32.34050791902068	24.752402467602053	0.7653683896858103	0.0
Llama-3.1-8B-Instruct	commonsense	4+2	4	2	224	11.500193005068153	15.99999983102197	32.34050791902068	24.75002364464304	0.7652948341632757	0.0
Llama-3.1-8B-Instruct	commonsense	8+0	8	0	224	11.500193005068153	15.674534124915999	32.34050791902068	25.236910865005683	0.7803498611771307	0.0
Llama-3.1-8B-Instruct	commonsense	8+1	8	1	224	11.500193005068153	15.997166861361512	32.34050791902068	24.754254672949497	0.7654256616789429	0.0
Llama-3.1-8B-Instruct	commonsense	8+2	8	2	224	11.500193005068153	15.999999794378494	32.34050791902068	24.750023722926166	0.7652948365838663	0.0
