checkpoint	base	task	seed	comparison	target	off_score	forgetting_gap
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	scalar_e minus scalar_f	1.8292682926829258	1.4356857358124415	-0.5311443836850718
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	scalar_e minus scalar_f	0.9097801364670204	1.5773088938340223	-1.3740568613137065
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	scalar_e minus scalar_f	1.9711902956785394	2.011053832448802	-2.6208099300097722
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	scalar_e minus scalar_f	1.9711902956785394	1.5632401453657252	-1.969744210406378
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	scalar_e minus scalar_f	1.848428835489841	0.5675527184369997	0.49385744077451466
Llama-3.1-8B-Instruct/tulu/seed43	Llama-3.1-8B-Instruct	tulu	43	scalar_e minus scalar_f	-0.7393715341959393	-0.3202005346082899	0.0
Llama-3.1-8B-Instruct/tulu/seed44	Llama-3.1-8B-Instruct	tulu	44	scalar_e minus scalar_f	0.3696857670979625	0.49764028015439976	0.0
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	scalar_e minus scalar_f	0.6097560975609753	2.0157179480926573	-0.25271670457416917
Qwen3-8B/magicoder/seed43	Qwen3-8B	magicoder	43	scalar_e minus scalar_f	7.926829268292693	0.7682942355882147	-0.10108668182966578
Qwen3-8B/magicoder/seed44	Qwen3-8B	magicoder	44	scalar_e minus scalar_f	7.926829268292693	1.5628160968016545	0.0
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	scalar_e minus scalar_f	2.047005307050796	-0.3978859702958175	0.4065040650406502
Qwen3-8B/metamath/seed43	Qwen3-8B	metamath	43	scalar_e minus scalar_f	1.061410159211519	1.3696232540832227	-0.4929143561306262
Qwen3-8B/metamath/seed44	Qwen3-8B	metamath	44	scalar_e minus scalar_f	-0.37907505686126797	2.603278105364268	-2.1437266128668684
Qwen3-8B/tulu/seed42	Qwen3-8B	tulu	42	scalar_e minus scalar_f	4.251386321626626	-1.5430805495845163	0.0
Qwen3-8B/tulu/seed43	Qwen3-8B	tulu	43	scalar_e minus scalar_f	2.033271719038808	-0.24643534958869395	0.0
Qwen3-8B/tulu/seed44	Qwen3-8B	tulu	44	scalar_e minus scalar_f	2.7726432532347474	-0.8389736614501686	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	flat_e minus scalar_f	-3.0487804878048763	1.5102215375190227	-1.3838631852319356
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	flat_e minus scalar_f	0.6097560975609753	1.457644412659164	-0.6777572396796028
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	flat_e minus scalar_f	-3.048780487804869	0.8816321481175464	-0.3463015001360905
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	flat_e minus scalar_f	3.2600454890068136	3.402905738864966	-1.7768894787023677
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	flat_e minus scalar_f	1.2130401819560177	1.0497526857354345	-2.7219963666326663
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	flat_e minus scalar_f	2.0470053070507817	0.4524004599111322	-2.0927901591215488
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	flat_e minus scalar_f	0.18484288354899547	0.09520947088735454	0.13007822550742296
Llama-3.1-8B-Instruct/tulu/seed43	Llama-3.1-8B-Instruct	tulu	43	flat_e minus scalar_f	-0.7393715341959393	0.21186193957852595	0.0
Llama-3.1-8B-Instruct/tulu/seed44	Llama-3.1-8B-Instruct	tulu	44	flat_e minus scalar_f	1.4787430683918643	-0.9284620873081764	0.0
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	flat_e minus scalar_f	0.6097560975609753	1.77223201287633	-0.25271670457416917
Qwen3-8B/magicoder/seed43	Qwen3-8B	magicoder	43	flat_e minus scalar_f	6.097560975609767	0.7723861981635167	-0.10108668182966578
Qwen3-8B/magicoder/seed44	Qwen3-8B	magicoder	44	flat_e minus scalar_f	5.487804878048792	1.241447266167583	0.0
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	flat_e minus scalar_f	3.335860500379084	0.39370819100274446	0.0
Qwen3-8B/metamath/seed43	Qwen3-8B	metamath	43	flat_e minus scalar_f	2.274450341167551	3.5141196930399587	-0.4929143561306262
Qwen3-8B/metamath/seed44	Qwen3-8B	metamath	44	flat_e minus scalar_f	1.8195602729340408	4.212277101213317	-3.1599867754684965
Qwen3-8B/tulu/seed42	Qwen3-8B	tulu	42	flat_e minus scalar_f	1.1090573012939018	-0.36586279357504736	0.0
Qwen3-8B/tulu/seed43	Qwen3-8B	tulu	43	flat_e minus scalar_f	4.06654343807763	-0.902666852934999	0.0
Qwen3-8B/tulu/seed44	Qwen3-8B	tulu	44	flat_e minus scalar_f	2.587800369685766	-0.6234821244631803	0.0
