group	method	n	target	off_score	forgetting_gap	raw_fpr	full_moment_pr	energy_ratio	target_gain	off_gain	fg_reduction	gain_magicoder	gain_metamath	gain_tulu	gain_commonsense	gain_arc_challenge	gain_arc_easy	gain_boolq	gain_hellaswag	gain_openbookqa	gain_piqa	gain_siqa	gain_winogrande
task/magicoder	scalar_e	6	67.27642276422765	73.73942460026994	0.5920813851566166	1.150189387283	1.1203021853001696	0.026678719308227263	7.9268292682926775	4.121833881356571	2.5390849255510126	7.9268292682926775	5.863027546120797	6.038200862600118	0.4642732353488128	0.08532423208191431	-0.357744107744105	1.1620795107033641	1.6845913828586607	-0.2666666666666669	-0.47152702212549896	-0.6738314568406697	2.5519600105235445
task/magicoder	flat_e	6	65.2439024390244	73.41752081774818	0.6074237989034894	3.4243254037162765	2.831213513691594	0.026678719308227256	5.8943089430894275	3.7999300988348246	2.5237425118041394	5.8943089430894275	4.953247409653777	5.945779420825627	0.5007634660250773	-0.014220705346984422	-0.38580246913580046	1.1620795107033621	1.9617606054570793	-0.06666666666666672	-0.317373957199855	-0.9382463323097926	2.6045777426992895
task/metamath	hns_f4_s1	6	83.40914834470557	68.99312375019318	0.3330318946839598	7.398782005780436	5.062947041344848	0.10440434582745121	3.6138488754106675	5.618625132767664	4.173834356455965	8.536585365853659	3.6138488754106675	4.189772027110293	4.129518005339043	8.063139931740617	5.569584736251403	0.9683995922528036	6.914293301467172	3.533333333333331	3.6815379035183136	1.714431934493349	2.591423309655353
task/metamath	scalar_e	6	82.46146070255243	67.87683997850583	0.867928407377348	1.9025878681906552	1.7125821315167429	0.10440434582745121	2.666161233257521	4.502341361080312	3.6389378437625766	6.808943089430891	2.666161233257521	3.111521873074557	3.5865591207355023	6.129124004550629	4.566498316498316	0.85117227319062	5.88528181637124	4.0666666666666655	3.7268770402611526	1.6120777891504623	1.8547750591949483
task/metamath	flat_e	6	83.52287086176398	68.59326424666705	0.5262902023158473	7.250838925553981	4.988150891514394	0.10440434582745121	3.727571392469045	5.218765629241534	3.9805760488240765	8.028455284552846	3.727571392469045	3.481207640172523	4.146633962999228	8.148464163822528	5.499438832772167	0.9633027522935768	6.891057558255331	3.5333333333333314	3.77221617700399	1.6291368133742747	2.7361220731386453
task/tulu	hns_f4_s1	6	68.20702402957487	75.85031882147166	0.05472911576007138	11.129613980477009	8.234538480143598	0.16062889138805675	3.357979051139862	0.1887812157744051	0.43173635620661416	-1.5243902439024357	2.716704574172354	3.357979051139862	-0.625970682946703	-0.8816837315130851	-0.5822109988776655	-0.12232415902140858	-1.7659164841001143	-2.1	0.22669568371418425	-0.2558853633572167	0.47355958958168837
task/tulu	scalar_e	6	68.36105976586568	75.7925940884281	0.11404593409960108	3.0149190563705073	2.7002217379013147	0.16062889138805675	3.5120147874306817	0.13105648273084114	0.3724195378670845	-2.235772357723578	3.310588829921661	3.5120147874306817	-0.6816470240055494	-0.9385665529010266	-0.6453423120089804	-0.040774719673804714	-2.693686516630155	-1.8999999999999997	0.18135654697134704	-0.1791197543500526	0.7629571165482778
task/tulu	flat_e	6	68.05298829328405	75.68760986323223	0.053416064888419136	10.99219153684607	8.163112173115591	0.16062889138805675	3.203943314849044	0.026072257534965598	0.43304940707826645	-1.9308943089430872	2.6282537275713977	3.203943314849044	-0.6191426460234055	-0.910125142207054	-0.6172839506172848	-0.15800203873598448	-1.8555400650600813	-1.9999999999999982	0.21762785636561532	-0.2217673149095841	0.5919494869771114
base_task/Qwen3-8B/magicoder	hns_f4_s1	3	74.59349593495934	81.26057961818536	0.0	2.5852837924808227	2.1043048179193153	0.023472252894928904	10.365853658536581	3.2238135845772242	1.6655167511624869	10.365853658536581	5.38286580742987	4.436229205175597	-0.1476542588737999	-2.303754266211603	-1.1083052749719398	-0.040774719673804714	0.4514372966872478	0.2666666666666669	0.7072905331882503	-0.15353121801433187	0.9997369113391182
base_task/Qwen3-8B/magicoder	scalar_e	3	76.6260162601626	81.36421609410661	0.0	1.0614443300909369	1.0422584318979307	0.023472252894928904	12.398373983739832	3.327450060498473	1.6655167511624869	12.398373983739832	5.483952489259536	4.497843499691925	0.000554192543991879	-2.0477815699658675	-1.094276094276092	0.050968399592254965	0.4846312155613079	0.20000000000000018	0.6710192237939783	0.18764926646195704	1.5522230991844246
