base	task	seed	checkpoint	method	benchmark	role	recovery_rate	recovery_rate_defined	retention_rate	retention_rate_defined	new_success_rate	new_success_rate_defined	new_damage_rate	new_damage_rate_defined	new_success_conditional_rate	new_success_conditional_rate_defined	new_damage_conditional_rate	new_damage_conditional_rate_defined	n_units	samples	recovery_set_size	retention_set_size	new_success_set_size	new_damage_set_size	recovered	retained	new_success	new_damage
Qwen3-8B	metamath	42	Qwen3-8B/metamath/seed42	hns_f4_s1	commonsense	off_task	0.7134879785813188	8	0.5872709924298727	8	0.008280232068567973	8	0.0030166319551382303	8	0.07234327090553687	8	0.004553490405803644	8	8	22419	918	890	2678	17933	621	489	145	69
Qwen3-8B	metamath	42	Qwen3-8B/metamath/seed42	scalar_e	commonsense	off_task	0.7121135919620846	8	0.5973147281396476	8	0.007099318476787359	8	0.003435819459668357	8	0.06255635469640686	8	0.005378168787316295	8	8	22419	918	890	2678	17933	632	496	120	61
Qwen3-8B	metamath	42	Qwen3-8B/metamath/seed42	flat_e	commonsense	off_task	0.7017576671145094	8	0.5918246136775014	8	0.008888443804517669	8	0.003163028667978329	8	0.08004948341089978	8	0.00472202224376405	8	8	22419	918	890	2678	17933	622	490	146	71
Qwen3-8B	metamath	43	Qwen3-8B/metamath/seed43	hns_f4_s1	commonsense	off_task	0.7103426563763235	8	0.5974353782987704	8	0.008098001388810911	8	0.0034103090340255058	8	0.08426338516662363	8	0.004881424990021112	8	8	22419	928	870	2698	17923	620	494	151	82
Qwen3-8B	metamath	43	Qwen3-8B/metamath/seed43	scalar_e	commonsense	off_task	0.6990632818766684	8	0.6117296670501244	8	0.0072719345174787325	8	0.0027337423559041676	8	0.07560384640826102	8	0.003841964462743608	8	8	22419	928	870	2698	17923	598	514	132	71
Qwen3-8B	metamath	43	Qwen3-8B/metamath/seed43	flat_e	commonsense	off_task	0.7115670468649393	8	0.5943607435621372	8	0.008237524652772093	8	0.0033423163325769214	8	0.08566861291503478	8	0.004742718379946201	8	8	22419	928	870	2698	17923	617	489	154	79
Qwen3-8B	metamath	44	Qwen3-8B/metamath/seed44	hns_f4_s1	commonsense	off_task	0.7116333438258587	8	0.5934389702488145	8	0.008076339095178436	8	0.0026980341128461194	8	0.07766409801903729	8	0.0035821016307048753	8	8	22419	964	842	2726	17887	638	468	129	69
Qwen3-8B	metamath	44	Qwen3-8B/metamath/seed44	scalar_e	commonsense	off_task	0.707664174828446	8	0.6067297439784531	8	0.007409505956847575	8	0.001879705453600263	8	0.07731995237991188	8	0.002450226402517906	8	8	22419	964	842	2726	17887	643	490	121	53
Qwen3-8B	metamath	44	Qwen3-8B/metamath/seed44	flat_e	commonsense	off_task	0.6982294234775914	8	0.5943713327544905	8	0.00825941619641208	8	0.002906003902521133	8	0.08059812761442256	8	0.003847469850317498	8	8	22419	964	842	2726	17887	632	471	130	74
Qwen3-8B	tulu	42	Qwen3-8B/tulu/seed42	hns_f4_s1	commonsense	off_task	0.523097500466875	8	0.6810134872071728	8	0.0036440154373393267	8	0.002650207541920366	8	0.03783967536421359	8	0.003351429201593845	8	8	22419	676	815	2753	18175	325	534	89	53
