checkpoint	benchmark	level	comparison	metric	mean_difference	ci_low	ci_high	bootstrap_defined	bootstrap_resamples	uncertainty
Llama-3.1-8B-Instruct/magicoder/seed42	magicoder	atomic_benchmark	hns_f4_s1 minus flat_e	retention_rate	0.050000000000000044	0.0	0.16666666666666663	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	magicoder	atomic_benchmark	hns_f4_s1 minus flat_e	new_success_rate	0.012195121951219513	0.0	0.03048780487804878	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	magicoder	atomic_benchmark	hns_f4_s1 minus flat_e	new_damage_rate	0.0	0.0	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	magicoder	atomic_benchmark	scalar_e minus flat_e	recovery_rate	0.2222222222222222	0.05555555555555547	0.4444444444444444	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	magicoder	atomic_benchmark	scalar_e minus flat_e	retention_rate	0.0	-0.1538461538461538	0.14285714285714285	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	magicoder	atomic_benchmark	scalar_e minus flat_e	new_success_rate	0.0	0.0	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	magicoder	atomic_benchmark	scalar_e minus flat_e	new_damage_rate	-0.006097560975609755	-0.01829268292682927	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	metamath	atomic_benchmark	hns_f4_s1 minus scalar_e	recovery_rate	-0.02051282051282055	-0.06780326559588255	0.021621621621621623	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	metamath	atomic_benchmark	hns_f4_s1 minus scalar_e	retention_rate	-0.0431034482758621	-0.09483784893267654	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	metamath	atomic_benchmark	hns_f4_s1 minus scalar_e	new_success_rate	0.0	-0.009097801364670206	0.009097801364670206	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	metamath	atomic_benchmark	hns_f4_s1 minus scalar_e	new_damage_rate	0.0037907505686125866	-0.003032600454890068	0.01061410159211524	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	metamath	atomic_benchmark	hns_f4_s1 minus flat_e	recovery_rate	0.01025641025641022	-0.028089887640449396	0.0491803278688524	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	metamath	atomic_benchmark	hns_f4_s1 minus flat_e	retention_rate	0.03448275862068961	0.0	0.07843909217230195	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	metamath	atomic_benchmark	hns_f4_s1 minus flat_e	new_success_rate	0.00379075056861259	-0.00227445034116755	0.01061410159211524	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	metamath	atomic_benchmark	hns_f4_s1 minus flat_e	new_damage_rate	0.0	-0.006823351023502653	0.006823351023502653	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	metamath	atomic_benchmark	scalar_e minus flat_e	recovery_rate	0.03076923076923077	-0.015706806282722478	0.08000534759358292	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	metamath	atomic_benchmark	scalar_e minus flat_e	retention_rate	0.07758620689655171	0.02702099420849421	0.1344708153531682	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	metamath	atomic_benchmark	scalar_e minus flat_e	new_success_rate	0.00379075056861259	-0.005307050796057623	0.01288855193328279	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	metamath	atomic_benchmark	scalar_e minus flat_e	new_damage_rate	-0.0037907505686125866	-0.01061410159211524	0.003790750568612583	2000	2000	paired test samples conditional on one fixed source checkpoint
