cohort	pr_definition	model	checkpoint	method	outcome	log_energy_ratio	raw_fpr	full_moment_pr
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/tulu/seed42	functional_hns_a05	target_gain		0.6624566895889055	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/tulu/seed42	functional_hns_a10	target_gain		0.8247812349751509	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/tulu/seed42	functional_flat	target_gain		0.8270023503391987	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/tulu/seed43	original_lora	target_gain		-1.3149635782290896	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/tulu/seed43	hns_f4_s1	target_gain		0.12013553836116868	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/tulu/seed43	functional_hns_a05	target_gain		0.6838614790613214	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/tulu/seed43	functional_hns_a10	target_gain		0.8630528869656835	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/tulu/seed43	functional_flat	target_gain		0.8652718200109956	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/tulu/seed44	original_lora	target_gain		-1.3002540429862994	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/tulu/seed44	hns_f4_s1	target_gain		0.0656512526715294	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/tulu/seed44	functional_hns_a05	target_gain		0.698777019603426	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/tulu/seed44	functional_hns_a10	target_gain		0.892030923535638	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/tulu/seed44	functional_flat	target_gain		0.8941644719809662	
A_all_versions	raw_fpr	FPR	Qwen3-8B/magicoder/seed42	scalar_e	target_gain		-1.0131594973414682	
A_all_versions	raw_fpr	FPR	Qwen3-8B/metamath/seed42	scalar_e	target_gain		-1.289050329946985	
A_all_versions	raw_fpr	FPR	Qwen3-8B/tulu/seed42	scalar_e	target_gain		-1.3769183771838684	
A_all_versions	raw_fpr	FPR	Qwen3-8B/magicoder/seed43	scalar_e	target_gain		-1.034094654586877	
A_all_versions	raw_fpr	FPR	Qwen3-8B/metamath/seed43	scalar_e	target_gain		-1.316481656278546	
A_all_versions	raw_fpr	FPR	Qwen3-8B/tulu/seed43	scalar_e	target_gain		-1.380147447106472	
A_all_versions	raw_fpr	FPR	Qwen3-8B/magicoder/seed44	scalar_e	target_gain		-1.0306802667839479	
A_all_versions	raw_fpr	FPR	Qwen3-8B/metamath/seed44	scalar_e	target_gain		-1.3048428126906766	
A_all_versions	raw_fpr	FPR	Qwen3-8B/tulu/seed44	scalar_e	target_gain		-1.392249607855673	
A_all_versions	raw_fpr	FPR	Qwen3-8B/magicoder/seed42	flat_e	target_gain		-0.7719989504333945	
