checkpoint	method	raw_fpr_delta	full_moment_pr_delta	target_delta	off_delta	higher_fpr_worse_target	higher_fpr_worse_off
Qwen3-8B/magicoder/seed43	functional_hns_a10	13.294893043673767	9.964695617762432	-5.487804878048792	-1.0071104617567244	True	True
Qwen3-8B/magicoder/seed43	functional_flat	13.324215066423218	9.988148187325471	-5.487804878048792	-0.9825355830935223	True	True
Qwen3-8B/magicoder/seed44	functional_hns_a05	6.68432841728991	3.9904750267315174	-1.8292682926829258	-1.0258983670593125	True	True
Qwen3-8B/magicoder/seed44	functional_hns_a10	13.324656124908287	10.052697263565165	-6.707317073170728	-0.8843003614377665	True	True
Qwen3-8B/magicoder/seed44	functional_flat	13.356150295081369	10.081237223652579	-6.097560975609753	-0.9435817770152113	True	True
Qwen3-8B/metamath/seed42	functional_hns_a05	5.9679664886772965	3.0394184432615416	0.07581501137225644	0.32820193055508184	False	False
Qwen3-8B/metamath/seed42	functional_hns_a10	9.193689015613526	6.2187741433757875	-0.2274450341167551	1.004259358756002	True	False
Qwen3-8B/metamath/seed42	functional_flat	9.214624971435759	6.272882568669386	-0.6065200909780231	0.7826142056484002	True	False
Qwen3-8B/metamath/seed43	functional_hns_a05	5.3460912814944095	2.9144282419577587	-0.07581501137224222	0.5444851227663321	True	False
Qwen3-8B/metamath/seed43	functional_hns_a10	8.037296852386897	5.627798868664183	-0.07581501137224222	1.0387648882936844	True	False
Qwen3-8B/metamath/seed43	functional_flat	8.055103134385394	5.604678965926029	0.07581501137225644	0.8663598575686251	False	False
Qwen3-8B/metamath/seed44	functional_hns_a05	5.5899216434878145	2.969654110536533	0.4548900682335102	-0.3120026837803209	False	True
Qwen3-8B/metamath/seed44	functional_hns_a10	8.317668965948677	5.575556871986926	0.2274450341167693	0.15756105694084965	False	False
Qwen3-8B/metamath/seed44	functional_flat	8.335712891948713	5.553997696157662	0.30326004548901153	0.5278117221873089	False	False
Qwen3-8B/tulu/seed42	functional_hns_a05	4.136337579352984	2.640331744938692	1.2939001848428973	0.0856784080050943	False	False
Qwen3-8B/tulu/seed42	functional_hns_a10	5.959707286444946	4.653078200361575	2.402957486136799	-0.386513755559335	False	True
Qwen3-8B/tulu/seed42	functional_flat	5.974962045728585	4.682344540780409	2.957486136783743	-0.5837850745924555	False	True
Qwen3-8B/tulu/seed43	functional_hns_a05	3.62761314399944	2.6222351051515966	0.3696857670979625	-0.3802719455704704	False	True
Qwen3-8B/tulu/seed43	functional_hns_a10	5.068020744236902	4.3859227581851785	0.7393715341959393	-0.37423846785526393	False	True
Qwen3-8B/tulu/seed43	functional_flat	5.082331338260175	4.382608330232839	-0.7393715341959393	-0.607672318671618	True	True
Qwen3-8B/tulu/seed44	functional_hns_a05	3.835392212189298	2.469058044157194	1.293900184842883	0.06786321088800662	False	False
Qwen3-8B/tulu/seed44	functional_hns_a10	5.295676296697664	4.382291930820298	1.1090573012939018	-1.5278661815061838	False	True
Qwen3-8B/tulu/seed44	functional_flat	5.310076196394386	4.386720496837681	1.1090573012939018	-1.3220647502491119	False	True
