base	task	seed	method	module	analytic_energy_relative_error	saved_energy_relative_error	shape_spread	source_basis_sha256	nuclear_ratio
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.18.mlp.up_proj	2.220446049250313e-16	5.883790152871882e-07	2.7755575615628914e-17	c1e703468a0e5a2785835d33c5016cdfb32521336bd39cb416a9bcc2b094116c	0.18125027895581444
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.18.self_attn.k_proj	0.0	9.84420810756781e-07	1.1102230246251565e-16	2c21929051bfc62ed23057fbbb341031b0e95a0a0c6dbc9ce9490a76ffdb0c97	0.4312159355543221
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.18.self_attn.o_proj	1.1102230246251565e-16	1.5561228884353184e-06	2.7755575615628914e-17	61943151ea032ed69938765ef9faf92e5aced4e900d04f06496210a0f9351c88	0.2400235217265175
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.18.self_attn.q_proj	0.0	2.8846899295942308e-06	5.551115123125783e-17	602573657907686c2d006683e26fb08aa8f94dfd7ad2ff81b2f45acf0b5858de	0.23502568217223566
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.18.self_attn.v_proj	2.220446049250313e-16	9.674062644293713e-07	5.551115123125783e-17	ddc24e671cc8e7de02cfb1050621524a2e437b98e2ce85df1a36424ddcae4c4c	0.23976209806274867
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.19.mlp.down_proj	0.0	6.490256609925638e-08	5.551115123125783e-17	ee59b0556d6b9957679c79f5813cb846d639f83292fad430701ad95ec2e27362	0.24048150873797447
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.19.mlp.gate_proj	0.0	5.336755903861956e-07	2.7755575615628914e-17	cc5388b2413c4d0eda24d59ef75c8e139ca5e3d9fc50902ae0d889db48e45114	0.12281445771880643
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.19.mlp.up_proj	2.220446049250313e-16	1.8599673706765074e-06	2.7755575615628914e-17	83c5f4114a7aca98d175d3cfe2abcce8a832b9b46507a723cdb3af6113993123	0.16460806407413653
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.19.self_attn.k_proj	1.1102230246251565e-16	3.427556433455159e-06	0.0	62721a831572ed59dd5eccaa8810b704006fc83f158188c479869e399e536122	0.520524626299636
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.19.self_attn.o_proj	4.440892098500626e-16	2.397345724158839e-06	0.0	bbde3271200ce145388dbe8d295b3d2b40b89e964c72aa3a221b9045ff7ffaa7	0.2571475819008721
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.19.self_attn.q_proj	2.220446049250313e-16	2.967068332915268e-06	2.7755575615628914e-17	5c7a3a9646ef457da216b5e60ec0b77c44b330e009150b4aad7d4433532a58c0	0.23221000545516235
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.19.self_attn.v_proj	2.220446049250313e-16	2.436008317063809e-06	2.7755575615628914e-17	544f84500cf894645340a091413a490b3d19fead5d09508afc52ef2ec6f910ca	0.2144936899859973
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.2.mlp.down_proj	3.3306690738754696e-16	7.499732885829502e-07	5.551115123125783e-17	35b1ce7bd454af75a211f577efba4559dcfd9f5c1024632fd933c54fa0d0c7b4	0.20255615410307662
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.2.mlp.gate_proj	1.1102230246251565e-16	7.856375776604807e-07	0.0	ed99fec1acc1f86e0db0baf37ac2c0969c3c87604c530fad12d4d1474bca6afe	0.12935422353374054
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.2.mlp.up_proj	1.1102230246251565e-16	1.3974803358962617e-06	2.7755575615628914e-17	bd7ca5e662e79efc937069af807e106e3f3e61acd4ff2b39b8b614a9bc80cf39	0.11821373998813522
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.2.self_attn.k_proj	2.220446049250313e-16	1.8761324498406395e-06	1.1102230246251565e-16	114de60dc520eb33563c06d9e19a18b82bb66b4a44795b914936a7c4167b3374	0.5796757229742534
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.2.self_attn.o_proj	0.0	3.192622987313598e-06	0.0	29578a2809fa6728c4817c4e54ca52912c120c769f04e0b09a4327ac2cb5f499	0.18305822144654393
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.2.self_attn.q_proj	1.1102230246251565e-16	4.639207797474398e-06	0.0	217e4ba84ec088d7ea0ea442d72c687180d18988e0c191e09bf317301c094a00	0.27847956502455257
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.2.self_attn.v_proj	5.551115123125783e-16	2.253444615241129e-06	0.0	22f2e51221eea57bce25a7e5e00181195244043134466cf141040400ec3a15c2	0.12552691877152827
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.20.mlp.down_proj	1.1102230246251565e-16	2.3917032691000983e-06	5.551115123125783e-17	59475aaa529a6864d56f2e6fff7c680b724c9b4f11dc1d39f0d34e6369da7068	0.23962265180613262
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.20.mlp.gate_proj	2.220446049250313e-16	1.5044654533280521e-06	0.0	be4407cf3448937c1a443eb59f41044bbb7af14c1e51435d987ac3f305d9b7d5	0.14048245956221264
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.20.mlp.up_proj	2.220446049250313e-16	1.5436787801359486e-06	0.0	4084145ca52a26994a97f4bfb8d63b37d11b8e978ed804111953d95101d1236e	0.15765604591438784
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.20.self_attn.k_proj	0.0	2.8807394019114696e-06	1.1102230246251565e-16	0dedad0dd2e063375258e4ea6f12a38a81d2a71edd8538e05b10406b51b14441	0.4887738535810555
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.20.self_attn.o_proj	0.0	2.8757436068005404e-06	0.0	989c560ca287b72b02acaf260b5526c2fd135c92f608c785037ca6c60d05b74a	0.3739721186098405
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.20.self_attn.q_proj	0.0	2.8407343040104394e-06	0.0	55bb54917a699a57cc17fb4b6c8be1019726eedc65759b2b5fd4e9de96aa78ce	0.19350893780167575
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.20.self_attn.v_proj	0.0	1.122951990062404e-06	0.0	297422927d26846ab43d1a487dd670ccd88f37b10f6d086b22498ea5982290a9	0.2634846576448837
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.21.mlp.down_proj	1.1102230246251565e-16	1.7630992164008319e-06	5.551115123125783e-17	090c4902904220550aa9a13a91fec157be52c8f69e8dfb6cf8d2cb72fba3929a	0.23927766953972274
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.21.mlp.gate_proj	2.220446049250313e-16	2.409147339954565e-06	0.0	a8e38674c40fcf9832996f77b7f58f44daac82f44fe42f1b4302c181fb705d21	0.14488424195841945
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.21.mlp.up_proj	2.220446049250313e-16	4.827241276927907e-06	2.7755575615628914e-17	37816f0b318aa15381c6aff2e27da6ca447a3d0d360a290b5d0ad8aece64807d	0.1661755075085573
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.21.self_attn.k_proj	2.220446049250313e-16	4.013828837523548e-06	1.1102230246251565e-16	b302b22eca0ca980ca183ba3ac802fe38744c31f9d42f2d92424678dc23a09b7	0.40082681534415615
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.21.self_attn.o_proj	2.220446049250313e-16	2.754123283765786e-06	1.1102230246251565e-16	0ea7d2352b26cff6cadb10066f236c5e885c21642ded9d9b1e87f85fffcc04b9	0.4078496897969453
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.21.self_attn.q_proj	0.0	4.7120237645081886e-07	5.551115123125783e-17	5ddd1953d05f21ba07e1aa18966090b39391cc15cc173335b85a7e6a2fab35f6	0.24970956627552365
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.21.self_attn.v_proj	0.0	2.0891728860217285e-06	5.551115123125783e-17	148b9d6af82665f648405e627750b24c59feea5b68cc6c33e0f42a09faff7d40	0.2278155721040794
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.22.mlp.down_proj	2.220446049250313e-16	2.2805414139348557e-06	2.7755575615628914e-17	5efb1308a8d99d212cdd5fa5163017cd026e1f7301f97a45cb363b51850a83f2	0.19813133176303643
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.22.mlp.gate_proj	2.220446049250313e-16	1.333799229841226e-06	2.7755575615628914e-17	937f9587d958b8fcf3a60d04268ead06c35aff0f64c303830505c2bd4d05c7e8	0.1178794078237981
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.22.mlp.up_proj	2.220446049250313e-16	3.7835007149489286e-07	0.0	697827209774b5b6f5954506838645516de83321e6685eb6ba25f99fbd254fa4	0.12806702097139028
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.22.self_attn.k_proj	2.220446049250313e-16	3.096712212213859e-07	1.1102230246251565e-16	d114650214dcad814ae9fcd0f6136fbcddaeff94efbb9ca4aff78187ded9263a	0.4137187811457807
