checkpoint	base	task	seed	method	benchmark	recovery_rate	recovery_rate_defined	retention_rate	retention_rate_defined	new_success_rate	new_success_rate_defined	new_damage_rate	new_damage_rate_defined	new_success_conditional_rate	new_success_conditional_rate_defined	new_damage_conditional_rate	new_damage_conditional_rate_defined	n_units	samples	recovery_set_size	retention_set_size	new_success_set_size	new_damage_set_size	recovered	retained	new_success	new_damage	n_000	n_001	n_010	n_011	n_100	n_101	n_110	n_111
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	flat_e	magicoder	0.45	1	0.7272727272727273	1	0.012195121951219513	1	0.018292682926829267	1	0.03571428571428571	1	0.045454545454545456	1	1	164	20	22	56	66	9	16	2	3	54	2	6	16	11	9	3	63
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	hns_f4_s1	metamath	0.7911392405063291	1	0.4824120603015075	1	0.05155420773313116	1	0.02577710386656558	1	0.22895622895622897	1	0.05112781954887218	1	1	1319	158	199	297	665	125	96	68	34	229	68	103	96	33	125	34	631
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	scalar_e	metamath	0.810126582278481	1	0.542713567839196	1	0.05458680818802123	1	0.029567854435178165	1	0.24242424242424243	1	0.058646616541353384	1	1	1319	158	199	297	665	128	108	72	39	225	72	91	108	30	128	39	626
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	flat_e	metamath	0.7784810126582279	1	0.49246231155778897	1	0.04700530705079606	1	0.025018953752843062	1	0.20875420875420875	1	0.04962406015037594	1	1	1319	158	199	297	665	123	98	62	33	235	62	101	98	35	123	33	632
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	hns_f4_s1	tulu	0.7777777777777778	1	0.37142857142857144	1	0.024029574861367836	1	0.04805914972273567	1	0.07647058823529412	1	0.10970464135021098	1	1	541	99	35	170	237	77	13	13	26	157	13	22	13	22	77	26	211
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	scalar_e	tulu	0.7777777777777778	1	0.4	1	0.024029574861367836	1	0.04436229205175601	1	0.07647058823529412	1	0.10126582278481013	1	1	541	99	35	170	237	77	14	13	24	157	13	21	14	22	77	24	213
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	flat_e	tulu	0.7171717171717171	1	0.37142857142857144	1	0.025878003696857672	1	0.038817005545286505	1	0.08235294117647059	1	0.08860759493670886	1	1	541	99	35	170	237	71	13	14	21	156	14	22	13	28	71	21	216
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	hns_f4_s1	commonsense	0.7745966445743326	8	0.3087902961263638	8	0.010492825158295017	8	0.009681643502430937	8	0.041488822757818414	8	0.018069639699917255	8	8	22419	1555	1407	5931	13526	1227	397	474	235	5457	474	1010	397	328	1227	235	13291
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	scalar_e	commonsense	0.7507719625649115	8	0.3181460241452977	8	0.009946746407149425	8	0.010320823070839504	8	0.0416525555729199	8	0.021355993024616375	8	8	22419	1555	1407	5931	13526	1223	388	340	197	5591	340	1019	388	332	1223	197	13329
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	flat_e	commonsense	0.7670357651397519	8	0.31626475943038856	8	0.010222340028612574	8	0.009131653401023485	8	0.04104799581525645	8	0.017077610585391978	8	8	22419	1555	1407	5931	13526	1224	403	463	220	5468	463	1004	403	331	1224	220	13306
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	hns_f4_s1	magicoder	0.47619047619047616	1	0.8333333333333334	1	0.036585365853658534	1	0.0	1	0.1111111111111111	1	0.0	1	1	164	21	24	54	65	10	20	6	0	48	6	4	20	11	10	0	65
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	scalar_e	magicoder	0.19047619047619047	1	0.9166666666666666	1	0.012195121951219513	1	0.0	1	0.037037037037037035	1	0.0	1	1	164	21	24	54	65	4	22	2	0	52	2	2	22	17	4	0	65
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	flat_e	magicoder	0.47619047619047616	1	0.7916666666666666	1	0.036585365853658534	1	0.0	1	0.1111111111111111	1	0.0	1	1	164	21	24	54	65	10	19	6	0	48	6	5	19	11	10	0	65
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	hns_f4_s1	metamath	0.4368932038834951	1	0.9057239057239057	1	0.03866565579984837	1	0.01592115238817286	1	0.2562814070351759	1	0.029166666666666667	1	1	1319	103	297	199	720	45	269	51	21	148	51	28	269	58	45	21	699
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	scalar_e	metamath	0.42718446601941745	1	0.898989898989899	1	0.02880970432145565	1	0.024260803639120546	1	0.19095477386934673	1	0.044444444444444446	1	1	1319	103	297	199	720	44	267	38	32	161	38	30	267	59	44	32	688
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	flat_e	metamath	0.4174757281553398	1	0.9292929292929293	1	0.03639120545868082	1	0.014404852160727824	1	0.24120603015075376	1	0.02638888888888889	1	1	1319	103	297	199	720	43	276	48	19	151	48	21	276	60	43	19	701
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	hns_f4_s1	tulu	0.5974025974025974	1	0.5428571428571428	1	0.018484288354898338	1	0.029574861367837338	1	0.058823529411764705	1	0.06177606177606178	1	1	541	77	35	170	259	46	19	10	16	160	10	16	19	31	46	16	243
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	scalar_e	tulu	0.5194805194805194	1	0.6571428571428571	1	0.0166358595194085	1	0.036968576709796676	1	0.052941176470588235	1	0.07722007722007722	1	1	541	77	35	170	259	40	23	9	20	161	9	12	23	37	40	20	239
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	flat_e	tulu	0.5324675324675324	1	0.6	1	0.018484288354898338	1	0.04066543438077634	1	0.058823529411764705	1	0.08494208494208494	1	1	541	77	35	170	259	41	21	10	22	160	10	14	21	36	41	22	237
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	hns_f4_s1	commonsense	0.5217379835487711	8	0.7332458263971066	8	0.012272671637984315	8	0.010946354411255839	8	0.06180028975700095	8	0.018251107880331054	8	8	22419	2688	995	6343	12393	1336	660	271	237	6072	271	335	660	1352	1336	237	12156
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	scalar_e	commonsense	0.3690111992841949	8	0.8049567375799598	8	0.011075784982763284	8	0.01048872515328584	8	0.05397553763032459	8	0.017981677800865334	8	8	22419	2688	995	6343	12393	916	726	202	235	6141	202	269	726	1772	916	235	12158
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	flat_e	commonsense	0.5187794436108015	8	0.735567322192096	8	0.012484402219744152	8	0.0110811354712021	8	0.06252283203856562	8	0.01833063485212533	8	8	22419	2688	995	6343	12393	1343	663	264	234	6079	264	332	663	1345	1343	234	12159
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	hns_f4_s1	magicoder	0.55	1	0.5	1	0.036585365853658534	1	0.036585365853658534	1	0.10714285714285714	1	0.09090909090909091	1	1	164	20	22	56	66	11	11	6	6	50	6	11	11	9	11	6	60
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	scalar_e	magicoder	0.5	1	0.6363636363636364	1	0.036585365853658534	1	0.018292682926829267	1	0.10714285714285714	1	0.045454545454545456	1	1	164	20	22	56	66	10	14	6	3	50	6	8	14	10	10	3	63
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	flat_e	magicoder	0.55	1	0.5	1	0.036585365853658534	1	0.042682926829268296	1	0.10714285714285714	1	0.10606060606060606	1	1	164	20	22	56	66	11	11	6	7	50	6	11	11	9	11	7	59
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	hns_f4_s1	metamath	0.5691056910569106	1	0.8517241379310345	1	0.0401819560272934	1	0.027293404094010616	1	0.25728155339805825	1	0.05142857142857143	1	1	1319	123	290	206	700	70	247	53	36	153	53	43	247	53	70	36	664
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	scalar_e	metamath	0.6260162601626016	1	0.8310344827586207	1	0.0401819560272934	1	0.024260803639120546	1	0.25728155339805825	1	0.045714285714285714	1	1	1319	123	290	206	700	77	241	53	32	153	53	49	241	46	77	32	668
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	flat_e	metamath	0.5365853658536586	1	0.8448275862068966	1	0.04245640636846096	1	0.02880970432145565	1	0.27184466019417475	1	0.054285714285714284	1	1	1319	123	290	206	700	66	245	56	38	150	56	45	245	57	66	38	662
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	hns_f4_s1	tulu	0.640625	1	0.34210526315789475	1	0.029574861367837338	1	0.018484288354898338	1	0.09580838323353294	1	0.03676470588235294	1	1	541	64	38	167	272	41	13	16	10	151	16	25	13	23	41	10	262
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	scalar_e	tulu	0.6875	1	0.39473684210526316	1	0.025878003696857672	1	0.029574861367837338	1	0.08383233532934131	1	0.058823529411764705	1	1	541	64	38	167	272	44	15	14	16	153	14	23	15	20	44	16	256
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	flat_e	tulu	0.640625	1	0.34210526315789475	1	0.02033271719038817	1	0.0166358595194085	1	0.0658682634730539	1	0.03308823529411765	1	1	541	64	38	167	272	41	13	11	9	156	11	25	13	23	41	9	263
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	hns_f4_s1	commonsense	0.6989138123559258	8	0.6289833483439842	8	0.0196510612889369	8	0.0067413212523359635	8	0.0793704088672475	8	0.011793082890502044	8	8	22419	2944	826	6512	12137	2168	518	661	154	5851	661	308	518	776	2168	154	11983
