group	method	recovery_rate	recovery_rate_defined	retention_rate	retention_rate_defined	new_success_rate	new_success_rate_defined	new_damage_rate	new_damage_rate_defined	new_success_conditional_rate	new_success_conditional_rate_defined	new_damage_conditional_rate	new_damage_conditional_rate_defined	n_units	samples	recovery_set_size	retention_set_size	new_success_set_size	new_damage_set_size	recovered	retained	new_success	new_damage	n_000	n_001	n_010	n_011	n_100	n_101	n_110	n_111
benchmark/winogrande	hns_f4_s1	0.5157134303992105	18	0.5739347866868755	18	0.00798035604665439	18	0.006007191090064018	18	0.03184467399420251	18	0.015352119723709166	18	18	22806	3255	2980	5876	10695	1606	1735	182	137	5694	182	1245	1735	1649	1606	137	10558
benchmark/winogrande	scalar_e	0.49052930107146153	18	0.6068207448159753	18	0.01008506533368412	18	0.008901166359729895	18	0.04228574237965628	18	0.023524180867410698	18	18	22806	3255	2980	5876	10695	1602	1744	230	203	5646	230	1236	1744	1653	1602	203	10492
benchmark/winogrande	flat_e	0.5208149628881065	18	0.5818619447763376	18	0.00819959659738665	18	0.005919494869771113	18	0.03283150170933061	18	0.015235308608984706	18	18	22806	3255	2980	5876	10695	1635	1744	187	135	5689	187	1236	1744	1620	1635	135	10560
family/magicoder	hns_f4_s1	0.5794875263381482	18	0.6827077510826185	18	0.023712737127371278	18	0.014905149051490516	18	0.11201785848134915	18	0.03303737331463121	18	18	2952	379	468	729	1376	238	325	70	44	659	70	143	325	141	238	44	1332
family/magicoder	scalar_e	0.581402529151844	18	0.6963137504945565	18	0.02269647696476965	18	0.013550135501355013	18	0.10930257579871529	18	0.02888088105565341	18	18	2952	379	468	729	1376	234	330	67	40	662	67	138	330	145	234	40	1336
family/magicoder	flat_e	0.584758877846059	18	0.6716803891432735	18	0.024051490514905148	18	0.015582655826558267	18	0.11179313358229476	18	0.035195219603305385	18	18	2952	379	468	729	1376	241	320	71	46	658	71	148	320	138	241	46	1330
family/metamath	hns_f4_s1	0.6298313105904467	18	0.7073713610251913	18	0.029188779378316907	18	0.020512172521270324	18	0.19264775211092963	18	0.03502142650200706	18	18	23742	2141	2532	3624	15445	1422	1833	693	487	2931	693	699	1833	719	1422	487	14958
family/metamath	scalar_e	0.649781502421597	18	0.7132371953818191	18	0.02910454047679219	18	0.022281189453289534	18	0.18187756330118354	18	0.03752394008080376	18	18	23742	2141	2532	3624	15445	1465	1842	691	529	2933	691	690	1842	676	1465	529	14916
family/metamath	flat_e	0.6222916708973126	18	0.717503112810189	18	0.027504001347822424	18	0.020133097464409066	18	0.18082303918313192	18	0.034316453988534	18	18	23742	2141	2532	3624	15445	1400	1852	653	478	2971	653	680	1852	741	1400	478	14967
family/tulu	hns_f4_s1	0.6720951307868092	18	0.5531929088433927	18	0.023208050934483467	18	0.022386527007599095	18	0.08755556049702753	18	0.04305814271168149	18	18	9738	1089	708	2613	5328	736	400	226	218	2387	226	308	400	353	736	218	5110
family/tulu	scalar_e	0.6912929189702559	18	0.5521097901445974	18	0.022181146025878	18	0.025056479769973307	18	0.08385776085709523	18	0.04780870541118907	18	18	9738	1089	708	2613	5328	749	398	216	244	2397	216	310	398	340	749	244	5084
family/tulu	flat_e	0.6779354887115717	18	0.5568548362300011	18	0.023002669952762372	18	0.02526186075169439	18	0.08692959321440631	18	0.048209128180182775	18	18	9738	1089	708	2613	5328	738	402	224	246	2389	224	306	402	351	738	246	5082
family/commonsense	hns_f4_s1	0.6126410826132146	18	0.5482510218051542	18	0.007021932603805127	18	0.005377945662976416	18	0.043663936768909804	18	0.009033784784761863	18	18	403542	24364	18637	79517	281024	14497	9709	3564	2414	75953	3564	8928	9709	9867	14497	2414	278610
family/commonsense	scalar_e	0.592555381813569	18	0.567130066724506	18	0.0064918445128586445	18	0.005842817240689059	18	0.040368444956912414	18	0.010359429209552634	18	18	403542	24364	18637	79517	281024	13642	9847	2919	2649	76598	2919	8790	9847	10722	13642	2649	278375
family/commonsense	flat_e	0.6122218324302563	18	0.5525093254972075	18	0.007010959322073617	18	0.005405689858140345	18	0.04410846468077436	18	0.009061383429626323	18	18	403542	24364	18637	79517	281024	14489	9745	3539	2430	75978	3539	8892	9745	9875	14489	2430	278594
macro/all	hns_f4_s1	0.6235137625821547	18	0.6228807606890892	18	0.020782875010994194	18	0.01579544856083409	18	0.10897127696455403	18	0.030037681828270404	18	18	439974	27973	22345	86483	303173	16893	12267	4553	3163	81930	4553	10078	12267	11080	16893	3163	300010
macro/all	scalar_e	0.6287580830893166	18	0.6321977006863698	18	0.020118501995074624	18	0.016682655491326727	18	0.10385158622847662	18	0.031143238939299718	18	18	439974	27973	22345	86483	303173	16090	12417	3893	3462	82590	3893	9928	12417	11883	16090	3462	299711
macro/all	flat_e	0.6243019674713	18	0.6246369159201678	18	0.02039228028439089	18	0.01659582597520052	18	0.10591355766515183	18	0.031695546300412124	18	18	439974	27973	22345	86483	303173	16868	12319	4487	3200	81996	4487	10026	12319	11105	16868	3200	299973
macro/target	hns_f4_s1	0.5805897761031595	18	0.7236762800847361	18	0.02349142201999265	18	0.01613625145380086	18	0.13709475931233492	18	0.029987471007985537	18	18	12144	1202	1620	1938	7384	697	1296	306	232	1632	306	324	1296	505	697	232	7152
macro/target	scalar_e	0.6541434568373807	18	0.7081130961352338	18	0.02341157147114417	18	0.01669686255874245	18	0.13799418298687507	18	0.029486941769397257	18	18	12144	1202	1620	1938	7384	746	1256	286	265	1652	286	364	1256	456	746	265	7119
macro/target	flat_e	0.5943900397620159	18	0.7283328782720895	18	0.024229499835158583	18	0.017231746447658892	18	0.1414612719596187	18	0.0320906655025613	18	18	12144	1202	1620	1938	7384	699	1305	308	235	1630	308	315	1305	503	699	235	7149
macro/off_task	hns_f4_s1	0.6378217580751532	18	0.5892822542238735	18	0.019880026007994708	18	0.015681847596511832	18	0.09959678284862707	18	0.030054418768365367	18	18	427830	26771	20725	84545	295789	16196	10971	4247	2931	80298	4247	9754	10971	10575	16196	2931	292858
macro/off_task	scalar_e	0.6202962918399617	18	0.6068925688700817	18	0.019020812169718102	18	0.01667791980218815	18	0.0924707206423438	18	0.03169533799593387	18	18	427830	26771	20725	84545	295789	15344	11161	3607	3197	80938	3607	9564	11161	11427	15344	3197	292592
macro/off_task	flat_e	0.6342726100410611	18	0.590071595136194	18	0.01911320710080166	18	0.01638385248438106	18	0.09406431956699621	18	0.03156383989969573	18	18	427830	26771	20725	84545	295789	16169	11014	4179	2965	80366	4179	9711	11014	10602	16169	2965	292824
macro/base/Qwen3-8B	hns_f4_s1	0.6750790192003383	9	0.6481853384780867	9	0.016882780316643593	9	0.011852709339846133	9	0.11975082438248627	9	0.019168577914374894	9	9	219987	7709	8172	27603	176503	4967	4705	1132	743	26471	1132	3467	4705	2742	4967	743	175760
macro/base/Qwen3-8B	scalar_e	0.6730168764703043	9	0.6442547041386506	9	0.01677726502380726	9	0.013617752462228442	9	0.11392466977119925	9	0.021851221956405834	9	9	219987	7709	8172	27603	176503	4890	4888	1071	762	26532	1071	3284	4888	2819	4890	762	175741
macro/base/Qwen3-8B	flat_e	0.6769470915515665	9	0.6492468392070551	9	0.01681497444740212	9	0.012097068840475962	9	0.11644213913748858	9	0.019553751823043204	9	9	219987	7709	8172	27603	176503	4952	4727	1136	771	26467	1136	3445	4727	2757	4952	771	175732
macro/base/Llama-3.1-8B-Instruct	hns_f4_s1	0.5719485059639711	9	0.5975761829000917	9	0.024682969705344796	9	0.019738187781822042	9	0.09819172954662175	9	0.04090678574216591	9	9	219987	20264	14173	58880	126670	11926	7562	3421	2420	55459	3421	6611	7562	8338	11926	2420	124250
macro/base/Llama-3.1-8B-Instruct	scalar_e	0.5844992897083288	9	0.620140697234089	9	0.02345973896634198	9	0.01974755852042501	9	0.09377850268575398	9	0.0404352559221936	9	9	219987	20264	14173	58880	126670	11200	7529	2822	2700	56058	2822	6644	7529	9064	11200	2700	123970
macro/base/Llama-3.1-8B-Instruct	flat_e	0.5716568433910332	9	0.6000269926332806	9	0.023969586121379664	9	0.02109458310992507	9	0.0953849761928151	9	0.04383734077778104	9	9	219987	20264	14173	58880	126670	11916	7592	3351	2429	55529	3351	6581	7592	8348	11916	2429	124241
macro/source/magicoder	hns_f4_s1	0.7403252691598623	6	0.48284977802196133	6	0.02008439488770631	6	0.014959086656004648	6	0.10282243583824408	6	0.030042217422070736	6	6	146658	7828	6736	29540	102554	5783	2334	1502	855	28038	1502	4402	2334	2045	5783	855	101699
macro/source/magicoder	scalar_e	0.7755636934356432	6	0.5106045098059349	6	0.021813278760656155	6	0.015106422420592784	6	0.113210678044398	6	0.029523563607851844	6	6	146658	7828	6736	29540	102554	5803	2474	1321	871	28219	1321	4262	2474	2025	5803	871	101683
macro/source/magicoder	flat_e	0.7432307888764093	6	0.4903261122297489	6	0.01970126033490265	6	0.014778986326195382	6	0.10014409190498481	6	0.029597216596307707	6	6	146658	7828	6736	29540	102554	5789	2368	1470	843	28070	1470	4368	2368	2039	5789	843	101711
macro/source/metamath	hns_f4_s1	0.6310591583045854	6	0.6511837263962299	6	0.02479112740547955	6	0.016501237609714437	6	0.13171377413498678	6	0.031829330235188316	6	6	146658	12641	6868	29408	97741	8321	4378	2315	1013	27093	2315	2490	4378	4320	8321	1013	96728
macro/source/metamath	scalar_e	0.6042519813786487	6	0.6450444772925551	6	0.021971313974586015	6	0.018226530279876443	6	0.11813120992954863	6	0.033957168320600244	6	6	146658	12641	6868	29408	97741	7645	4433	1911	1084	27497	1911	2435	4433	4996	7645	1084	96657
macro/source/metamath	flat_e	0.6238917797443748	6	0.6509031922859891	6	0.02431870934377681	6	0.018027519637346685	6	0.13001693866520497	6	0.035257362427656945	6	6	146658	12641	6868	29408	97741	8297	4395	2301	1019	27107	2301	2473	4395	4344	8297	1019	96722
macro/source/tulu	hns_f4_s1	0.4991568602820164	6	0.7346087776490761	6	0.017473102739796725	6	0.01592602141678318	6	0.09237762092043124	6	0.02824149782755216	6	6	146658	7504	8741	27535	102878	2789	5555	736	1295	26799	736	3186	5555	4715	2789	1295	101583
macro/source/tulu	scalar_e	0.5064585744536577	6	0.7409441149606195	6	0.01657091324998169	6	0.016715013773510954	6	0.08021287071148324	6	0.029948984889447073	6	6	146658	7504	8741	27535	102878	2642	5510	661	1507	26874	661	3231	5510	4862	2642	1507	101371
macro/source/tulu	flat_e	0.5057833337931154	6	0.7326814432447654	6	0.017156871174493212	6	0.01698097196205948	6	0.08757964242526571	6	0.030232059877271716	6	6	146658	7504	8741	27535	102878	2782	5556	716	1338	26819	716	3185	5556	4722	2782	1338	101540
