base	task	seed	method	name	magicoder	metamath	tulu	commonsense	target	off_score	forgetting_gap	path	modules	functional_pr	functional_erank	protected_functional_pr	cov_functional_pr	cov_functional_erank	functional_energy_ratio	fro_ratio	max_target_to_source_gain	floored_direction_fraction	max_nuclear_relative_error	max_saved_update_error	functional_rms_ratio	functional_squared_energy_ratio	target_gain_lora	off_score_gain_lora	fg_reduction_lora	target_gain_hns	off_score_gain_hns	fg_reduction_hns	raw_fpr	full_moment_pr	functional_energy	source_functional_energy	checkpoint	target_gain	off_gain	fg_reduction	energy_ratio	log_energy_ratio	gain_magicoder	gain_metamath	gain_tulu	gain_commonsense	score_arc_challenge	gain_arc_challenge	score_arc_easy	gain_arc_easy	score_boolq	gain_boolq	score_hellaswag	gain_hellaswag	score_openbookqa	gain_openbookqa	score_piqa	gain_piqa	score_siqa	gain_siqa	score_winogrande	gain_winogrande	max_saved_energy_relative_error	max_analytic_energy_relative_error	max_storage_roundoff_common_gain_error
Llama-3.1-8B-Instruct	magicoder	43	hns_f4_s1	HNS α=0 (4+1)	55.487804878048784	68.6125852918878	57.301293900184845	72.17000293023685	55.487804878048784	66.02796070743649	1.6019716574245209	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Llama-3.1-8B-Instruct/seed43/hns_step_grid/adapters/Llama-3.1-8B-Instruct/magicoder/hns_f4_s1	224	4.1420619321055865	7.862820501471532	4.1420619321055865	3.438454101670177	6.77911403832339	0.18153493205748766	0.688799392894128	6.817064984594614	0.00027901785714285713	2.16152624687993e-08	0.0	0.18153493205748766	0.032954931557116665	-0.6097560975609753	5.085206036451346	3.2083854952993365	0.0	0.0	0.0	4.1420619321055865	3.438454101670177	7.520347162003341	228.20096436763228	Llama-3.1-8B-Instruct/magicoder/seed43	-0.6097560975609753	5.085206036451346	3.2083854952993365	0.032954931557116665	-3.4126143613384583	-0.6097560975609753	4.852160727824106	9.24214417744917	1.161313204080784	73.20819112627987	2.3890784982935176	89.26767676767676	0.33670033670033517	85.62691131498471	3.792048929663605	58.34495120493926	1.7825134435371481	66.4	-1.200000000000001	78.45484221980414	-1.90424374319913	67.80962128966223	-2.456499488229269	58.24782951854775	6.550907655880033			
Llama-3.1-8B-Instruct	magicoder	44	hns_f4_s1	HNS α=0 (4+1)	53.65853658536586	69.74981046247157	58.04066543438078	71.9614516023422	53.65853658536586	66.58397583306484	1.3555144793592102	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Llama-3.1-8B-Instruct/seed44/hns_step_grid/adapters/Llama-3.1-8B-Instruct/magicoder/hns_f4_s1	224	4.372900004969882	7.90177410667461	4.372900004969882	3.5480307067035555	6.9311052087261515	0.17657211042176782	0.6846935441169149	8.949189563274073	0.0008370535714285714	1.954737927079009e-08	0.0	0.17657211042176782	0.031177710178796968	0.0	4.251323299516294	2.6461932313218357	0.0	0.0	0.0	4.372900004969882	3.5480307067035555	7.465375646697146	239.4459247932238	Llama-3.1-8B-Instruct/magicoder/seed44	0.0	4.251323299516294	2.6461932313218357	0.031177710178796964	-3.4680518568306336	0.0	4.245640636846105	7.763401109057298	0.7449281526454996	73.63481228668942	2.5597269624573427	89.22558922558923	0.5471380471380516	85.77981651376146	3.149847094801217	57.66779525990838	4.023102967536341	66.2	0.0	78.0195865070729	-3.4276387377584316	66.8372569089048	-2.865916069600827	58.32675611681136	1.9731649565903675			
Llama-3.1-8B-Instruct	metamath	42	hns_f4_s1	HNS α=0 (4+1)	61.58536585365854	80.66717210007582	58.78003696857671	69.64851425192025	80.66717210007582	63.33797235805183	1.6901198955221186	/dataset1/zailong/runs/peft-sft-lab/hns-step-grid-2x4-20260912/adapters/Llama-3.1-8B-Instruct/metamath/hns_f4_s1	224	12.034087191672649	13.924310696394313	12.034087191672649	9.649707641687819	12.44792743882505	0.5438048108759767	0.872947584275645	9.43977553653715	0.0	1.4308012441510698e-08	0.0	0.5438048108759767	0.29572367233185676	3.5633055344958393	5.454217189036385	3.0151927987924854	0.0	0.0	0.0	12.034087191672649	9.649707641687819	140.10009116783468	473.7533862714123	Llama-3.1-8B-Instruct/metamath/seed42	3.5633055344958393	5.454217189036385	3.0151927987924854	0.2957236723318567	-1.2183298000967855	7.317073170731703	3.5633055344958393	4.4362292051756	4.609349191201858	70.81911262798634	12.372013651877134	87.16329966329967	10.143097643097644	84.58715596330275	1.1314984709480114	50.52778331009758	5.2280422226648025	70.0	3.9999999999999925	72.14363438520131	2.611534276387373	67.09314227226203	0.20470829068577334	54.85398579321231	1.1838989739542227			
Llama-3.1-8B-Instruct	metamath	43	hns_f4_s1	HNS α=0 (4+1)	53.65853658536586	78.39272175890827	61.367837338262476	71.85118758170628	78.39272175890827	62.292520501778206	0.24645717806531073	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Llama-3.1-8B-Instruct/seed43/hns_step_grid/adapters/Llama-3.1-8B-Instruct/metamath/hns_f4_s1	224	5.068250346057771	8.334110430581353	5.068250346057771	3.1369096272722174	6.15761709650144	0.2848242684353501	0.7970188126649911	13.580819609517572	0.0011160714285714285	1.802964355590575e-08	0.0	0.2848242684353501	0.08112486388973236	3.335860500379084	4.047989703179397	3.8948278541456056	0.0	0.0	0.0	5.068250346057771	3.1369096272722174	33.18961999348705	409.1177279335654	Llama-3.1-8B-Instruct/metamath/seed43	3.335860500379084	4.047989703179397	3.8948278541456056	0.08112486388973236	-2.5117657817437915	0.0	3.335860500379084	4.06654343807763	8.077425671460567	71.75767918088737	13.054607508532424	87.83670033670033	9.680134680134678	84.58715596330275	1.8654434250764518	58.03624775941047	16.07249551882095	70.8	8.199999999999996	75.1904243743199	6.637649619151242	68.11668372569089	4.4524053224155535	58.484609313338595	4.6566692975532735			
Llama-3.1-8B-Instruct	metamath	44	hns_f4_s1	HNS α=0 (4+1)	53.65853658536586	78.99924184988627	61.92236598890942	71.91343661293956	78.99924184988627	62.49811306240495	0.06161429451632946	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Llama-3.1-8B-Instruct/seed44/hns_step_grid/adapters/Llama-3.1-8B-Instruct/metamath/hns_f4_s1	224	4.895795494722178	8.243642007705715	4.895795494722178	3.2879547647982648	6.393926238804978	0.2904411451658025	0.7998157931511493	15.694071982976652	0.0011160714285714285	1.9535955408933603e-08	0.0	0.2904411451658025	0.08435605880522276	4.548900682335102	2.852604298926657	3.288448870376077	0.0	0.0	0.0	4.895795494722178	3.2879547647982648	33.48335005392787	396.9288101906298	Llama-3.1-8B-Instruct/metamath/seed44	4.548900682335102	2.852604298926657	3.288448870376077	0.08435605880522276	-2.4727086432250953	-1.8292682926829258	4.548900682335102	2.587800369685766	7.799280819777124	72.01365187713311	13.993174061433455	88.13131313131312	11.574074074074069	84.92354740061162	4.434250764525993	58.01633140808604	14.479187412865969	71.2	4.199999999999992	75.1360174102285	7.236126224156692	68.27021494370523	2.6100307062436046	57.616416732438836	3.8674033149171283			
Llama-3.1-8B-Instruct	tulu	42	hns_f4_s1	HNS α=0 (4+1)	62.80487804878049	66.03487490523123	64.87985212569316	70.40657795092362	64.87985212569316	66.41544363497844	0.3283746945604283	/dataset1/zailong/runs/peft-sft-lab/hns-step-grid-2x4-20260912/adapters/Llama-3.1-8B-Instruct/tulu/hns_f4_s1	224	12.135856787880439	14.006147095819157	12.135856787880439	9.334432364385354	12.447332090206867	0.34679791469175913	0.8602379188126412	3.4311233874758056	0.0	2.084305661398389e-08	0.0	0.34679791469175913	0.12026879363455265	1.6635859519408527	2.5893394683786966	1.5795513189429968	0.0	0.0	0.0	12.135856787880439	9.334432364385354	158.000719004011	1313.729972914754	Llama-3.1-8B-Instruct/tulu/seed42	1.6635859519408527	2.5893394683786966	1.5795513189429968	0.12026879363455266	-2.118026094186739	-0.6097560975609753	9.24943138741471	1.6635859519408527	-0.8716568847176376	70.81911262798634	-1.0238907849829393	86.91077441077442	-1.0521885521885488	85.71865443425077	-0.03058103975535076	49.06393148775145	-1.3742282413861773	66.0	-3.599999999999992	79.76060935799782	-1.0337323177366686	69.65199590583418	-0.3582395087000978	55.327545382794	1.4996053670086718			
Llama-3.1-8B-Instruct	tulu	43	hns_f4_s1	HNS α=0 (4+1)	63.41463414634146	67.24791508718727	65.24953789279112	72.39501806149278	65.24953789279112	67.68585576500718	0	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Llama-3.1-8B-Instruct/seed43/hns_step_grid/adapters/Llama-3.1-8B-Instruct/tulu/hns_f4_s1	224	11.742778964261273	13.818829295964584	11.742778964261273	9.245814784647756	12.270509351987219	0.34629923142025526	0.856708929272187	3.3100020042744105	0.0	1.844166697129168e-08	0.0	0.34629923142025526	0.1199231576822595	2.402957486136785	0.1197115577202652	0	0.0	0.0	0	11.742778964261273	9.245814784647756	161.55650430401911	1347.1668644021915	Llama-3.1-8B-Instruct/tulu/seed43	2.402957486136785	0.1197115577202652	0	0.1199231576822595	-2.1209040939612533	-0.6097560975609824	2.3502653525398074	2.402957486136785	-1.3813745818180365	73.46416382252559	-3.1569965870307137	89.43602693602693	-1.1363636363636354	86.17737003058103	0.7033639143730896	54.06293567018522	-4.431388169687311	69.0	-3.8000000000000034	81.33841131664853	0.5440696409140355	69.95905834186284	-0.5629477993858711	55.722178374112076	0.7892659826361448			
Llama-3.1-8B-Instruct	tulu	44	hns_f4_s1	HNS α=0 (4+1)	62.80487804878049	64.0636846095527	64.87985212569316	71.7563346699031	64.87985212569316	66.2082991094121	0	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Llama-3.1-8B-Instruct/seed44/hns_step_grid/adapters/Llama-3.1-8B-Instruct/tulu/hns_f4_s1	224	11.266417711103593	13.613016275311576	11.266417711103593	8.65480189730593	12.01653997923533	0.3432288227838517	0.8547514303102044	3.6278984206633393	0.0	2.3532044979290845e-08	0.0	0.3432288227838517	0.11780602478958867	2.7726432532347545	0.5119839068709808	1.0108668182966885	0.0	0.0	0	11.266417711103593	8.65480189730593	160.65185431296317	1363.6981181556778	Llama-3.1-8B-Instruct/tulu/seed44	2.7726432532347545	0.5119839068709808	1.0108668182966885	0.11780602478958865	-2.1387158648484594	-1.2195121951219576	4.700530705079608	2.7726432532347545	-1.9450667893446933	72.86689419795222	-3.498293515358364	88.93097643097643	-1.557239057239057	85.77981651376146	-0.7339449541284404	50.51782513443537	-6.871141206930897	69.19999999999999	-4.600000000000004	81.12078346028292	-0.43525571273123065	69.75435005117707	-0.15353121801433556	55.88003157063931	2.2888713496448387			
Qwen3-8B	magicoder	42	scalar_e		75.60975609756098	89.53752843062927	71.71903881700554	83.68795025503347	75.60975609756098	81.64817250088942	0.0	/dataset1/zailong/workspace/peft-sft-lab/reports/hns_energy_matched_20260914/adapters/Qwen3-8B/magicoder/seed42/scalar_e																					1.0449776158868043	1.0358672138800054	56.61299533267069	2844.937423077745	Qwen3-8B/magicoder/seed42	10.36585365853658	3.850329670779743	1.9004202758208966	0.019899557323628206	-3.917057792542924	10.36585365853658	5.610310841546635	5.914972273567457	0.025705897225151375	88.39590443686008	-2.0477815699658675	95.74915824915826	-1.1363636363636354	87.37003058103976	-0.18348623853210455	84.61461860187214	0.6871141206930886	84.2	-0.8000000000000007	87.86724700761698	1.4145810663764968	75.63971340839304	0.61412487205732	65.66692975532754	1.6574585635359074	7.519320270099605e-06	6.661338147750939e-16	
Qwen3-8B	metamath	42	scalar_e		65.2439024390244	86.9598180439727	70.42513863216267	84.47082595303137	86.9598180439727	73.37995567473946	0.4065040650406502	/dataset1/zailong/workspace/peft-sft-lab/reports/hns_energy_matched_20260914/adapters/Qwen3-8B/metamath/seed42/scalar_e																					1.3149124913538814	1.2461303493884004	1002.3031001522105	21830.572889064293	Qwen3-8B/metamath/seed42	2.8051554207733034	2.0868786790682066	1.3923327773018979	0.04591281709580327	-3.081010961335763	1.2195121951219505	2.8051554207733034	3.696857670979682	1.3442661711030297	90.44368600682594	2.3037542662116106	96.67508417508418	0.5892255892255949	88.2262996941896	-0.3058103975535187	84.82374029077873	1.7327225652260525	85.8	1.4000000000000012	87.59521218715996	2.176278563656142	75.5885363357216	1.279426816786089	66.61404893449092	1.5785319652722896	7.863672246699593e-08	6.661338147750939e-16	5.236131702002211e-06
