cohort	group	feature	outcome	n_checkpoints	n_defined	mean_rho	ci_low	ci_high	positive	zero	negative
A_all_versions	task/magicoder	log_energy_ratio	gain_piqa	6	6	0.4063520081580913	-0.0012942126396273679	0.7607867908794784	5	0	1
A_all_versions	task/metamath	log_energy_ratio	gain_piqa	6	6	-0.7622732790247785	-0.9294456913353567	-0.5398654555393755	0	0	6
A_all_versions	task/tulu	log_energy_ratio	gain_piqa	6	6	0.4213321408723499	0.13123575759207465	0.7602741381929432	6	0	0
A_all_versions	base/Qwen3-8B	log_energy_ratio	gain_siqa	9	9	0.10065608610659932	-0.32816333915405077	0.45780045081468973	6	0	3
A_all_versions	base/Llama-3.1-8B-Instruct	log_energy_ratio	gain_siqa	9	9	0.2556934361329865	-0.21697509271649593	0.679750366489472	6	0	3
A_all_versions	task/magicoder	log_energy_ratio	gain_siqa	6	6	0.695005548404252	0.37254215696563514	0.9239742408420234	5	0	1
A_all_versions	task/metamath	log_energy_ratio	gain_siqa	6	6	-0.38111304064174806	-0.8383587314625552	0.1665108592132101	2	0	4
A_all_versions	task/tulu	log_energy_ratio	gain_siqa	6	6	0.22063177559687466	-0.10932845252489781	0.49908381161666465	5	0	1
A_all_versions	base/Qwen3-8B	log_energy_ratio	gain_winogrande	9	9	0.33620927509066184	0.11518710193897003	0.5671285009555527	8	0	1
A_all_versions	base/Llama-3.1-8B-Instruct	log_energy_ratio	gain_winogrande	9	9	-0.6107253102405051	-0.7857967818194788	-0.4173802855913001	0	0	9
A_all_versions	task/magicoder	log_energy_ratio	gain_winogrande	6	6	-0.14215895774449813	-0.5101399770027055	0.1961408912615612	3	0	3
A_all_versions	task/metamath	log_energy_ratio	gain_winogrande	6	6	-0.23114040153180473	-0.6057255135826933	0.20274419193740653	3	0	3
A_all_versions	task/tulu	log_energy_ratio	gain_winogrande	6	6	-0.03847469344846183	-0.5827041817613525	0.5298032943381258	2	0	4
A_all_versions	base/Qwen3-8B	raw_fpr	target_gain	9	9	0.26424785171158083	-0.02736230143065423	0.5551342737540282	6	0	3
A_all_versions	base/Llama-3.1-8B-Instruct	raw_fpr	target_gain	9	9	0.3323607314553578	-0.024230621422253306	0.6618670535681364	7	0	2
A_all_versions	task/magicoder	raw_fpr	target_gain	6	6	-0.2925558357431714	-0.5489592787071289	-0.04015707013089685	1	0	5
A_all_versions	task/metamath	raw_fpr	target_gain	6	6	0.711210682727096	0.5288625881065184	0.8690989278680398	6	0	0
A_all_versions	task/tulu	raw_fpr	target_gain	6	6	0.47625802776648335	0.31370879031616644	0.6357769621864973	6	0	0
