cohort	checkpoint	feature	outcome	spearman	n_arms
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed44	raw_fpr	off_gain	-0.2882999880625789	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed42	raw_fpr	off_gain	0.3783937343321348	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed43	raw_fpr	off_gain	0.30631873731649006	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed44	raw_fpr	off_gain	0.10811249552346709	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed42	raw_fpr	off_gain	-0.2882999880625789	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed43	raw_fpr	off_gain	-0.5585812268712466	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed44	raw_fpr	off_gain	-0.6486749731408026	7
A_all_versions	Qwen3-8B/magicoder/seed42	raw_fpr	off_gain	-0.36037498507822363	7
A_all_versions	Qwen3-8B/magicoder/seed43	raw_fpr	off_gain	-0.14414999403128945	7
A_all_versions	Qwen3-8B/magicoder/seed44	raw_fpr	off_gain	-0.25226248955475655	7
A_all_versions	Qwen3-8B/metamath/seed42	raw_fpr	off_gain	0.9549937104572925	7
A_all_versions	Qwen3-8B/metamath/seed43	raw_fpr	off_gain	0.9549937104572925	7
A_all_versions	Qwen3-8B/metamath/seed44	raw_fpr	off_gain	0.7387687194103585	7
A_all_versions	Qwen3-8B/tulu/seed42	raw_fpr	off_gain	-0.21622499104693418	7
A_all_versions	Qwen3-8B/tulu/seed43	raw_fpr	off_gain	-0.9189562119494703	7
A_all_versions	Qwen3-8B/tulu/seed44	raw_fpr	off_gain	-0.5405624776173354	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed42	full_moment_pr	off_gain	0.3783937343321348	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed43	full_moment_pr	off_gain	-0.09009374626955591	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed44	full_moment_pr	off_gain	-0.2882999880625789	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed42	full_moment_pr	off_gain	0.3783937343321348	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed43	full_moment_pr	off_gain	0.23424374030084535	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed44	full_moment_pr	off_gain	0.18018749253911182	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed42	full_moment_pr	off_gain	-0.2882999880625789	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed43	full_moment_pr	off_gain	-0.594618725379069	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed44	full_moment_pr	off_gain	-0.6847124716486249	7
A_all_versions	Qwen3-8B/magicoder/seed42	full_moment_pr	off_gain	-0.36037498507822363	7
A_all_versions	Qwen3-8B/magicoder/seed43	full_moment_pr	off_gain	-0.14414999403128945	7
A_all_versions	Qwen3-8B/magicoder/seed44	full_moment_pr	off_gain	-0.21622499104693418	7
A_all_versions	Qwen3-8B/metamath/seed42	full_moment_pr	off_gain	0.9549937104572925	7
A_all_versions	Qwen3-8B/metamath/seed43	full_moment_pr	off_gain	0.9910312089651149	7
A_all_versions	Qwen3-8B/metamath/seed44	full_moment_pr	off_gain	0.6666937223947137	7
A_all_versions	Qwen3-8B/tulu/seed42	full_moment_pr	off_gain	-0.21622499104693418	7
A_all_versions	Qwen3-8B/tulu/seed43	full_moment_pr	off_gain	-0.8468812149338255	7
A_all_versions	Qwen3-8B/tulu/seed44	full_moment_pr	off_gain	-0.5405624776173354	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed42	log_energy_ratio	fg_reduction	-0.2594372608313854	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed43	log_energy_ratio	fg_reduction	-0.9265616458263766	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed44	log_energy_ratio	fg_reduction	-0.9349469900084572	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed42	log_energy_ratio	fg_reduction	-0.6671243849949912	7
