checkpoint	method	role	recovery_rate	recovery_rate_defined	retention_rate	retention_rate_defined	new_success_rate	new_success_rate_defined	new_damage_rate	new_damage_rate_defined	new_success_conditional_rate	new_success_conditional_rate_defined	new_damage_conditional_rate	new_damage_conditional_rate_defined	n_units	samples	recovery_set_size	retention_set_size	new_success_set_size	new_damage_set_size	recovered	retained	new_success	new_damage
Llama-3.1-8B-Instruct/metamath/seed43	scalar_e	target	0.6260162601626016	1	0.8310344827586207	1	0.0401819560272934	1	0.024260803639120546	1	0.25728155339805825	1	0.045714285714285714	1	1	1319	123	290	206	700	77	241	53	32
Llama-3.1-8B-Instruct/metamath/seed43	scalar_e	off_task	0.6143551075761101	3	0.5487969271005632	3	0.026936871113061506	3	0.01907841948428629	3	0.08925369969851354	3	0.04036458037395333	3	3	23124	3028	886	6735	12475	2069	539	545	200
Llama-3.1-8B-Instruct/metamath/seed43	flat_e	all	0.6061915997726463	4	0.5789065666582397	4	0.029756578271211316	4	0.02369759317363543	4	0.13106435883263995	4	0.05124646749930905	4	4	24443	3151	1176	6941	13175	2275	788	729	203
Llama-3.1-8B-Instruct/metamath/seed43	flat_e	target	0.5365853658536586	1	0.8448275862068966	1	0.04245640636846096	1	0.02880970432145565	1	0.27184466019417475	1	0.054285714285714284	1	1	1319	123	290	206	700	66	245	56	38
Llama-3.1-8B-Instruct/metamath/seed43	flat_e	off_task	0.6293936777456421	3	0.4902662268086874	3	0.02552330223879477	3	0.021993556124362018	3	0.08413759171212835	3	0.05023338523717397	3	3	23124	3028	886	6735	12475	2209	543	673	165
Llama-3.1-8B-Instruct/metamath/seed44	hns_f4_s1	all	0.6040953530712687	4	0.601092586115848	4	0.0267208944386567	4	0.01908206875720344	4	0.12265570281315628	4	0.03904014517712592	4	4	24443	3139	1257	6860	13187	2283	826	713	202
Llama-3.1-8B-Instruct/metamath/seed44	hns_f4_s1	target	0.6507936507936508	1	0.8526315789473684	1	0.043214556482183475	1	0.028051554207733132	1	0.27014218009478674	1	0.05308464849354376	1	1	1319	126	285	211	697	82	243	57	37
Llama-3.1-8B-Instruct/metamath/seed44	hns_f4_s1	off_task	0.5885292538304747	3	0.517246255172008	3	0.02122300709081444	3	0.016092240273693537	3	0.07349354371927948	3	0.03435864407165332	3	3	23124	3013	972	6649	12490	2201	583	656	165
Llama-3.1-8B-Instruct/metamath/seed44	scalar_e	all	0.6221068703084404	4	0.6195477248652183	4	0.02735051793867445	4	0.02080004899498473	4	0.12461127745012954	4	0.042376748304084666	4	4	24443	3139	1257	6860	13187	2192	808	598	231
Llama-3.1-8B-Instruct/metamath/seed44	scalar_e	target	0.6428571428571429	1	0.8350877192982457	1	0.04397270659590599	1	0.02577710386656558	1	0.27488151658767773	1	0.04878048780487805	1	1	1319	126	285	211	697	81	238	58	34
Llama-3.1-8B-Instruct/metamath/seed44	scalar_e	off_task	0.6151901127922063	3	0.5477010600542092	3	0.021809788386263934	3	0.019141030704457777	3	0.07452119773761348	3	0.040242168470486867	3	3	23124	3013	972	6649	12490	2111	570	540	197
Llama-3.1-8B-Instruct/metamath/seed44	flat_e	all	0.5921975103600942	4	0.6062265146326888	4	0.026973378881256293	4	0.023252600229101597	4	0.12270791025001325	4	0.048518999525763995	4	4	24443	3139	1257	6860	13187	2284	830	711	209
Llama-3.1-8B-Instruct/metamath/seed44	flat_e	target	0.6349206349206349	1	0.8456140350877193	1	0.04245640636846096	1	0.025018953752843062	1	0.26540284360189575	1	0.047345767575322814	1	1	1319	126	285	211	697	80	241	56	33
Llama-3.1-8B-Instruct/metamath/seed44	flat_e	off_task	0.5779564688399139	3	0.526430674481012	3	0.021812369718854738	3	0.02266381572118778	3	0.0751429324660524	3	0.04891007684257772	3	3	23124	3013	972	6649	12490	2204	589	655	176
Llama-3.1-8B-Instruct/tulu/seed42	hns_f4_s1	all	0.4779412643525336	4	0.7077502440984251	4	0.023293740867564337	4	0.019126278098436318	4	0.0831379577088088	4	0.03792926683045748	4	4	24443	2037	1590	6527	14289	569	1075	128	253
Llama-3.1-8B-Instruct/tulu/seed42	hns_f4_s1	target	0.5	1	0.6833333333333333	1	0.029574861367837338	1	0.027726432532347505	1	0.1103448275862069	1	0.05319148936170213	1	1	541	54	60	145	282	27	41	16	15
Llama-3.1-8B-Instruct/tulu/seed42	hns_f4_s1	off_task	0.47058835247004477	3	0.7158892143534558	3	0.021200034034140003	3	0.016259559953799255	3	0.07406900108300944	3	0.032841859320042584	3	3	23902	1983	1530	6382	14007	542	1034	112	238
Llama-3.1-8B-Instruct/tulu/seed42	scalar_e	all	0.5261958861738276	4	0.7065014729517125	4	0.024724248222076032	4	0.021876701029325946	4	0.08824646270495046	4	0.043370039095258814	4	4	24443	2037	1590	6527	14289	508	916	144	561
Llama-3.1-8B-Instruct/tulu/seed42	scalar_e	target	0.6296296296296297	1	0.7166666666666667	1	0.025878003696857672	1	0.025878003696857672	1	0.09655172413793103	1	0.04964539007092199	1	1	541	54	60	145	282	34	43	14	14
Llama-3.1-8B-Instruct/tulu/seed42	scalar_e	off_task	0.4917179716885603	3	0.7031130750467277	3	0.02433966306381549	3	0.02054293347348204	3	0.08547804222729026	3	0.04127825543670442	3	3	23902	1983	1530	6382	14007	474	873	130	547
Llama-3.1-8B-Instruct/tulu/seed42	flat_e	all	0.4789159821792022	4	0.7011339083403116	4	0.02197367000191982	4	0.020407718891377175	4	0.07827680177991726	4	0.04077332292469653	4	4	24443	2037	1590	6527	14289	568	1068	121	258
