group	comparison	outcome	n_checkpoints	mean_difference	ci_low	ci_high	uncertainty
source/tulu	hns_f4_s1 minus scalar_e	off_score	6	0.05772473304356396	-0.5924231030939885	0.6875282079194728	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/tulu	hns_f4_s1 minus scalar_e	forgetting_gap	6	-0.0593168183395297	-0.1779504550185891	0.0	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/tulu	hns_f4_s1 minus flat_e	target	6	0.1540357362908177	-0.585335797905112	0.9242144177449111	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/tulu	hns_f4_s1 minus flat_e	off_score	6	0.1627089582394395	0.015856694645331498	0.3095612218335475	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/tulu	hns_f4_s1 minus flat_e	forgetting_gap	6	0.001313050871652242	0.0	0.003939152614956726	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/tulu	scalar_e minus flat_e	target	6	0.3080714725816378	-1.0174060382008652	1.694393099199014	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/tulu	scalar_e minus flat_e	off_score	6	0.10498422519587554	-0.5817155157421231	0.8209109968200655	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/tulu	scalar_e minus flat_e	forgetting_gap	6	0.06062986921118194	0.0	0.1818896076335458	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/magicoder	hns_f4_s1 minus scalar_e	target	3	-2.032520325203251	-3.0487804878048763	-0.6097560975609753	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/magicoder	hns_f4_s1 minus scalar_e	off_score	3	-0.10363647592124892	-0.3561927405014558	0.36028103252246524	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/magicoder	hns_f4_s1 minus scalar_e	forgetting_gap	3	0.0	0.0	0.0	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/magicoder	hns_f4_s1 minus flat_e	target	3	-0.6097560975609753	-0.6097560975609753	-0.6097560975609753	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/magicoder	hns_f4_s1 minus flat_e	off_score	3	0.0832844585037833	-0.071511784568429	0.35618906994716326	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/magicoder	hns_f4_s1 minus flat_e	forgetting_gap	3	0.0	0.0	0.0	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/magicoder	scalar_e minus flat_e	target	3	1.4227642276422756	0.0	2.439024390243901	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/magicoder	scalar_e minus flat_e	off_score	3	0.18692093442503221	-0.004091962575301977	0.3213688306340714	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/magicoder	scalar_e minus flat_e	forgetting_gap	3	0.0	0.0	0.0	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/metamath	hns_f4_s1 minus scalar_e	target	3	1.2888551933282788	0.6823351023502653	1.9711902956785394	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/metamath	hns_f4_s1 minus scalar_e	off_score	3	1.7312568346738952	1.3915800115172061	2.2617379909076476	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/metamath	hns_f4_s1 minus scalar_e	forgetting_gap	3	-0.474254742547426	-1.0162601626016279	0.0	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/metamath	hns_f4_s1 minus flat_e	target	3	-0.27798837503159746	-0.5307050796057666	-0.07581501137225644	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/metamath	hns_f4_s1 minus flat_e	off_score	3	0.21622696930577945	-0.21741898433184303	0.7488583402982698	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/metamath	hns_f4_s1 minus flat_e	forgetting_gap	3	0.0	0.0	0.0	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/metamath	scalar_e minus flat_e	target	3	-1.5668435683598763	-2.1986353297953087	-1.213040181956032	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/metamath	scalar_e minus flat_e	off_score	3	-1.5150298653681158	-2.144496438956736	-0.791594161298562	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/metamath	scalar_e minus flat_e	forgetting_gap	3	0.474254742547426	0.0	1.0162601626016279	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/tulu	hns_f4_s1 minus scalar_e	target	3	-0.6777572396796074	-2.218114602587818	0.7393715341959393	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/tulu	hns_f4_s1 minus scalar_e	off_score	3	0.4220180874039651	-0.5262913570663841	1.2322048174525833	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/tulu	hns_f4_s1 minus scalar_e	forgetting_gap	3	0.0	0.0	0.0	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/tulu	hns_f4_s1 minus flat_e	target	3	-0.2464571780653131	-1.293900184842883	0.9242144177449063	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/tulu	hns_f4_s1 minus flat_e	off_score	3	0.17652549085391436	0.05498706144311427	0.34464926483870784	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/tulu	hns_f4_s1 minus flat_e	forgetting_gap	3	0.0	0.0	0.0	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/tulu	scalar_e minus flat_e	target	3	0.43130006161429435	-2.0332717190388223	3.142329020332724	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/tulu	scalar_e minus flat_e	off_score	3	-0.24549259655005073	-1.177217756009469	0.6562315033463051	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Qwen3-8B/tulu	scalar_e minus flat_e	forgetting_gap	3	0.0	0.0	0.0	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/magicoder	hns_f4_s1 minus scalar_e	target	3	-3.2520325203251965	-6.0975609756097455	-1.2195121951219505	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/magicoder	hns_f4_s1 minus scalar_e	off_score	3	-0.3130227036168094	-0.46984931532117	-0.10881524101687035	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/magicoder	hns_f4_s1 minus scalar_e	forgetting_gap	3	0.10489054689672546	0.006600168108541027	0.18484288354898126	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/magicoder	hns_f4_s1 minus flat_e	target	3	-0.6097560975609729	-2.439024390243894	1.8292682926829258	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/magicoder	hns_f4_s1 minus flat_e	off_score	3	0.14386392700165138	-0.07766947528938317	0.4250569839206122	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/magicoder	hns_f4_s1 minus flat_e	forgetting_gap	3	0.07420571940297949	-0.1470686088890265	0.36968576709796497	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/magicoder	scalar_e minus flat_e	target	3	2.642276422764224	0.0	4.878048780487795	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/magicoder	scalar_e minus flat_e	off_score	3	0.45688663061846074	0.031145765727487174	0.785460538433	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/magicoder	scalar_e minus flat_e	forgetting_gap	3	-0.030684827493745976	-0.18484288354898126	0.24645717806531087	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/metamath	hns_f4_s1 minus scalar_e	target	3	0.6065200909780136	-0.37907505686125376	2.047005307050796	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/metamath	hns_f4_s1 minus scalar_e	off_score	3	0.501310708700809	-0.5528689531972617	2.5722557781793185	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/metamath	hns_f4_s1 minus scalar_e	forgetting_gap	3	-0.5955382828393504	-0.946239518016713	-0.34764361468820465	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/metamath	hns_f4_s1 minus flat_e	target	3	0.05054334091484236	-0.3032600454889973	0.37907505686126797	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/metamath	hns_f4_s1 minus flat_e	off_score	3	0.5834920377464812	0.4458464478337376	0.7466589331483746	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/metamath	hns_f4_s1 minus flat_e	forgetting_gap	3	-0.38651661526377507	-0.543406900628052	-0.24645717806531073	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
