base	task	seed	module	gain	storage_roundoff_common_gain	effective_common_gain	saved_hns_fro_relative_error	functional_energy_over_hns	source_basis_sha256	nuclear_ratio
Qwen3-8B	magicoder	42	base_model.model.model.layers.12.self_attn.o_proj	0.5828061570688332	1.0000025959493442	0.5828076700040944	8.251027487915508e-07	8.433499814019008	7e8f7e9747c288b1dc916e15d844806c4bf8cf9c9d56ba2fc70489fc7ec8e266	0.5828061570688332
Qwen3-8B	magicoder	42	base_model.model.model.layers.12.self_attn.q_proj	0.6963660201516971	1.0000001048184894	0.6963660931437314	2.895015749349028e-07	7.900605253849537	d6f9a459c6c881b9c9db467c4d2cf3a0270785ca24895d5ed37449f78f22ce08	0.6963660201516971
Qwen3-8B	magicoder	42	base_model.model.model.layers.12.self_attn.v_proj	0.42807274573844	1.0000010426664088	0.4280731920755125	4.949131873210888e-07	11.898626393321381	5f1e48b1d1e357cb56d901f0c5f12ce6f9a61b59c639d81bf6300e407536e599	0.42807274573844
Qwen3-8B	magicoder	42	base_model.model.model.layers.13.mlp.down_proj	0.5563303646543843	0.9999995106753813	0.5563300924282408	7.635079426471236e-07	5.4880573618315225	3709318fa699d139b99cdf64fd9e2fa707d309b57b36596be08ab92abe068ab2	0.5563303646543843
Qwen3-8B	magicoder	42	base_model.model.model.layers.13.mlp.gate_proj	0.7174663156250519	1.0000014828850676	0.7174673795451378	9.79296044700817e-07	5.151468403061339	84f3a9c39cf542829f7a60160c0a63385330d537d928d5fd4c7cac5cbf359aeb	0.717466315625052
Qwen3-8B	magicoder	42	base_model.model.model.layers.13.mlp.up_proj	0.6646174812281845	1.0000011089006757	0.6646182182229585	8.096951851221945e-07	6.231381714538964	82d3b68c1c6ada61c42fdf885ff14ded19394de72ea3a6dfaca4037112802ec1	0.6646174812281844
Qwen3-8B	magicoder	42	base_model.model.model.layers.13.self_attn.k_proj	0.8023025258567247	0.9999988883311355	0.8023016339619867	4.1510697013080744e-07	4.268045329233756	ec301fee9fca0fe70837d1c8dd1f3915468df2c54c4d2dc298a8926437aee8d3	0.8023025258567247
Qwen3-8B	magicoder	42	base_model.model.model.layers.13.self_attn.o_proj	0.6937066819145467	1.0000010124280652	0.6937073842426604	1.2749240838605402e-06	5.0061486579973655	334cb3c0532e7d9e5ee6c629de27968da5287ea9f0ca0c48fdf8d78d02309d80	0.6937066819145468
Qwen3-8B	magicoder	42	base_model.model.model.layers.13.self_attn.q_proj	0.731284075614688	1.000001603946654	0.7312852485553342	7.825270256223149e-07	6.570570147624931	eb8d35503ac196509240d0a727b076abb26e883f5d66626261b96fc85696a852	0.731284075614688
Qwen3-8B	magicoder	42	base_model.model.model.layers.13.self_attn.v_proj	0.5285922443578671	1.0000005584911609	0.5285925395719633	8.518989991213033e-07	10.034350827220948	80c332bdbf03a7db7d7fbddcc368c87670670c2a0f170603733c759a4a7cb905	0.5285922443578671
Qwen3-8B	magicoder	42	base_model.model.model.layers.14.mlp.down_proj	0.5660926247663293	1.0000002179010579	0.5660927481185111	7.483356121440465e-07	5.614500057498374	6415bd07bb06406d66fefb428886d014a056f1542b302d25e56494d1e4067c12	0.5660926247663294
Qwen3-8B	magicoder	42	base_model.model.model.layers.14.mlp.gate_proj	0.7348525087354724	1.0000006054078001	0.7348529536209131	6.79806469117139e-07	4.724035344839986	f3925f9a2e8dbced2810cc9f7c9f276ce79baf5422d9231a70d6c08d0821cd05	0.7348525087354725
Qwen3-8B	magicoder	42	base_model.model.model.layers.14.mlp.up_proj	0.7096858987566815	1.000002125303267	0.7096874070544407	1.2354232810096732e-06	5.391631897704853	1c70e97577e291b844e44bbf791f96a3934c87758cea16c6ce5f55ac2626a2c0	0.7096858987566815
Qwen3-8B	magicoder	42	base_model.model.model.layers.14.self_attn.k_proj	0.8138663667805801	1.000000699121294	0.8138669357718876	5.060194150363628e-07	3.107731619966584	16386a060834e89b4eac8af9632ff319c61165b5cbdfe043f141028a093f6d49	0.8138663667805802
Qwen3-8B	magicoder	42	base_model.model.model.layers.14.self_attn.o_proj	0.7230442213470483	0.999999623213249	0.7230439489135653	6.87629864826178e-07	4.587623716965067	8451d01e6056954c48edb0353f611fa97ebcb814f3f6402282c70a6dca3d7c81	0.7230442213470484
Qwen3-8B	magicoder	42	base_model.model.model.layers.14.self_attn.q_proj	0.7058560322921217	0.9999982548198103	0.7058548004461573	3.338757313953167e-07	6.877801778300654	ce94b3571ac2faf01dd3df2440439ce1bc59735b6d6c9d74810449675d71fa8d	0.7058560322921217
Qwen3-8B	magicoder	42	base_model.model.model.layers.14.self_attn.v_proj	0.6015034947626295	0.9999995512156694	0.6015032248172864	5.439109374005824e-07	8.87814747523398	48bce0f452d2582d3a8546977d158c914f356a7e5d44fda17cef1d9a7adad739	0.6015034947626295
Qwen3-8B	magicoder	42	base_model.model.model.layers.15.mlp.down_proj	0.5805716027684207	1.0	0.5805716027684207	2.3598617060471838e-07	5.129740737308458	0e4561fb07e4b9242882b3b55836abce5669c49b2082e36d8ce8919aea41d3b6	0.5805716027684208
Qwen3-8B	magicoder	42	base_model.model.model.layers.15.mlp.gate_proj	0.6770302921913193	1.0000021034784183	0.6770317163099274	1.0091550102231395e-06	5.826475113992433	493ab2bf1548f2a0a16f4ca3fdff387990627a6f1bb56daf1f3be67fcae8e47e	0.6770302921913193
Qwen3-8B	magicoder	42	base_model.model.model.layers.15.mlp.up_proj	0.682806166811955	1.0000026484029598	0.6828079751578282	1.1287016827843388e-06	5.93536356499622	8d6e2cc2694892b8389ca4353836d2866dee45a8cd3c424f2e161844ba535042	0.682806166811955
Qwen3-8B	magicoder	42	base_model.model.model.layers.15.self_attn.k_proj	0.7547173573137702	1.0000028174819746	0.7547194837163204	1.8053269179585385e-06	5.056147392778658	3d0f9b0fc65825c11f64f3936f834cc6be8d9220a2e507dc52d7e67556581459	0.7547173573137701
