group	comparison	metric	n_checkpoints	n_defined	mean_difference	ci_low	ci_high	uncertainty
benchmark/arc_challenge	hns_f4_s1 minus scalar_e	new_success_rate	18	18	0.0017538869927948425	0.000521425862722791	0.0030811528251801293	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_challenge	hns_f4_s1 minus scalar_e	new_damage_rate	18	18	-0.0014694728858551385	-0.003461556693211983	0.0003318164580963214	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_challenge	hns_f4_s1 minus flat_e	recovery_rate	18	18	0.0012439097855585408	-0.004448304236439844	0.0089538394508232	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_challenge	hns_f4_s1 minus flat_e	retention_rate	18	18	-0.0038066098326817086	-0.012008820716493288	0.003980851392293102	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_challenge	hns_f4_s1 minus flat_e	new_success_rate	18	18	-0.00018960940462646922	-0.0006162305650360254	0.0002844141069397043	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_challenge	hns_f4_s1 minus flat_e	new_damage_rate	18	18	-9.480470231323479e-05	-0.0004740235115661741	0.0003792188092529389	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_challenge	scalar_e minus flat_e	recovery_rate	18	18	-0.02422480450588265	-0.061829810858572885	0.011332546277560484	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_challenge	scalar_e minus flat_e	retention_rate	18	18	-0.005475029091236501	-0.03709386216176674	0.022333263739113568	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_challenge	scalar_e minus flat_e	new_success_rate	18	18	-0.0019434963974213116	-0.0034141543420553658	-0.0006162305650360254	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_challenge	scalar_e minus flat_e	new_damage_rate	18	18	0.0013746681835419038	-0.00037921880925293887	0.0035551763367463025	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_easy	hns_f4_s1 minus scalar_e	recovery_rate	18	18	0.012739121567543005	-0.029130457396378272	0.05872873825715578	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_easy	hns_f4_s1 minus scalar_e	retention_rate	18	18	0.00440692595824791	-0.00981384454930419	0.018139976511701336	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_easy	hns_f4_s1 minus scalar_e	new_success_rate	18	18	0.0005377852600074823	0.000163673774784886	0.0009820426487093152	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_easy	hns_f4_s1 minus scalar_e	new_damage_rate	18	18	-0.000771604938271605	-0.0017542321361765805	0.0001402918069584736	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_easy	hns_f4_s1 minus flat_e	recovery_rate	18	18	0.006277188737949132	0.0009909973164067432	0.012750177862802275	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_easy	hns_f4_s1 minus flat_e	retention_rate	18	18	0.0028443929078280825	-0.0035120207887885447	0.008436376927868925	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_easy	hns_f4_s1 minus flat_e	new_success_rate	18	18	2.3381967826412273e-05	-0.0001870557426112982	0.0002338196782641228	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_easy	hns_f4_s1 minus flat_e	new_damage_rate	18	18	-0.0001402918069584736	-0.00037411148522259626	9.352787130564909e-05	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_easy	scalar_e minus flat_e	recovery_rate	18	18	-0.0064619328295938755	-0.0518976147639889	0.035524036113706275	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_easy	scalar_e minus flat_e	retention_rate	18	18	-0.0015625330504198274	-0.015790231964821596	0.013646618527942874	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_easy	scalar_e minus flat_e	new_success_rate	18	18	-0.0005144032921810699	-0.0008885147774036665	-0.00016367377478488588	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_easy	scalar_e minus flat_e	new_damage_rate	18	18	0.0006313131313131314	-0.00021043771043771043	0.00154320987654321	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/boolq	hns_f4_s1 minus scalar_e	recovery_rate	18	18	0.02142400477239133	-0.02514726320216418	0.0630619832502521	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/boolq	hns_f4_s1 minus scalar_e	retention_rate	18	18	-0.03232624747211064	-0.06648221455129615	0.00495476474218684	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/boolq	hns_f4_s1 minus scalar_e	new_success_rate	18	18	6.795786612300367e-05	-0.0003397893306150187	0.0005096839959225279	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/boolq	hns_f4_s1 minus scalar_e	new_damage_rate	18	18	0.0004247366632687734	-0.0002378525314305129	0.00108732585796806	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/boolq	hns_f4_s1 minus flat_e	recovery_rate	18	18	0.008797327218602586	-0.0007697935268110603	0.01867269799196464	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/boolq	hns_f4_s1 minus flat_e	retention_rate	18	18	-0.007292129025282009	-0.015654624755362397	0.001694044659215533	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/boolq	hns_f4_s1 minus flat_e	new_success_rate	18	18	5.0968399592252744e-05	-0.0001189262657152566	0.000254841997961264	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/boolq	hns_f4_s1 minus flat_e	new_damage_rate	18	18	8.494733265375479e-05	-0.0002552667346245329	0.00047570506286102627	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/boolq	scalar_e minus flat_e	recovery_rate	18	18	-0.012626677553788747	-0.052225557008522515	0.03203782627008763	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/boolq	scalar_e minus flat_e	retention_rate	18	18	0.025034118446828634	-0.012442543482726658	0.060954075996115326	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/boolq	scalar_e minus flat_e	new_success_rate	18	18	-1.6989466530750903e-05	-0.0003567787971457696	0.0003567787971457695	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/boolq	scalar_e minus flat_e	new_damage_rate	18	18	-0.00033978933061501855	-0.0011722731906218143	0.0003058103975535169	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/hellaswag	hns_f4_s1 minus scalar_e	recovery_rate	18	18	0.0317932542281208	0.011609377082220021	0.05418904631173445	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/hellaswag	hns_f4_s1 minus scalar_e	retention_rate	18	18	-0.005234900512006874	-0.026633907909907554	0.02239211079990343	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/hellaswag	hns_f4_s1 minus scalar_e	new_success_rate	18	18	0.0033415211666556026	0.0008962358095996816	0.0061192989444333774	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/hellaswag	hns_f4_s1 minus scalar_e	new_damage_rate	18	18	-0.001023479165283586	-0.004493626767576179	0.0012947011440837368	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/hellaswag	hns_f4_s1 minus flat_e	recovery_rate	18	18	0.003267536765567796	-0.0007847585106519389	0.007251188214439749	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/hellaswag	hns_f4_s1 minus flat_e	retention_rate	18	18	0.00021789771749885746	-0.003684282011570249	0.004672487786868266	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/hellaswag	hns_f4_s1 minus flat_e	new_success_rate	18	18	0.00022129279249374825	1.1064639624687235e-05	0.00045918254442452796	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/hellaswag	hns_f4_s1 minus flat_e	new_damage_rate	18	18	1.1064639624687402e-05	-0.00018256655380734254	0.00019363119343203018	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/hellaswag	scalar_e minus flat_e	recovery_rate	18	18	-0.028525717462552995	-0.0519970712820098	-0.009961767011115556	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/hellaswag	scalar_e minus flat_e	retention_rate	18	18	0.005452798229505732	-0.021010830741842394	0.026648304994347505	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/hellaswag	scalar_e minus flat_e	new_success_rate	18	18	-0.003120228374161854	-0.005759283232645113	-0.0008407743034809365	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/hellaswag	scalar_e minus flat_e	new_damage_rate	18	18	0.0010345438049082735	-0.0011674577883998324	0.004636913850715877	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/openbookqa	hns_f4_s1 minus scalar_e	recovery_rate	18	18	0.004169762850318405	-0.025009891407460846	0.03545970008643617	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/openbookqa	hns_f4_s1 minus scalar_e	retention_rate	18	18	-0.02392213733468219	-0.05930216091020063	0.017335853468378327	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/openbookqa	hns_f4_s1 minus scalar_e	new_success_rate	18	18	-0.00011111111111111102	-0.0016666666666666666	0.0014444444444444446	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/openbookqa	hns_f4_s1 minus scalar_e	new_damage_rate	18	18	0.0005555555555555556	-0.0005555555555555556	0.0015555555555555557	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/openbookqa	hns_f4_s1 minus flat_e	recovery_rate	18	18	-0.008536139786139787	-0.031009493978243985	0.012442360879860856	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/openbookqa	hns_f4_s1 minus flat_e	retention_rate	18	18	-0.011578100354360861	-0.028651542201962362	0.004229593935476288	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/openbookqa	hns_f4_s1 minus flat_e	new_success_rate	18	18	0.0006666666666666666	-0.00011388888888888873	0.0014444444444444446	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/openbookqa	hns_f4_s1 minus flat_e	new_damage_rate	18	18	0.00044444444444444447	0.00011111111111111112	0.0008888888888888889	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/openbookqa	scalar_e minus flat_e	recovery_rate	18	18	-0.012705902636458192	-0.03878908899742232	0.01141524852462352	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/openbookqa	scalar_e minus flat_e	retention_rate	18	18	0.01234403698032133	-0.023372868125607807	0.0486055792577443	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/openbookqa	scalar_e minus flat_e	new_success_rate	18	18	0.0007777777777777778	-0.0007777777777777778	0.0025555555555555557	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/openbookqa	scalar_e minus flat_e	new_damage_rate	18	18	-0.00011111111111111112	-0.0012222222222222222	0.001	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/piqa	hns_f4_s1 minus scalar_e	recovery_rate	18	18	0.035703350967603194	0.015271070566747853	0.05942370890413314	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/piqa	hns_f4_s1 minus scalar_e	retention_rate	18	18	-0.029172797985303995	-0.051236498472792526	-0.007146548173043977	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/piqa	hns_f4_s1 minus scalar_e	new_success_rate	18	18	0.00027203482045701856	-0.00021158263813323655	0.0007556522790472737	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/piqa	hns_f4_s1 minus scalar_e	new_damage_rate	18	18	0.0006347479143997099	-0.00039293918510458224	0.002025148107846693	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/piqa	hns_f4_s1 minus flat_e	recovery_rate	18	18	-0.0006786569227648612	-0.008700521645367587	0.006326905063514915	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/piqa	hns_f4_s1 minus flat_e	retention_rate	18	18	-0.004580296246506711	-0.012635322530964213	0.003715154849628507	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/piqa	hns_f4_s1 minus flat_e	new_success_rate	18	18	-0.0001813565469713457	-0.0004533913674283643	9.067827348567282e-05	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/piqa	hns_f4_s1 minus flat_e	new_damage_rate	18	18	-0.0003022609116189095	-0.0008463305525329463	0.00024180872929512748	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/piqa	scalar_e minus flat_e	recovery_rate	18	18	-0.03638200789036805	-0.06286324114512863	-0.014315613012026766	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/piqa	scalar_e minus flat_e	retention_rate	18	18	0.024592501738797286	0.00013845877797179543	0.04987482861072873	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/piqa	scalar_e minus flat_e	new_success_rate	18	18	-0.0004533913674283642	-0.0009370088260186192	3.098174344093409e-05	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/piqa	scalar_e minus flat_e	new_damage_rate	18	18	-0.0009370088260186192	-0.0026296699310845123	0.00015113045580945469	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/siqa	hns_f4_s1 minus scalar_e	recovery_rate	18	18	0.004203268391996732	-0.01672239457981182	0.02466521673565819	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/siqa	hns_f4_s1 minus scalar_e	retention_rate	18	18	-0.03356566313841561	-0.060936033969856716	-0.006367277900817029	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
