base	task	seed	module	fro_matching_gain	energy_matching_gain	old_fro_scalar_energy_over_hns
Qwen3-8B	magicoder	42	base_model.model.model.layers.18.self_attn.o_proj	0.6559542679104742	0.2400235217265175	7.468605446185902
Qwen3-8B	magicoder	42	base_model.model.model.layers.18.self_attn.q_proj	0.6222410246942003	0.23502568217223568	7.0094935129010025
Qwen3-8B	magicoder	42	base_model.model.model.layers.18.self_attn.v_proj	0.6375211754989172	0.23976209806274862	7.070142523398264
Qwen3-8B	magicoder	42	base_model.model.model.layers.19.mlp.down_proj	0.6167222587187922	0.24048150873797444	6.5768187089363614
Qwen3-8B	magicoder	42	base_model.model.model.layers.19.mlp.gate_proj	0.409722335215892	0.1228144577188064	11.129618777312375
Qwen3-8B	magicoder	42	base_model.model.model.layers.19.mlp.up_proj	0.5205575125517216	0.16460806407413653	10.000811058529942
Qwen3-8B	magicoder	42	base_model.model.model.layers.19.self_attn.k_proj	0.7519031009089979	0.5205246262996359	2.086609545114861
Qwen3-8B	magicoder	42	base_model.model.model.layers.19.self_attn.o_proj	0.6679811523158737	0.2571475819008721	6.7478205998090655
Qwen3-8B	magicoder	42	base_model.model.model.layers.19.self_attn.q_proj	0.6406853383389607	0.23221000545516235	7.6125071541998635
Qwen3-8B	magicoder	42	base_model.model.model.layers.19.self_attn.v_proj	0.592635916773484	0.21449368998599727	7.633907542411322
Qwen3-8B	magicoder	42	base_model.model.model.layers.2.mlp.down_proj	0.5679745773670701	0.20255615410307665	7.8626131615628125
Qwen3-8B	magicoder	42	base_model.model.model.layers.2.mlp.gate_proj	0.46158076795436676	0.12935422353374057	12.733101000423115
Qwen3-8B	magicoder	42	base_model.model.model.layers.2.mlp.up_proj	0.4339101263109443	0.11821373998813522	13.472979716832324
Qwen3-8B	magicoder	42	base_model.model.model.layers.2.self_attn.k_proj	0.835071013839038	0.5796757229742534	2.075279488289493
Qwen3-8B	magicoder	42	base_model.model.model.layers.2.self_attn.o_proj	0.5230798597470218	0.18305822144654393	8.165025025344862
Qwen3-8B	magicoder	42	base_model.model.model.layers.2.self_attn.q_proj	0.6908097165867925	0.2784795650245527	6.1536134410798375
Qwen3-8B	magicoder	42	base_model.model.model.layers.2.self_attn.v_proj	0.41803665206250534	0.12552691877152827	11.090598534236216
Qwen3-8B	magicoder	42	base_model.model.model.layers.20.mlp.down_proj	0.6111062469506334	0.23962265180613262	6.503957676392484
Qwen3-8B	magicoder	42	base_model.model.model.layers.20.mlp.gate_proj	0.4627707352170199	0.14048245956221264	10.851444906734491
Qwen3-8B	magicoder	42	base_model.model.model.layers.20.mlp.up_proj	0.5088603411164856	0.15765604591438784	10.417798409577582
Qwen3-8B	magicoder	42	base_model.model.model.layers.20.self_attn.k_proj	0.7958402466882485	0.4887738535810556	2.6511595501681184
Qwen3-8B	magicoder	42	base_model.model.model.layers.20.self_attn.o_proj	0.7695993173295037	0.3739721186098405	4.23497546069542
Qwen3-8B	magicoder	42	base_model.model.model.layers.20.self_attn.q_proj	0.5894487359712343	0.19350893780167577	9.278761746862493
Qwen3-8B	magicoder	42	base_model.model.model.layers.20.self_attn.v_proj	0.6459802435415166	0.2634846576448837	6.010738136533617
Qwen3-8B	magicoder	42	base_model.model.model.layers.21.mlp.down_proj	0.596931070247224	0.23927766953972274	6.223633768973256
Qwen3-8B	magicoder	42	base_model.model.model.layers.21.mlp.gate_proj	0.4665750696821501	0.14488424195841942	10.370525254497101
Qwen3-8B	magicoder	42	base_model.model.model.layers.21.mlp.up_proj	0.523732955767871	0.1661755075085573	9.933122184990554
Qwen3-8B	magicoder	42	base_model.model.model.layers.21.self_attn.k_proj	0.7521125156358638	0.4008268153441562	3.5208870653377486
Qwen3-8B	magicoder	42	base_model.model.model.layers.21.self_attn.o_proj	0.7826899055150041	0.40784968979694536	3.6828089738368295
Qwen3-8B	magicoder	42	base_model.model.model.layers.21.self_attn.q_proj	0.6683069993142167	0.24970956627552365	7.162780762985487
Qwen3-8B	magicoder	42	base_model.model.model.layers.21.self_attn.v_proj	0.6173481411104819	0.22781557210407938	7.343337291607478
Qwen3-8B	magicoder	42	base_model.model.model.layers.22.mlp.down_proj	0.5687366107860128	0.1981313317630364	8.239788300737011
Qwen3-8B	magicoder	42	base_model.model.model.layers.22.mlp.gate_proj	0.40750867545918473	0.11787940782379812	11.950823345843014
Qwen3-8B	magicoder	42	base_model.model.model.layers.22.mlp.up_proj	0.4395487253714472	0.12806702097139028	11.77984118558859
Qwen3-8B	magicoder	42	base_model.model.model.layers.22.self_attn.k_proj	0.8013230096774411	0.4137187811457808	3.7514982996984143
Qwen3-8B	magicoder	42	base_model.model.model.layers.22.self_attn.o_proj	0.6403198681468955	0.2442007965176112	6.875429017336364
Qwen3-8B	magicoder	42	base_model.model.model.layers.22.self_attn.q_proj	0.6446032525372706	0.23122937633773363	7.771394746777231
Qwen3-8B	magicoder	42	base_model.model.model.layers.22.self_attn.v_proj	0.6501294372073746	0.24917946096015536	6.807304502760558
Qwen3-8B	magicoder	42	base_model.model.model.layers.23.mlp.down_proj	0.593333285031436	0.21839080325854301	7.38122991367527
Qwen3-8B	magicoder	42	base_model.model.model.layers.23.mlp.gate_proj	0.4937896376301325	0.15061261275935148	10.748831592892996
Qwen3-8B	magicoder	42	base_model.model.model.layers.23.mlp.up_proj	0.4775009844021302	0.14732217103661452	10.505393440643397
Qwen3-8B	magicoder	42	base_model.model.model.layers.23.self_attn.k_proj	0.8413141841993097	0.4602917265413344	3.340796980160938
Qwen3-8B	magicoder	42	base_model.model.model.layers.23.self_attn.o_proj	0.6896033581733619	0.27065939359787067	6.49161158310302
Qwen3-8B	magicoder	42	base_model.model.model.layers.23.self_attn.q_proj	0.6829704900676661	0.24894146744097576	7.526782863557721
Qwen3-8B	magicoder	42	base_model.model.model.layers.23.self_attn.v_proj	0.6279903236880534	0.24617836127123527	6.507379745563192
Qwen3-8B	magicoder	42	base_model.model.model.layers.24.mlp.down_proj	0.5887197888091451	0.2089589900166758	7.937708522209728
Qwen3-8B	magicoder	42	base_model.model.model.layers.24.mlp.gate_proj	0.45314812132019844	0.13088011931616997	11.987620980009337
Qwen3-8B	magicoder	42	base_model.model.model.layers.24.mlp.up_proj	0.4525269780391541	0.13165357945890058	11.814724743036066
Qwen3-8B	magicoder	42	base_model.model.model.layers.24.self_attn.k_proj	0.8238947107226624	0.4570065732726355	3.2501135635205287
Qwen3-8B	magicoder	42	base_model.model.model.layers.24.self_attn.o_proj	0.5376260272263135	0.16906177344074336	10.112760686023192
Qwen3-8B	magicoder	42	base_model.model.model.layers.24.self_attn.q_proj	0.6492719181203643	0.2271017304659962	8.17358064558506
Qwen3-8B	magicoder	42	base_model.model.model.layers.24.self_attn.v_proj	0.6147915034717741	0.23302648203368997	6.9605756228206515
Qwen3-8B	magicoder	42	base_model.model.model.layers.25.mlp.down_proj	0.6273351437229063	0.2356842814131708	7.084969704441898
Qwen3-8B	magicoder	42	base_model.model.model.layers.25.mlp.gate_proj	0.5155179982253268	0.1530968306702976	11.338491118450563
Qwen3-8B	magicoder	42	base_model.model.model.layers.25.mlp.up_proj	0.44739951796907274	0.1285566345628731	12.111614364067794
Qwen3-8B	magicoder	42	base_model.model.model.layers.25.self_attn.k_proj	0.6292171967663007	0.24620880895958505	6.531215183159977
Qwen3-8B	magicoder	42	base_model.model.model.layers.25.self_attn.o_proj	0.6607292867463934	0.2541471444520843	6.758909723191714
Qwen3-8B	magicoder	42	base_model.model.model.layers.25.self_attn.q_proj	0.5742735028540906	0.17811639150703795	10.395126539443297
Qwen3-8B	magicoder	42	base_model.model.model.layers.25.self_attn.v_proj	0.5984637590722138	0.22169303830516085	7.2873831048984545
Qwen3-8B	magicoder	42	base_model.model.model.layers.26.mlp.down_proj	0.5923802808511808	0.20790685790224556	8.118271225071064
Qwen3-8B	magicoder	42	base_model.model.model.layers.26.mlp.gate_proj	0.5479744478571802	0.16552991084472227	10.95891739039282
Qwen3-8B	magicoder	42	base_model.model.model.layers.26.mlp.up_proj	0.543511681111465	0.16882696936703392	10.364160163057846
Qwen3-8B	magicoder	42	base_model.model.model.layers.26.self_attn.k_proj	0.7268237804488616	0.3554774165644519	4.180557738793326
Qwen3-8B	magicoder	42	base_model.model.model.layers.26.self_attn.o_proj	0.6862809416606602	0.26031524023523805	6.950318192591044
Qwen3-8B	magicoder	42	base_model.model.model.layers.26.self_attn.q_proj	0.6117094427614459	0.19846557971422957	9.499920591618737
Qwen3-8B	magicoder	42	base_model.model.model.layers.26.self_attn.v_proj	0.5634123386430793	0.18898946575316	8.887457006151093
Qwen3-8B	magicoder	42	base_model.model.model.layers.27.mlp.down_proj	0.6700864147085441	0.24796541226642888	7.302631940341088
Qwen3-8B	magicoder	42	base_model.model.model.layers.27.mlp.gate_proj	0.5494979299526553	0.1664265263457302	10.901519200804676
Qwen3-8B	magicoder	42	base_model.model.model.layers.27.mlp.up_proj	0.6326922478978022	0.20155960563560665	9.853216526865136
Qwen3-8B	magicoder	42	base_model.model.model.layers.27.self_attn.k_proj	0.7370746308923075	0.39878112589234843	3.416282190101115
Qwen3-8B	magicoder	42	base_model.model.model.layers.27.self_attn.o_proj	0.6340767747238123	0.2325950555288831	7.431607001321342
Qwen3-8B	magicoder	42	base_model.model.model.layers.27.self_attn.q_proj	0.6470491334853632	0.2133244589741418	9.200114113834811
Qwen3-8B	magicoder	42	base_model.model.model.layers.27.self_attn.v_proj	0.5268735687099309	0.17732595882327476	8.828119245273314
Qwen3-8B	magicoder	42	base_model.model.model.layers.28.mlp.down_proj	0.6141045569154603	0.20570471064346277	8.91243069608469
Qwen3-8B	magicoder	42	base_model.model.model.layers.28.mlp.gate_proj	0.5541794784588447	0.16674897230123323	11.04522449226872
Qwen3-8B	magicoder	42	base_model.model.model.layers.28.mlp.up_proj	0.5526001071499249	0.17141419839593344	10.39269891025877
Qwen3-8B	magicoder	42	base_model.model.model.layers.28.self_attn.k_proj	0.7158097444540511	0.3820561786330771	3.510271899325446
Qwen3-8B	magicoder	42	base_model.model.model.layers.28.self_attn.o_proj	0.7668843471300733	0.3760673658308503	4.158420956304702
Qwen3-8B	magicoder	42	base_model.model.model.layers.28.self_attn.q_proj	0.5779630386005242	0.18407073704981328	9.858949197778871
Qwen3-8B	magicoder	42	base_model.model.model.layers.28.self_attn.v_proj	0.6119805787001242	0.21916744678205452	7.796921887793679
Qwen3-8B	magicoder	42	base_model.model.model.layers.29.mlp.down_proj	0.5851932408399467	0.19442935933870287	9.058888457884942
Qwen3-8B	magicoder	42	base_model.model.model.layers.29.mlp.gate_proj	0.654180467720309	0.20704099030464532	9.983491980024894
Qwen3-8B	magicoder	42	base_model.model.model.layers.29.mlp.up_proj	0.5461475255912295	0.16512510068706385	10.939406226562749
Qwen3-8B	magicoder	42	base_model.model.model.layers.29.self_attn.k_proj	0.7998737859841696	0.4561486369623116	3.074894113706572
Qwen3-8B	magicoder	42	base_model.model.model.layers.29.self_attn.o_proj	0.6184991553227849	0.24518765685615973	6.3632797275786475
Qwen3-8B	magicoder	42	base_model.model.model.layers.29.self_attn.q_proj	0.7318162877439625	0.2856181478325761	6.564966968676078
Qwen3-8B	magicoder	42	base_model.model.model.layers.29.self_attn.v_proj	0.6144805127302092	0.2577416917489355	5.683905900636124
Qwen3-8B	magicoder	42	base_model.model.model.layers.3.mlp.down_proj	0.6762546659804265	0.2621825433381477	6.6529307837153855
Qwen3-8B	magicoder	42	base_model.model.model.layers.3.mlp.gate_proj	0.45025046379266237	0.12367211016969729	13.254544135194235
Qwen3-8B	magicoder	42	base_model.model.model.layers.3.mlp.up_proj	0.5354569985091745	0.1590524093918946	11.333621212596668
Qwen3-8B	magicoder	42	base_model.model.model.layers.3.self_attn.k_proj	0.7559224126402867	0.5336552923806714	2.006470609531314
Qwen3-8B	magicoder	42	base_model.model.model.layers.3.self_attn.o_proj	0.5776427291585132	0.20903979567313755	7.635907837506341
Qwen3-8B	magicoder	42	base_model.model.model.layers.3.self_attn.q_proj	0.6391989912352595	0.2325729914611999	7.553593403468977
Qwen3-8B	magicoder	42	base_model.model.model.layers.3.self_attn.v_proj	0.4548984434849403	0.15164914838347174	8.998061353048737
Qwen3-8B	magicoder	42	base_model.model.model.layers.30.mlp.down_proj	0.48504990181001273	0.1422837992422498	11.62149328836469
Qwen3-8B	magicoder	42	base_model.model.model.layers.30.mlp.gate_proj	0.5419237162705953	0.1613164621230037	11.285451466553011
Qwen3-8B	magicoder	42	base_model.model.model.layers.30.mlp.up_proj	0.47634438124997436	0.13789210177702535	11.933375628359416
Qwen3-8B	magicoder	42	base_model.model.model.layers.30.self_attn.k_proj	0.6631457171781145	0.28885862496838083	5.270444679032643
Qwen3-8B	magicoder	42	base_model.model.model.layers.30.self_attn.o_proj	0.5457759616917381	0.16908229189367519	10.419156349934081
Qwen3-8B	magicoder	42	base_model.model.model.layers.30.self_attn.q_proj	0.6177510800949918	0.19666408395578655	9.866813508482005
Qwen3-8B	magicoder	42	base_model.model.model.layers.30.self_attn.v_proj	0.5918959274725428	0.22739468596945966	6.775324197781369
Qwen3-8B	magicoder	42	base_model.model.model.layers.31.mlp.down_proj	0.49944652999725053	0.14821020317028036	11.355906159077716
Qwen3-8B	magicoder	42	base_model.model.model.layers.31.mlp.gate_proj	0.6142178121621499	0.19147660041790243	10.289953142067017
Qwen3-8B	magicoder	42	base_model.model.model.layers.31.mlp.up_proj	0.47630193652919833	0.1379933806205667	11.913741861737936
Qwen3-8B	magicoder	42	base_model.model.model.layers.31.self_attn.k_proj	0.7048105273468195	0.3461175703057114	4.146650875546959
Qwen3-8B	magicoder	42	base_model.model.model.layers.31.self_attn.o_proj	0.7214383386795732	0.29478039494913894	5.98964720663749
Qwen3-8B	magicoder	42	base_model.model.model.layers.31.self_attn.q_proj	0.6502990245515886	0.21471251554908405	9.173001930574811
Qwen3-8B	magicoder	42	base_model.model.model.layers.31.self_attn.v_proj	0.5868277430709125	0.20665060956965878	8.063951250769579
Qwen3-8B	magicoder	42	base_model.model.model.layers.32.mlp.down_proj	0.5527412550239795	0.17097010065787296	10.45209686269521
Qwen3-8B	magicoder	42	base_model.model.model.layers.32.mlp.gate_proj	0.5460852141972022	0.16212253063917909	11.345772918169635
Qwen3-8B	magicoder	42	base_model.model.model.layers.32.mlp.up_proj	0.4694078187236319	0.13480035357936027	12.126028249553874
Qwen3-8B	magicoder	42	base_model.model.model.layers.32.self_attn.k_proj	0.714416086338804	0.2772241164691643	6.641106330169152
Qwen3-8B	magicoder	42	base_model.model.model.layers.32.self_attn.o_proj	0.5858565026647791	0.18878222604570993	9.630754311107863
Qwen3-8B	magicoder	42	base_model.model.model.layers.32.self_attn.q_proj	0.6503627150292083	0.21403657541985746	9.23283944662665
Qwen3-8B	magicoder	42	base_model.model.model.layers.32.self_attn.v_proj	0.5842814308709521	0.20565996767023773	8.071321412261264
Qwen3-8B	magicoder	42	base_model.model.model.layers.33.mlp.down_proj	0.42906356875541274	0.12111975654708527	12.549120888377194
Qwen3-8B	magicoder	42	base_model.model.model.layers.33.mlp.gate_proj	0.4689568263577726	0.1340065952312856	12.246539230760778
Qwen3-8B	magicoder	42	base_model.model.model.layers.33.mlp.up_proj	0.4429114353715979	0.12596443908737384	12.36339863256184
Qwen3-8B	magicoder	42	base_model.model.model.layers.33.self_attn.k_proj	0.7810896049027866	0.43683826209532417	3.1971305824871314
Qwen3-8B	magicoder	42	base_model.model.model.layers.33.self_attn.o_proj	0.6752254256465857	0.2538806333007436	7.073566302458112
Qwen3-8B	magicoder	42	base_model.model.model.layers.33.self_attn.q_proj	0.7496816264641304	0.2944484072632348	6.482392377897468
Qwen3-8B	magicoder	42	base_model.model.model.layers.33.self_attn.v_proj	0.5168217430574107	0.17789875282201742	8.43986978308251
Qwen3-8B	magicoder	42	base_model.model.model.layers.34.mlp.down_proj	0.38020793961481647	0.10135589102855845	14.071628843287664
Qwen3-8B	magicoder	42	base_model.model.model.layers.34.mlp.gate_proj	0.41454794728647215	0.11518009573421623	12.953724840635216
Qwen3-8B	magicoder	42	base_model.model.model.layers.34.mlp.up_proj	0.430575877507551	0.12108867862181799	12.644227775885925
Qwen3-8B	magicoder	42	base_model.model.model.layers.34.self_attn.k_proj	0.6267001719345358	0.21044665590705988	8.868201852412959
Qwen3-8B	magicoder	42	base_model.model.model.layers.34.self_attn.o_proj	0.5848108576406057	0.18739649967742197	9.738855121952376
Qwen3-8B	magicoder	42	base_model.model.model.layers.34.self_attn.q_proj	0.5357608074426174	0.16845486493714548	10.115206780073523
Qwen3-8B	magicoder	42	base_model.model.model.layers.34.self_attn.v_proj	0.5252254999351577	0.17083018809947473	9.45284132870314
Qwen3-8B	magicoder	42	base_model.model.model.layers.35.mlp.down_proj	0.5056543652335748	0.1603288131104809	9.946822462731499
Qwen3-8B	magicoder	42	base_model.model.model.layers.35.mlp.gate_proj	0.36436149502832677	0.09999717204605706	13.276680812146985
Qwen3-8B	magicoder	42	base_model.model.model.layers.35.mlp.up_proj	0.40157197572838077	0.11198471871818211	12.859061331805357
Qwen3-8B	magicoder	42	base_model.model.model.layers.35.self_attn.k_proj	0.6446329612352838	0.22494235898557383	8.212635071646224
Qwen3-8B	magicoder	42	base_model.model.model.layers.35.self_attn.o_proj	0.3777766303773654	0.10211060297809592	13.687637519195981
Qwen3-8B	magicoder	42	base_model.model.model.layers.35.self_attn.q_proj	0.49152853285525405	0.14495095020852022	11.498874482312946
Qwen3-8B	magicoder	42	base_model.model.model.layers.35.self_attn.v_proj	0.4617831308350918	0.1359975295217402	11.529595988165374
Qwen3-8B	magicoder	42	base_model.model.model.layers.4.mlp.down_proj	0.5401077859001043	0.16932469871764283	10.174668131695869
Qwen3-8B	magicoder	42	base_model.model.model.layers.4.mlp.gate_proj	0.5463360440996402	0.15726904194934446	12.067942301399215
Qwen3-8B	magicoder	42	base_model.model.model.layers.4.mlp.up_proj	0.553507257243907	0.16713767929688017	10.967254043287172
Qwen3-8B	magicoder	42	base_model.model.model.layers.4.self_attn.k_proj	0.7414277626912646	0.39736864031374997	3.481372605624785
