base	task	seed	method	epsilon	module	input_dim	output_dim	source_rank	retained_rank	zero_rank	scaling_before	scaling_after	parameters_before	parameters_after	parameter_ratio	energy_before	energy_after	saved_factor_relative_error	sigma_before	sigma_retained
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.22.self_attn.q_proj	4096	4096	16	6	False	2.0	2.0	131072	49152	0.375	0.0446831937198577	0.03370670676860463	0.0	[0.06358850002288818,0.0412786602973938,0.03291116654872894,0.025735680013895035,0.022225378081202507,0.020971743389964104,0.01960853300988674,0.01855636015534401,0.018485182896256447,0.017865363508462906,0.017573609948158264,0.01655733957886696,0.015549960546195507,0.01512210350483656,0.013851291500031948,0.01044512540102005]	[0.06358850002288818,0.0412786602973938,0.03291116654872894,0.025735680013895035,0.022225378081202507,0.020971743389964104]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.22.self_attn.v_proj	4096	1024	16	2	False	2.0	2.0	81920	10240	0.125	0.010723867623264015	0.007261623032051967	0.0	[0.03505156934261322,0.02422381564974785,0.01571405492722988,0.011126760393381119,0.009442618116736412,0.00920481514185667,0.007300634402781725,0.006700058933347464,0.006514686159789562,0.006108195520937443,0.00548191973939538,0.005320800468325615,0.005024062003940344,0.00479595921933651,0.004501242656260729,0.004015713930130005]	[0.03505156934261322,0.02422381564974785]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.23.mlp.down_proj	14336	4096	16	2	False	2.0	2.0	294912	36864	0.125	0.05925165916774451	0.04909895338874337	0.0	[0.10654815286397934,0.030368231236934662,0.019574452191591263,0.01777307689189911,0.015143288299441338,0.014189853332936764,0.013654782436788082,0.01318607572466135,0.012350245378911495,0.012239066883921623,0.012059521861374378,0.011501971632242203,0.011158476583659649,0.010995546355843544,0.010747606866061687,0.010351945646107197]	[0.10654815286397934,0.030368231236934662]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.23.mlp.gate_proj	4096	14336	16	16	False	2.0	2.0	294912	294912	1.0	0.4148736474186405	0.4148736474186405	0.0	[0.289559930562973,0.06532780826091766,0.04747079312801361,0.0421677865087986,0.03972136974334717,0.03727356344461441,0.03611517697572708,0.034347549080848694,0.03226412087678909,0.030399521812796593,0.02927810698747635,0.028503168374300003,0.027492811903357506,0.02520698867738247,0.024410471320152283,0.022385507822036743]	[0.289559930562973,0.06532780826091766,0.04747079312801361,0.0421677865087986,0.03972136974334717,0.03727356344461441,0.03611517697572708,0.034347549080848694,0.03226412087678909,0.030399521812796593,0.02927810698747635,0.028503168374300003,0.027492811903357506,0.02520698867738247,0.024410471320152283,0.022385507822036743]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.23.mlp.up_proj	4096	14336	16	15	False	2.0	2.0	294912	276480	0.9375	0.2628560580155781	0.2612449673715369	0.0	[0.21033090353012085,0.07294999063014984,0.049081843346357346,0.04375041276216507,0.04199374094605446,0.04019560664892197,0.03704715147614479,0.03518824279308319,0.03133944422006607,0.03058912605047226,0.029397128149867058,0.02723163366317749,0.02612646296620369,0.025548085570335388,0.024053184315562248,0.020069196820259094]	[0.21033090353012085,0.07294999063014984,0.049081843346357346,0.04375041276216507,0.04199374094605446,0.04019560664892197,0.03704715147614479,0.03518824279308319,0.03133944422006607,0.03058912605047226,0.029397128149867058,0.02723163366317749,0.02612646296620369,0.025548085570335388,0.024053184315562248]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.23.self_attn.k_proj	4096	1024	16	1	False	2.0	2.0	81920	5120	0.0625	0.011414731700965165	0.005326368816872817	0.0	[0.03649098798632622,0.016658546403050423,0.014323052950203419,0.011826550588011742,0.011719728820025921,0.011067718267440796,0.01026431005448103,0.009616928175091743,0.009161913767457008,0.00831430871039629,0.007999952882528305,0.007746350020170212,0.007266476284712553,0.0068607022985816,0.005871834233403206,0.005518666468560696]	[0.03649098798632622]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.23.self_attn.o_proj	4096	4096	16	6	False	2.0	2.0	131072	49152	0.375	0.04796322049072957	0.0365852987663178	6.441189366273255e-09	[0.07024171948432922,0.039582591503858566,0.03047149069607258,0.026561900973320007,0.023068178445100784,0.021896502003073692,0.019739549607038498,0.019247816875576973,0.018638145178556442,0.017778171226382256,0.017501330003142357,0.016053687781095505,0.015748566016554832,0.015120752155780792,0.01405917014926672,0.013512074016034603]	[0.07024171948432922,0.039582591503858566,0.03047149069607258,0.026561900973320007,0.023068178445100784,0.021896502003073692]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.23.self_attn.q_proj	4096	4096	16	5	False	2.0	2.0	131072	40960	0.3125	0.047660349934822696	0.03784760870483059	0.0	[0.08261153846979141,0.031231960281729698,0.026774639263749123,0.022345900535583496,0.02110876515507698,0.018484851345419884,0.01818472519516945,0.017100566998124123,0.016036655753850937,0.0157204307615757,0.014631049707531929,0.013743415474891663,0.013576638884842396,0.01202886737883091,0.011602808721363544,0.010838941670954227]	[0.08261153846979141,0.031231960281729698,0.026774639263749123,0.022345900535583496,0.02110876515507698]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.23.self_attn.v_proj	4096	1024	16	2	False	2.0	2.0	81920	10240	0.125	0.012833083668249033	0.0103112100579318	0.0	[0.0417369082570076,0.02891077660024166,0.011624249629676342,0.00951080396771431,0.00824768003076315,0.007623857818543911,0.00677467929199338,0.006621856242418289,0.005834459792822599,0.0056504798121750355,0.005317718256264925,0.005195296369493008,0.004603905137628317,0.004123080056160688,0.003952682949602604,0.0037335811648517847]	[0.0417369082570076,0.02891077660024166]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.24.mlp.down_proj	14336	4096	16	4	False	2.0	2.0	294912	73728	0.25	0.061808421893348155	0.052495085826975124	0.0	[0.1053246408700943,0.030535737052559853,0.025329869240522385,0.021364877000451088,0.019026251509785652,0.016726426780223846,0.016148174181580544,0.01416832022368908,0.014005898497998714,0.013379543088376522,0.01291197445243597,0.012429991737008095,0.012206194922327995,0.011656234972178936,0.0113289263099432,0.01074489951133728]	[0.1053246408700943,0.030535737052559853,0.025329869240522385,0.021364877000451088]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.24.mlp.gate_proj	4096	14336	16	16	False	2.0	2.0	294912	294912	1.0	0.4598856346501148	0.4598856346501148	0.0	[0.312706857919693,0.05583926662802696,0.0423876978456974,0.03909868746995926,0.03824245184659958,0.036151450127363205,0.03504907712340355,0.031367555260658264,0.03125017136335373,0.02976212091743946,0.028908520936965942,0.027463572099804878,0.026562724262475967,0.024114694446325302,0.023085419088602066,0.022096766158938408]	[0.312706857919693,0.05583926662802696,0.0423876978456974,0.03909868746995926,0.03824245184659958,0.036151450127363205,0.03504907712340355,0.031367555260658264,0.03125017136335373,0.02976212091743946,0.028908520936965942,0.027463572099804878,0.026562724262475967,0.024114694446325302,0.023085419088602066,0.022096766158938408]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.24.mlp.up_proj	4096	14336	16	16	False	2.0	2.0	294912	294912	1.0	0.2452500506129904	0.2452500506129904	0.0	[0.2011880725622177,0.05659465864300728,0.05543065443634987,0.04288255795836449,0.04143423214554787,0.039971496909856796,0.037686221301555634,0.03537428379058838,0.03420555591583252,0.03307795152068138,0.03054686263203621,0.028698401525616646,0.027130283415317535,0.026682302355766296,0.02531370520591736,0.025013534352183342]	[0.2011880725622177,0.05659465864300728,0.05543065443634987,0.04288255795836449,0.04143423214554787,0.039971496909856796,0.037686221301555634,0.03537428379058838,0.03420555591583252,0.03307795152068138,0.03054686263203621,0.028698401525616646,0.027130283415317535,0.026682302355766296,0.02531370520591736,0.025013534352183342]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.24.self_attn.k_proj	4096	1024	16	1	False	2.0	2.0	81920	5120	0.0625	0.012026302730846481	0.004187485174808936	0.0	[0.03235539048910141,0.01973072998225689,0.015223744325339794,0.014506998471915722,0.01397648174315691,0.013230464421212673,0.011957970447838306,0.009982513263821602,0.00952241662889719,0.009442044422030449,0.008431565016508102,0.007923291996121407,0.007745459210127592,0.007255745120346546,0.006773827597498894,0.006552499253302813]	[0.03235539048910141]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.24.self_attn.o_proj	4096	4096	16	7	False	2.0	2.0	131072	57344	0.4375	0.05048142204695054	0.040002736145730564	1.1405929398171092e-08	[0.07048941403627396,0.03779721260070801,0.03298944979906082,0.027474237605929375,0.025651592761278152,0.024308940395712852,0.022610416635870934,0.020057542249560356,0.01959591545164585,0.018681013956665993,0.01750868372619152,0.016716500744223595,0.01593088172376156,0.015573207288980484,0.01484726183116436,0.013477088883519173]	[0.07048941403627396,0.03779721260070801,0.03298944979906082,0.027474237605929375,0.025651592761278152,0.024308940395712852,0.022610416635870934]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.24.self_attn.q_proj	4096	4096	16	7	False	2.0	2.0	131072	57344	0.4375	0.0511323832828094	0.04185548305722282	9.10445148735887e-09	[0.07814811915159225,0.03766346722841263,0.027429481968283653,0.02708851546049118,0.02262108027935028,0.022030800580978394,0.02133006975054741,0.02011544443666935,0.018860219046473503,0.01715647429227829,0.01657053269445896,0.01575651578605175,0.014984097331762314,0.014186414889991283,0.013450542464852333,0.011618799529969692]	[0.07814811915159225,0.03766346722841263,0.027429481968283653,0.02708851546049118,0.02262108027935028,0.022030800580978394,0.02133006975054741]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.24.self_attn.v_proj	4096	1024	16	2	False	2.0	2.0	81920	10240	0.125	0.012969011583022792	0.008707345859759075	0.0	[0.033670373260974884,0.03229771554470062,0.018061049282550812,0.012022648938000202,0.010175651870667934,0.009151010774075985,0.008446318097412586,0.008178774267435074,0.007205224130302668,0.00661474047228694,0.006116979755461216,0.005637364462018013,0.005584868136793375,0.005136368330568075,0.0049229278229177,0.004741065204143524]	[0.033670373260974884,0.03229771554470062]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.25.mlp.down_proj	14336	4096	16	4	False	2.0	2.0	294912	73728	0.25	0.05826427143822829	0.05089208239581118	0.0	[0.10191790759563446,0.03414659947156906,0.02745254710316658,0.020399218425154686,0.01648799143731594,0.01522363442927599,0.014168999157845974,0.012696637772023678,0.01248327549546957,0.012102557346224785,0.011678854934871197,0.011172125115990639,0.010691330768167973,0.010452128946781158,0.009976765140891075,0.009532351046800613]	[0.10191790759563446,0.03414659947156906,0.02745254710316658,0.020399218425154686]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.25.mlp.gate_proj	4096	14336	16	16	False	2.0	2.0	294912	294912	1.0	0.49235197676393866	0.49235197676393866	0.0	[0.32726094126701355,0.0518299899995327,0.04263405129313469,0.03812110796570778,0.03659249097108841,0.034021638333797455,0.03163318708539009,0.030975906178355217,0.030694376677274704,0.02871616557240486,0.028565699234604836,0.026478450745344162,0.024694936349987984,0.024345586076378822,0.023556465283036232,0.023088285699486732]	[0.32726094126701355,0.0518299899995327,0.04263405129313469,0.03812110796570778,0.03659249097108841,0.034021638333797455,0.03163318708539009,0.030975906178355217,0.030694376677274704,0.02871616557240486,0.028565699234604836,0.026478450745344162,0.024694936349987984,0.024345586076378822,0.023556465283036232,0.023088285699486732]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.25.mlp.up_proj	4096	14336	16	16	False	2.0	2.0	294912	294912	1.0	0.2773375913879974	0.2773375913879974	0.0	[0.22428107261657715,0.05292326211929321,0.05149737745523453,0.047867853194475174,0.04146960377693176,0.035307783633470535,0.03437003493309021,0.03366883099079132,0.03267315402626991,0.029307769611477852,0.02889019250869751,0.02752651274204254,0.026823582127690315,0.025616101920604706,0.024110307916998863,0.023046249523758888]	[0.22428107261657715,0.05292326211929321,0.05149737745523453,0.047867853194475174,0.04146960377693176,0.035307783633470535,0.03437003493309021,0.03366883099079132,0.03267315402626991,0.029307769611477852,0.02889019250869751,0.02752651274204254,0.026823582127690315,0.025616101920604706,0.024110307916998863,0.023046249523758888]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.25.self_attn.k_proj	4096	1024	16	2	False	2.0	2.0	81920	10240	0.125	0.014225741465728583	0.008589131569769107	0.0	[0.038338568061590195,0.02602762170135975,0.016446741297841072,0.014147864654660225,0.011743246577680111,0.011188402771949768,0.010254711844027042,0.009858694858849049,0.009416160173714161,0.008918870240449905,0.008175315335392952,0.00797227118164301,0.007527318317443132,0.006474535446614027,0.006306164897978306,0.006008899305015802]	[0.038338568061590195,0.02602762170135975]
