base	task	method	name	target_n	target_mean	target_sample_sd	off_score_n	off_score_mean	off_score_sample_sd	forgetting_gap_n	forgetting_gap_mean	forgetting_gap_sample_sd	functional_pr_n	functional_pr_mean	functional_pr_sample_sd	cov_functional_pr_n	cov_functional_pr_mean	cov_functional_pr_sample_sd	functional_rms_ratio_n	functional_rms_ratio_mean	functional_rms_ratio_sample_sd
Llama-3.1-8B-Instruct	magicoder	original_lora	LoRA	3	54.47154471544716	1.4081713882673792	3	61.19841540421859	1.0304738618339755	3	4.5968158702527715	0.5221814256599788	3	1.2389344444750632	0.01637950986365827	3	1.1983459387024085	0.020683288103633065	3	1.0	0.0
Llama-3.1-8B-Instruct	magicoder	hns_f4_s1	HNS α=0 (4+1)	3	54.674796747967484	0.9314178241780158	3	65.80161040281645	0.9167435739127092	3	1.2890533172099583	0.35090153927468115	3	4.428776722839512	0.31835241525135377	3	3.6547513785994306	0.2850564935939112	3	0.1726219905279671	0.011412763098044886
Llama-3.1-8B-Instruct	magicoder	functional_hns_a05	Functional-HNS α=0.5	3	54.87804878048781	0.6097560975609753	3	65.63753362202326	1.1869399870565172	3	0.9149931817086936	0.0907474392514691	3	11.806946053881708	0.5258980065322755	3	8.92174398949184	0.3588858689984072	3	0.10004856904249411	0.004801967233388036
Llama-3.1-8B-Instruct	magicoder	functional_hns_a10	Functional-HNS α=1	3	55.081300813008134	0.3520428470668448	3	65.64254764204826	0.37325173000688033	3	0.8466651715917884	0.0959440957405733	3	15.983567109434777	0.0002230151632023759	3	13.16024985223942	0.11569873204721096	3	0.08448203179515452	0.003487601124950951
Llama-3.1-8B-Instruct	magicoder	functional_flat	Protected Exact Functional Flat	3	54.47154471544716	0.3520428470668448	3	65.65738086188799	0.6587422410177153	3	0.9011629247580133	0.17351182010595334	3	15.999999999999966	2.0511601988091347e-15	3	13.20033784805451	0.10747301832672881	3	0.084006781032969	0.003792882284629603
Llama-3.1-8B-Instruct	metamath	original_lora	LoRA	3	75.5370229972201	1.3904012841525297	3	58.59126491036418	0.930651567503639	3	4.0655536304726425	0.6807912717248253	3	2.26393922367533	1.016082482032096	3	1.9875241633028524	0.9674838543472104	3	1.0	0.0
Llama-3.1-8B-Instruct	metamath	hns_f4_s1	HNS α=0 (4+1)	3	79.35304523629011	1.1777791455881779	3	62.70953530741166	0.5538654351096933	3	0.6660637893679195	0.8916613170444542	3	7.332711010817532	4.072424175398625	3	5.358190677919434	3.7173299619655005	3	0.37302340815904306	0.14792769504566702
Llama-3.1-8B-Instruct	metamath	functional_hns_a05	Functional-HNS α=0.5	3	80.6419004296184	0.683737642581182	3	63.154057088658426	0.1816690815954881	3	0.45777076294365	0.7401640815926254	3	12.859181964205565	1.8773261525002456	3	8.577693416803404	2.951125979981551	3	0.2845876389959891	0.1806095586847848
Llama-3.1-8B-Instruct	metamath	functional_hns_a10	Functional-HNS α=1	3	81.29896386151125	0.15782153142275646	3	62.39120302217738	0.3630780894769013	3	0.7211591784548688	0.6664866606802862	3	15.984675530804227	0.0017093664679298476	3	11.626092599377795	1.3556229400458641	3	0.25699610565538233	0.1837578485593583
Llama-3.1-8B-Instruct	metamath	functional_flat	Protected Exact Functional Flat	3	80.86934546373516	0.37398657030449406	3	62.30065257687636	0.04440996060685554	3	0.8010917523538829	0.9685266223206135	3	15.999999999999964	0.0	3	11.615876018639712	1.3711006152549965	3	0.25703845366816414	0.18365555142634368
Llama-3.1-8B-Instruct	tulu	original_lora	LoRA	3	62.72335181762168	0.5647043370247498	3	65.69618785880925	1.8700200235955036	3	0.9729309439333712	0.9545285570235968	3	3.6268550304066287	0.218238656857665	3	3.2790229484521736	0.09574346749475504	3	1.0	0.0
Llama-3.1-8B-Instruct	tulu	hns_f4_s1	HNS α=0 (4+1)	3	65.00308071472581	0.21343817714958196	3	66.76986616979924	0.8000030734409259	3	0.10945823152014277	0.1895872182995244	3	11.715017821081767	0.435383839685878	3	9.078349682113013	0.3694696379553776	3	0.3454419896319554	0.0019328093218106894
Llama-3.1-8B-Instruct	tulu	functional_hns_a05	Functional-HNS α=0.5	3	64.75662353666051	1.2026630496576183	3	65.91937406728239	0.27874774318285844	3	0.1486663788406067	0.20445054740307184	3	14.969039267485595	0.08823352863560646	3	11.822234532585963	0.08949035485102018	3	0.2727820777077042	0.0012993995626955851
Llama-3.1-8B-Instruct	tulu	functional_hns_a10	Functional-HNS α=1	3	64.63339494762785	0.5941867382004299	3	65.3005546967136	1.1547203377257704	3	0.16622243178400234	0.15946964998148613	3	15.987480923289015	0.00028531719218284504	3	13.362411318252706	0.07188414714116667	3	0.24677466862372577	0.0013546681032669816
Llama-3.1-8B-Instruct	tulu	functional_flat	Protected Exact Functional Flat	3	64.38693776956254	0.9303554448885665	3	65.82652475967522	1.2471279196352685	3	0.1731147861501133	0.15978400852555258	3	15.999999999999957	1.0255800994045674e-15	3	13.35980718368468	0.04567694404294501	3	0.24689788584071962	0.0013130457078745572
