group	method	name	n	target	off_score	forgetting_gap	target_gain_lora	target_gain_hns	off_score_gain_lora	off_score_gain_hns	fg_reduction_lora	fg_reduction_hns	functional_pr	cov_functional_pr	functional_rms_ratio	functional_squared_energy_ratio	target_gain_lora_wtl	target_gain_hns_wtl	off_score_gain_lora_wtl	off_score_gain_hns_wtl	fg_reduction_lora_wtl	fg_reduction_hns_wtl	pareto_vs_hns
task/magicoder	original_lora	LoRA	6	59.34959349593496	69.61759071891336	3.131166310707629	0.0	-5.284552845528453	0.0	-3.9135042915875418	0.0	-2.48663965210265	1.150189387283	1.1203021853001696	1.0	1.0	[0, 6, 0]	[1, 1, 4]	[0, 6, 0]	[0, 0, 6]	[0, 6, 0]	[0, 0, 6]	0
task/magicoder	hns_f4_s1	HNS α=0 (4+1)	6	64.63414634146342	73.5310950105009	0.6445266586049792	5.284552845528453	0.0	3.9135042915875418	0.0	2.48663965210265	0.0	3.5070302576601673	2.879528098259373	0.16279766147131985	0.026678719308227263	[4, 1, 1]	[0, 6, 0]	[6, 0, 0]	[0, 6, 0]	[6, 0, 0]	[0, 6, 0]	0
task/magicoder	functional_hns_a05	Functional-HNS α=0.5	6	63.617886178861795	73.06266412899302	0.4574965908543468	4.268292682926828	-1.0162601626016254	3.4450734100796594	-0.46843088150788265	2.673669719853282	0.18703006775063238	10.515104177495013	7.438556702154203	0.09184609642494047	0.008527347215698318	[5, 0, 1]	[1, 0, 5]	[6, 0, 0]	[1, 0, 5]	[6, 0, 0]	[2, 3, 1]	0
task/magicoder	functional_hns_a10	Functional-HNS α=1	6	61.6869918699187	72.9171448924412	0.4233325857958942	2.337398373983737	-2.947154471544716	3.2995541735278273	-0.6139501180597146	2.707833724911735	0.22119407280908496	15.976634470052309	12.624501528991072	0.07781740389877038	0.006115970303088669	[5, 0, 1]	[1, 2, 3]	[6, 0, 0]	[1, 0, 5]	[6, 0, 0]	[3, 3, 0]	1
task/magicoder	functional_flat	Protected Exact Functional Flat	6	61.38211382113821	72.91028687423541	0.45058146237900665	2.0325203252032495	-3.2520325203252036	3.2926961553220395	-0.6208081362655022	2.6805848483286225	0.19394519622597253	15.999999999999964	12.676764780503287	0.07633241644612615	0.005903317911201356	[5, 0, 1]	[1, 1, 4]	[6, 0, 0]	[1, 0, 5]	[6, 0, 0]	[2, 3, 1]	1
task/metamath	original_lora	LoRA	6	79.79529946929492	63.374498617425516	4.5068662511399245	0.0	-3.6138488754106675	0.0	-5.618625132767664	0.0	-4.173834356455965	1.9025878681906556	1.712582131516743	1.0	1.0	[0, 6, 0]	[0, 0, 6]	[0, 6, 0]	[0, 0, 6]	[0, 6, 0]	[0, 0, 6]	0
task/metamath	hns_f4_s1	HNS α=0 (4+1)	6	83.40914834470559	68.99312375019318	0.3330318946839598	3.6138488754106675	0.0	5.618625132767664	0.0	4.173834356455965	0.0	7.398782005780436	5.062947041344848	0.30363794842740244	0.10440434582745121	[6, 0, 0]	[0, 6, 0]	[6, 0, 0]	[0, 6, 0]	[6, 0, 0]	[0, 6, 0]	0
task/metamath	functional_hns_a05	Functional-HNS α=0.5	6	84.12939095274197	69.30883203574008	0.228885381471825	4.334091483447061	0.7202426080363935	5.934333418314562	0.3157082855468983	4.2779808696681	0.1041465132121348	12.979347384751039	8.159948543412805	0.2344259864448635	0.06842460375342933	[6, 0, 0]	[5, 0, 1]	[6, 0, 0]	[4, 0, 2]	[6, 0, 0]	[2, 4, 0]	3
task/metamath	functional_hns_a10	Functional-HNS α=1	6	84.36947182208745	69.20072182490779	0.3605795892274344	4.5741723527925275	0.9603234773818604	5.826223207482278	0.207598074714614	4.14628666191249	-0.02754769454347458	15.9828734047653	11.10058631607851	0.21164704678640892	0.058173068796342084	[6, 0, 0]	[4, 0, 2]	[6, 0, 0]	[4, 0, 2]	[6, 0, 0]	[1, 3, 2]	2
task/metamath	functional_flat	Protected Exact Functional Flat	6	84.12939095274197	69.15148001582625	0.40054587617694143	4.334091483447061	0.7202426080363935	5.776981398400735	0.1583562656330706	4.106320374962983	-0.06751398149298163	15.999999999999963	11.097049583497165	0.21102092379277076	0.05795944682586231	[6, 0, 0]	[5, 0, 1]	[6, 0, 0]	[4, 0, 2]	[6, 0, 0]	[1, 3, 2]	3
task/tulu	original_lora	LoRA	6	64.849044978435	75.66153760569726	0.4864654719666856	0.0	-3.357979051139862	0.0	-0.1887812157744051	0.0	-0.4317363562066142	3.0149190563705073	2.7002217379013147	1.0	1.0	[0, 6, 0]	[0, 0, 6]	[0, 6, 0]	[3, 0, 3]	[0, 6, 0]	[0, 4, 2]	0
task/tulu	hns_f4_s1	HNS α=0 (4+1)	6	68.20702402957485	75.85031882147166	0.05472911576007138	3.357979051139862	0.0	0.1887812157744051	0.0	0.4317363562066142	0.0	11.129613980477007	8.234538480143598	0.3972075526327714	0.16062889138805675	[6, 0, 0]	[0, 6, 0]	[3, 0, 3]	[0, 6, 0]	[2, 4, 0]	[0, 6, 0]	0
task/tulu	functional_hns_a05	Functional-HNS α=0.5	6	68.57670979667283	75.38728438243368	0.07433318942030336	3.7276648182378316	0.36968576709796963	-0.27425322326358287	-0.46303443903798797	0.41213228254638223	-0.01960407366023197	14.689848526269207	10.89508505442132	0.33189973671770473	0.11381966921057851	[6, 0, 0]	[4, 0, 2]	[2, 0, 4]	[2, 0, 4]	[2, 4, 0]	[0, 4, 2]	2
task/tulu	functional_hns_a10	Functional-HNS α=1	6	68.73074553296365	74.73422668410872	0.08311121589200117	3.8817005545286514	0.5237215033887898	-0.927310921588545	-1.1160921373629502	0.4033542560746844	-0.028382100131929794	15.986412919477216	12.613451446441287	0.3050377975639844	0.09661380093973393	[6, 0, 0]	[4, 1, 1]	[1, 0, 5]	[0, 0, 6]	[2, 3, 1]	[0, 3, 3]	0
task/tulu	functional_flat	Protected Exact Functional Flat	6	68.45348120764017	74.95972775915746	0.08655739307505665	3.6044362292051724	0.24645717806531073	-0.7018098465397978	-0.8905910623142029	0.39990807889162894	-0.03182827731498527	15.99999999999996	12.61721279223792	0.30502139053470295	0.09658639250570777	[6, 0, 0]	[3, 0, 3]	[1, 0, 5]	[0, 0, 6]	[2, 3, 1]	[0, 3, 3]	0
seed/42	original_lora	LoRA	6	68.53576210823314	69.52311382006657	2.5484797622224806	0.0	-3.8630304970078826	0.0	-3.1706513569160406	0.0	-2.0604516947343656	2.1879580455826875	1.9875691343210673	1.0	1.0	[0, 6, 0]	[0, 0, 6]	[0, 6, 0]	[1, 0, 5]	[0, 6, 0]	[0, 1, 5]	0
