base	task	seed	method	name	magicoder	metamath	tulu	commonsense	target	off_score	forgetting_gap	path	modules	functional_pr	functional_erank	protected_functional_pr	cov_functional_pr	cov_functional_erank	functional_energy_ratio	fro_ratio	max_target_to_source_gain	floored_direction_fraction	max_nuclear_relative_error	max_saved_update_error	functional_rms_ratio	functional_squared_energy_ratio	target_gain_lora	off_score_gain_lora	fg_reduction_lora	target_gain_hns	off_score_gain_hns	fg_reduction_hns
Qwen3-8B	metamath	43	functional_hns_a05	Functional-HNS α=0.5	75.60975609756098	86.73237300985596	71.53419593345656	84.44077936668036	86.73237300985596	77.1949104658993	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/adapters/Qwen3-8B/metamath/seed43/functional_hns_a05	252	13.29098814710898	14.621759853705449	13.29098814710898	7.987563524050031	11.422625802844125	0.19365704197229566	0.6737681569177753	13.583928275800545	0.002232142857142857	1.2024764985962832e-06	0.0	0.19365704197229566	0.03750304990545948	2.7293404094010754	7.529308770352941	3.5232856949641636	-0.07581501137224222	0.5444851227663321	0
Qwen3-8B	metamath	43	functional_hns_a10	Functional-HNS α=1	78.04878048780488	86.73237300985596	70.79482439926062	84.22396580721446	86.73237300985596	77.68919023142665	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/adapters/Qwen3-8B/metamath/seed43/functional_hns_a10	252	15.982193718001467	15.991031201325764	15.982195821023765	10.700934150756455	13.099761829723425	0.17507116763332445	0.6978806202839052	11.758267934695432	0.002232142857142857	1.224816981615362e-06	0.0	0.17507116763332445	0.03064991373649559	2.7293404094010754	8.023588535880293	3.5232856949641636	-0.07581501137224222	1.0387648882936844	0
Qwen3-8B	metamath	43	functional_flat	Protected Exact Functional Flat	76.82926829268293	86.88400303260046	71.53419593345656	84.18689137596527	86.88400303260046	77.51678520070159	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/adapters/Qwen3-8B/metamath/seed43/functional_flat	252	15.999999999999964	15.999999999999977	15.999999999999964	10.6778142480183	13.10604566869112	0.17402652593359608	0.6988641368299459	21.264140730949332	0.002232142857142857	1.2527425854447216e-06	0.0	0.17402652593359608	0.030285231728516587	2.880970432145574	7.851183505155234	3.5232856949641636	0.07581501137225644	0.8663598575686251	0
Qwen3-8B	metamath	44	original_lora	LoRA	40.853658536585364	84.00303260045489	66.72828096118299	82.96161534896042	84.00303260045489	63.514518282242925	9.522414078114908	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Qwen3-8B/seed44/lora/metamath	252	1.6364401005466909	2.4280364469769355	1.6364401005466909	1.5121343315086975	2.2069842500603416	1.0	1.0	1.0	0.001488095238095238	0.0	0.0	1.0	1.0	0.0	0.0	0.0	-3.4116755117513264	-10.744784777211898	-9.522414078114908
Qwen3-8B	metamath	44	hns_f4_s1	HNS α=0 (4+1)	67.6829268292683	87.41470811220621	70.60998151571165	84.48500083338453	87.41470811220621	74.25930305945482	0	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Qwen3-8B/seed44/hns_step_grid/adapters/Qwen3-8B/metamath/hns_f4_s1	252	7.664287108051248	10.796897852629208	7.664287108051248	4.9651077570405135	8.378432131533376	0.24417017941522604	0.6629979367438751	15.140052815806147	0.001488095238095238	1.847221198225668e-08	0.0	0.24417017941522604	0.05961907651566367	3.4116755117513264	10.744784777211898	9.522414078114908	0.0	0.0	0
Qwen3-8B	metamath	44	functional_hns_a05	Functional-HNS α=0.5	66.46341463414635	87.86959818043972	70.97966728280961	84.39881921006756	87.86959818043972	73.9473003756745	0.0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/adapters/Qwen3-8B/metamath/seed44/functional_hns_a05	252	13.254208751539062	14.63082999445303	13.254208751539062	7.934761867577047	11.32680198011121	0.19270677075267448	0.6746416827737606	14.505606603796876	0.001488095238095238	1.5651209948064349e-06	0.0	0.19270677075267448	0.03713589949392383	3.8665655799848366	10.432782093431577	9.522414078114908	0.4548900682335102	-0.3120026837803209	0.0
Qwen3-8B	metamath	44	functional_hns_a10	Functional-HNS α=1	67.07317073170732	87.64215314632298	71.90388170055454	84.27353991692515	87.64215314632298	74.41686411639567	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/adapters/Qwen3-8B/metamath/seed44/functional_hns_a10	252	15.981956073999925	15.990939404211925	15.98215651884022	10.54066462902744	13.002724984943587	0.17380695643170688	0.6985250519678461	11.739132655710852	0.001488095238095238	1.5465276637094405e-06	0.0	0.17380695643170688	0.030208858104053254	3.6391205458680957	10.902345834152747	9.522414078114908	0.2274450341167693	0.15756105694084965	0
Qwen3-8B	metamath	44	functional_flat	Protected Exact Functional Flat	68.90243902439023	87.71796815769522	71.1645101663586	84.29439515417756	87.71796815769522	74.78711478164213	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/adapters/Qwen3-8B/metamath/seed44/functional_flat	252	15.999999999999961	15.999999999999977	15.999999999999961	10.519105453198176	12.999876110579542	0.1725577394693078	0.6996036800774629	30.196449225921423	0.001488095238095238	1.799178222627873e-06	0.0	0.1725577394693078	0.029776173450757507	3.714935557240338	11.272596499399206	9.522414078114908	0.30326004548901153	0.5278117221873089	0
Qwen3-8B	tulu	42	original_lora	LoRA	84.7560975609756	89.0068233510235	67.8373382624769	84.29127334064447	67.8373382624769	86.0180647508812	0	/dataset1/zailong/models/spectral-surgery/Qwen3-8B-InstructionFollowing-LoRA	252	2.201498627289306	3.240808950821389	2.201498627289306	1.9361048176598614	2.8881430288482624	1.0	1.0	1.0	0.001736111111111111	0.0	0.0	1.0	1.0	0.0	0.0	0	-2.9574861367837144	0.6553673074048021	0
Qwen3-8B	tulu	42	hns_f4_s1	HNS α=0 (4+1)	82.92682926829268	88.70356330553449	70.79482439926062	84.457699756602	70.79482439926062	85.36269744347639	0	/dataset1/zailong/runs/peft-sft-lab/hns-step-grid-2x4-20260912/adapters/Qwen3-8B/tulu/hns_f4_s1	252	10.025037954271376	12.472748909013806	10.025037954271376	7.16449587698925	10.38811979481606	0.422985786038345	0.7574306712806317	18.989836304199784	0.001736111111111111	1.740843380559909e-08	0.0	0.422985786038345	0.17891697519047658	2.9574861367837144	-0.6553673074048021	0	0.0	0.0	0
Qwen3-8B	tulu	42	functional_hns_a05	Functional-HNS α=0.5	83.53658536585365	88.40030326004549	72.08872458410352	84.40823892854532	72.08872458410352	85.44837585148149	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Qwen3-8B/tulu/functional_hns_a05	252	14.16137553362436	15.082736071571796	14.16137553362436	9.804827621927942	12.585605077532424	0.36566740321974484	0.7680707986081492	17.67132537192365	0.001736111111111111	1.3108941201434021e-06	0.0	0.36566740321974484	0.13371264977747147	4.251386321626612	-0.5696888993997078	0	1.2939001848428973	0.0856784080050943	0
Qwen3-8B	tulu	42	functional_hns_a10	Functional-HNS α=1	81.70731707317073	89.0068233510235	73.19778188539742	84.21441063955695	73.19778188539742	84.97618368791706	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Qwen3-8B/tulu/functional_hns_a10	252	15.984745240716322	15.992307853898001	15.984745240716322	11.817574077350825	13.769241547535984	0.3376983658851874	0.791957641754613	15.125663776333234	0.001736111111111111	1.2960306707832103e-06	0.0	0.3376983658851874	0.11404018632152592	5.3604436229205135	-1.041881062964137	0	2.402957486136799	-0.386513755559335	0
Qwen3-8B	tulu	42	functional_flat	Protected Exact Functional Flat	81.09756097560977	88.93100833965126	73.75231053604436	84.3081677913908	73.75231053604436	84.77891236888394	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Qwen3-8B/tulu/functional_flat	252	15.999999999999961	15.999999999999977	15.999999999999961	11.84684041776966	13.776246510193353	0.3376007002222373	0.7920607238979368	41.15144443640536	0.001736111111111111	1.3455869702916345e-06	0.0	0.3376007002222373	0.11397423279054494	5.914972273567457	-1.2391523819972576	0	2.957486136783743	-0.5837850745924555	0
