base	train_task	seed	method	target	target_gain	base_off	off_score	off_gain_lora	off_gain_hns	forgetting_gap
Qwen3-8B	metamath	43	hns_f4_s1	86.8081880212282	2.8051554207733176	72.94140535803187	76.65042534313297	6.984823647586609	0.0	0
Qwen3-8B	metamath	44	original_lora	84.00303260045489	0.0	72.94140535803187	63.514518282242925	0.0	-10.744784777211903	9.522414078114908
Qwen3-8B	metamath	44	flat_fro	88.47611827141773	4.4730856709628455	72.94140535803187	73.92994264965606	10.41542436741313	-0.3293604097987715	0.2032520325203251
Qwen3-8B	metamath	44	flat_nuclear	87.41470811220621	3.4116755117513264	72.94140535803187	74.75008387544415	11.235565593201223	0.4907808159893203	0
Qwen3-8B	metamath	44	dg_hard	84.00303260045489	0.0	72.94140535803187	63.514518282242925	0.0	-10.744784777211903	9.522414078114908
Qwen3-8B	metamath	44	hns_f4_s1	87.41470811220621	3.4116755117513264	72.94140535803187	74.25930305945482	10.744784777211903	0.0	0
Qwen3-8B	tulu	42	original_lora	67.8373382624769	0.0	78.29507561271518	86.0180647508812	0.0	0.6553673074048021	0
Qwen3-8B	tulu	42	flat_fro	69.31608133086876	1.47874306839185	78.29507561271518	85.03739085263972	-0.9806738982414771	-0.325306590836675	0
Qwen3-8B	tulu	42	flat_nuclear	71.1645101663586	3.327171903881691	78.29507561271518	85.5273794780843	-0.49068527279689533	0.16468203460790676	0
Qwen3-8B	tulu	42	dg_hard	67.8373382624769	0.0	78.29507561271518	86.0180647508812	0.0	0.6553673074048021	0
Qwen3-8B	tulu	42	hns_f4_s1	70.79482439926062	2.9574861367837144	78.29507561271518	85.36269744347639	-0.6553673074048021	0.0	0
Qwen3-8B	tulu	43	original_lora	66.17375231053605	0.0	78.29507561271518	85.12475605560088	0.0	0.17105228528308677	0
Qwen3-8B	tulu	43	flat_fro	71.34935304990758	5.175600739371532	78.29507561271518	85.1863056131142	0.06154955751331196	0.23260184279639873	0
Qwen3-8B	tulu	43	flat_nuclear	72.2735674676525	6.099815157116453	78.29507561271518	85.11724338962225	-0.007512665978637756	0.16353961930444902	0
Qwen3-8B	tulu	43	dg_hard	66.17375231053605	0.0	78.29507561271518	85.12475605560088	0.0	0.17105228528308677	0
Qwen3-8B	tulu	43	hns_f4_s1	72.45841035120148	6.284658040665434	78.29507561271518	84.9537037703178	-0.17105228528308677	0.0	0
Qwen3-8B	tulu	44	original_lora	66.91312384473198	0.0	78.29507561271518	85.73784125127371	0.0	1.2619280456356279	0
Qwen3-8B	tulu	44	flat_fro	69.31608133086876	2.4029574861367706	78.29507561271518	84.07085980142571	-1.6669814498480047	-0.40505340421237673	0
Qwen3-8B	tulu	44	flat_nuclear	71.53419593345656	4.621072088724574	78.29507561271518	84.79582260030689	-0.9420186509668204	0.3199093946688076	0
Qwen3-8B	tulu	44	dg_hard	66.91312384473198	0.0	78.29507561271518	85.73784125127371	0.0	1.2619280456356279	0
Qwen3-8B	tulu	44	hns_f4_s1	70.97966728280961	4.06654343807763	78.29507561271518	84.47591320563808	-1.2619280456356279	0.0	0
Llama-3.1-8B-Instruct	magicoder	42	original_lora	53.65853658536586	0.0	65.24069759712567	60.201910294666895	0.0	-4.6053817020401695	5.038787302458779
Llama-3.1-8B-Instruct	magicoder	42	flat_fro	53.04878048780488	-0.6097560975609753	65.24069759712567	64.18886186025476	3.986951565587861	-0.6184301364523085	1.051835736870918
Llama-3.1-8B-Instruct	magicoder	42	flat_nuclear	54.87804878048781	1.2195121951219505	65.24069759712567	63.700751122900044	3.4988408282331513	-1.106540873807018	1.5399464742256275
Llama-3.1-8B-Instruct	magicoder	42	dg_hard	53.65853658536586	0.0	65.24069759712567	60.201910294666895	0.0	-4.6053817020401695	5.038787302458779
Llama-3.1-8B-Instruct	magicoder	42	hns_f4_s1	54.87804878048781	1.2195121951219505	65.24069759712567	64.80729199670706	4.6053817020401695	0.0	0.8377523277372845
Llama-3.1-8B-Instruct	magicoder	43	original_lora	55.487804878048784	0.0	65.24069759712567	61.08501336320027	0.0	-4.853103439540379	4.686389313531168
Llama-3.1-8B-Instruct	magicoder	43	flat_fro	54.87804878048781	-0.6097560975609753	65.24069759712567	65.36087203733841	4.275858674138142	-0.5772447654022367	2.09488601355514
Llama-3.1-8B-Instruct	magicoder	43	flat_nuclear	54.268292682926834	-1.2195121951219505	65.24069759712567	66.61619577835916	5.531182415158888	0.6780789756185092	0.6777572396796027
Llama-3.1-8B-Instruct	magicoder	43	dg_hard	55.487804878048784	0.0	65.24069759712567	61.08501336320027	0.0	-4.853103439540379	4.686389313531168
Llama-3.1-8B-Instruct	magicoder	43	hns_f4_s1	56.09756097560976	0.6097560975609753	65.24069759712567	65.93811680274065	4.853103439540379	0.0	1.7252002464571774
Llama-3.1-8B-Instruct	magicoder	44	original_lora	53.65853658536586	0.0	65.24069759712567	62.16359910257801	0.0	-4.141946337645497	4.138508653759189
Llama-3.1-8B-Instruct	magicoder	44	flat_fro	54.87804878048781	1.2195121951219505	65.24069759712567	66.12384997170649	3.9602508691284846	-0.18169546851701313	1.4787430683918668
Llama-3.1-8B-Instruct	magicoder	44	flat_nuclear	55.487804878048784	1.8292682926829258	65.24069759712567	66.30013233902184	4.136533236443829	-0.005413101201668269	1.6019716574245184
