case	base_model	task	module	layer	module_type	utility	utility_ci_low	utility_ci_high	functional_concentration	raw_concentration	gradient_compatibility	gradient_importance	p99_contribution	utility_z_within_case
qwen_magicoder	Qwen3-8B	magicoder	layers.2.self_attn.o_proj	2	o_proj	2.4756691494926076e-05	-0.0004407630531025715	0.00047473937395166175	0.9835459292130988	0.8827904472203049	-2.3716990309227727e-06	9.022337354172752e-06	0.027655078952556075	1.3044145465276868
qwen_magicoder	Qwen3-8B	magicoder	layers.2.self_attn.q_proj	2	q_proj	-0.0004074798255670266	-0.0008901575732915128	8.080940021843115e-05	0.9028302414778684	0.5455963558936093	2.127325412819263e-06	4.09725542847875e-06	0.006052164630887718	-0.8019867056455754
qwen_magicoder	Qwen3-8B	magicoder	layers.2.self_attn.v_proj	2	v_proj	-0.0001535663594965075	-0.0007103688526348988	0.00035680650931889764	0.9985071104385803	0.9537401016441781	7.337962373148315e-05	1.2995305345132852e-05	0.02915102799607004	0.43539982178180336
qwen_magicoder	Qwen3-8B	magicoder	layers.20.mlp.down_proj	20	down_proj	-0.0002357435763859358	-0.0007498547923369485	0.0002861457708917679	0.9710866320163623	0.7972437010099299	3.7814380590625e-05	1.1981070373791195e-05	0.008136519648632398	0.03492881638733026
qwen_magicoder	Qwen3-8B	magicoder	layers.20.mlp.gate_proj	20	gate_proj	-0.00028997427615963045	-0.0007726947151002337	0.00019448545501857498	0.9975879555702142	0.9389926267017455	0.00012054629866918577	3.657716219072798e-05	0.037906207558945824	-0.22935152412163654
qwen_magicoder	Qwen3-8B	magicoder	layers.20.mlp.up_proj	20	up_proj	-0.0003084032261957888	-0.000772279152860407	0.00015214566813140533	0.9970906086202255	0.910552890674059	-3.4621087658389342e-06	3.6509160417668575e-05	0.036094961478215906	-0.3191606029478905
qwen_magicoder	Qwen3-8B	magicoder	layers.20.self_attn.k_proj	20	k_proj	-0.00029987731917959745	-0.0008397187060508571	0.00022281665416037323	0.6659640291717527	0.4434991757150258	-3.2834935046598117e-07	7.021091748396358e-06	0.004158357046552173	-0.27761163495025104
qwen_magicoder	Qwen3-8B	magicoder	layers.20.self_attn.o_proj	20	o_proj	-0.00044872697259559004	-0.0009446507838905834	6.889088964853117e-05	0.818689770525098	0.5120091077026406	2.1905961759357566e-05	1.531356311331737e-05	0.01557715639183571	-1.0029948082004265
qwen_magicoder	Qwen3-8B	magicoder	layers.20.self_attn.q_proj	20	q_proj	-3.916648079137333e-05	-0.0004869571932759441	0.00043770069958733713	0.992001713118518	0.8277194702281352	2.5508144919006778e-05	1.3007262513152938e-05	0.010380997098544642	0.9929002601781854
qwen_magicoder	Qwen3-8B	magicoder	layers.20.self_attn.v_proj	20	v_proj	-0.00016765064391933504	-0.0007063830027081927	0.00036290839436601267	0.9391283296295041	0.6829028354963673	2.5082295442962915e-05	1.0462612293267809e-05	0.011136092739199657	0.36676343134939543
qwen_magicoder	Qwen3-8B	magicoder	layers.21.mlp.down_proj	21	down_proj	-0.0007132208738170686	-0.0011730241115953102	-0.00026783150483350286	0.9838179960544428	0.8397233798112631	6.038748114467166e-05	1.1964323397574436e-05	0.006704122430711703	-2.291942554938955
qwen_magicoder	Qwen3-8B	magicoder	layers.21.mlp.gate_proj	21	gate_proj	-0.0004642278444571573	-0.001037857339518969	0.00011618716306373693	0.9970072694846084	0.9368884268539757	-0.00018696434689345154	4.018371429557329e-05	0.03681533236780644	-1.0785345985932469
